"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","year","price","pp"
"38","DRZ11",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1609.9044,7,13.8620660995484,97.0344626968388
"41","FDU02",13.35,"Low Fat",0.102511504,"Dairy",230.6352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,19,23.6427612273408,449.212463319475
"42","FDK43",9.8,"Low Fat",0.02681843,"Meat",126.002,"OUT013",1987,"High","Tier 3","Supermarket Type1",2150.534,29,3.37917581686,97.99609868894
"43","FDA46",13.6,"Low Fat",0.117818348,"Snack Foods",192.9136,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2527.3768,17,22.7287616587328,386.388948198458
"44","FDC02",21.35,"Low Fat",0.069102831,"Canned",259.9278,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6768.5228,7,17.9617468356018,125.732227849213
"45","FDL50",12.15,"Regular",0.042277867,"Canned",126.5046,"OUT013",1987,"High","Tier 3","Supermarket Type1",373.5138,29,5.3483446536882,155.101994956958
"46","FDM39",6.42,"LF",0.089498926,"Dairy",178.1002,"OUT010",1998,"Small","Tier 3","Grocery Store",358.2004,18,15.9397766203852,286.915979166934
"47","NCP05",19.6,"Low Fat",0,"Health and Hygiene",153.3024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2428.8384,14,0,0
"48","FDV49",10,"Low Fat",0.025879577,"Canned",265.2226,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5815.0972,14,6.8638486988402,96.0938817837628
"49","FDL12",15.85,"Regular",0.121632721,"Baking Goods",60.622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2576.646,19,7.373618812462,140.098757436778
"51","NCL17",7.39,"Low Fat",0.067779712,"Health and Hygiene",143.8812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3134.5864,19,9.7522262982144,185.292299666074
"52","FDM40",10.195,"Low Fat",0.159803853,"Frozen Foods",141.5154,"OUT013",1987,"High","Tier 3","Supermarket Type1",850.8924,29,22.6147061788362,655.82647918625
"53","FDR13",9.895,"Regular",0.028696932,"Canned",117.0492,"OUT013",1987,"High","Tier 3","Supermarket Type1",810.9444,29,3.3589529330544,97.4096350585776
"54","FDA43",10.895,"Low Fat",0.065041581,"Fruits and Vegetables",196.3794,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3121.2704,9,12.7728266518314,114.955439866483
"55","NCP18",12.15,"Low Fat",0.028760013,"Household",151.4708,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4815.0656,9,4.3563021771204,39.2067195940836
"56","FDK21",7.905,"Low Fat",0.010053105,"Snack Foods",249.0408,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6258.52,7,2.503633311684,17.525433181788
"57","NCX54",9.195,"Low Fat",0.048157338,"Household",106.1622,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2117.244,14,5.1124889482236,71.5748452751304
"58","DRK35",8.365,"Low Fat",0.071958197,"Hard Drinks",38.0506,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",796.9626,17,2.7380525707682,46.5468937030594
"59","FDY21",15.1,"Low Fat",0.173481304,"Snack Foods",194.511,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4910.275,19,33.744021922344,641.136416524536
"61","FDM20",10,"Low Fat",0,"Fruits and Vegetables",246.9144,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.1872,7,0,0
"62","FDV27",7.97,"Regular",0.040071131,"Meat",87.3514,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1062.6168,14,3.5002693924334,49.0037714940676
"66","FDC46",17.7,"LF",0.195068226,"Snack Foods",185.4266,"OUT010",1998,"Small","Tier 3","Grocery Store",184.4266,18,36.1708379152116,651.075082473809
"67","FDH19",19.35,"Low Fat",0.033082215,"Meat",172.5738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4865.6664,12,5.709123554967,68.509482659604
"68","FDZ03",13.65,"Regular",0.078946455,"Dairy",186.024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1118.544,14,14.68593534492,205.60309482888
"69","DRH37",17.6,"Low Fat",0.041700756,"Soft Drinks",164.8526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2302.3364,14,6.8744780485656,96.2426926799184
"70","NCI17",8.645,"Low Fat",0.143422643,"Health and Hygiene",95.841,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2027.361,19,13.745769527763,261.169621027497
"71","FDJ58",15.6,"Regular",0.105296072,"Snack Foods",170.1764,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,19,17.9189064671008,340.459222874915
"72","FDL12",15.85,"Regular",0.121531501,"Baking Goods",59.222,"OUT013",1987,"High","Tier 3","Supermarket Type1",599.22,29,7.197338552222,208.722818014438
"73","FDH35",18.25,"Low Fat",0,"Starchy Foods",164.7526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",4604.6728,14,0,0
"74","FDG02",7.855,"Low Fat",0.011324862,"Canned",189.6188,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2285.0256,9,2.1474067426056,19.3266606834504
"75","NCZ18",7.825,"low fat",0.186357148,"Household",254.3698,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5580.7356,17,47.4036304653304,805.861717910617
"76","FDC29",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2290.352,19,2.7598713736336,52.4375560990384
"77","FDQ10",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1207.0954,17,5.7270719372352,97.3602229329984
"79","FDL04",19,"Low Fat",0.112556507,"Frozen Foods",104.9622,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1587.933,9,11.8141785990354,106.327607391319
"80","FDV25",5.905,"Low Fat",0,"Canned",222.5456,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5305.0944,14,0,0
"81","FDD58",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1697.79,19,6.04621279067,114.87804302273
"82","FDN04",11.8,"reg",0.014087057,"Frozen Foods",180.3344,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1427.4752,19,2.5403809718608,48.2672384653552
"83","FDV45",16.75,"low fat",0.045230944,"Snack Foods",187.9556,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4693.89,7,8.5014092180864,59.5098645266048
"86","FDG20",15.5,"Regular",0.12639886,"Fruits and Vegetables",177.0028,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2479.4392,9,22.372952136808,201.356569231272
"87","FDZ55",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2716.464,12,4.089824346816,49.077892161792
"89","FDN33",6.305,"Regular",0.123115764,"Snack Foods",95.6436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",661.8052,19,11.7752348857104,223.729462828498
"90","FDN27",20.85,"Low Fat",0.039624006,"Meat",117.2808,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1523.3504,17,4.6471351228848,79.0012970890416
"91","FDW20",20.75,"Low Fat",0.040421193,"Fruits and Vegetables",122.173,"OUT010",1998,"Small","Tier 3","Grocery Store",369.519,18,4.938378412389,88.890811423002
"92","DRG27",8.895,"Low Fat",0.105274111,"Dairy",39.9138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",690.4346,17,4.2018898116318,71.4321267977406
"93","DRI25",19.6,"Low Fat",0.033970195,"Soft Drinks",55.1614,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1381.535,14,1.873843514473,26.233809202622
"94","FDA44",19.7,"Low Fat",0.053212652,"Fruits and Vegetables",57.893,"OUT035",2004,"Small","Tier 2","Supermarket Type1",622.523,12,3.080640062236,36.967680746832
"95","NCR17",9.8,"Low Fat",0.024378706,"Health and Hygiene",114.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1274.3412,12,2.7925612693352,33.5107352320224
"97","FDF41",12.15,"Low Fat",0.131383762,"Frozen Foods",246.046,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1231.73,17,32.326449105052,549.549634785884
"98","FDB56",8.75,"Regular",0.07461309,"Fruits and Vegetables",187.4556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112,12,13.986641553804,167.839698645648
"100","FDB56",8.75,"Regular",0.074627201,"Fruits and Vegetables",187.8556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1314.2892,19,14.0191376201756,266.363614783336
"101","FDT28",13.3,"Low Fat",0.063695084,"Frozen Foods",151.0708,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1805.6496,14,9.6224672959472,134.714542143261
"103","FDW57",8.31,"Regular",0.115857223,"Snack Foods",179.1028,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3896.2616,17,20.7503530395244,352.756001671915
"104","DRB48",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,"OUT013",1987,"High","Tier 3","Supermarket Type1",667.7974,29,0.9630708488532,27.9290546167428
"105","FDP09",19.75,"Low Fat",0.034027909,"Snack Foods",212.0902,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.853,7,7.2169860253918,50.5189021777426
"106","FDH14",17.1,"Regular",0.0467696,"Canned",141.1838,"OUT013",1987,"High","Tier 3","Supermarket Type1",2247.7408,29,6.60310985248,191.49018572192
"107","FDA47",10.5,"Regular",0.116576702,"Baking Goods",163.121,"OUT013",1987,"High","Tier 3","Supermarket Type1",1794.331,29,19.016108206942,551.467138001318
"108","FDG12",6.635,"Regular",0,"Baking Goods",121.3098,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2530.7058,14,0,0
"110","DRK49",14.15,"Low Fat",0.035913805,"Soft Drinks",41.4138,"OUT013",1987,"High","Tier 3","Supermarket Type1",812.276,29,1.487327137509,43.132486987761
"111","FDD03",13.3,"Low Fat",0.079806266,"Dairy",232.53,"OUT046",1997,"Small","Tier 1","Supermarket Type1",699.09,19,18.55735103298,352.58966962662
"112","FDS52",8.89,"low fat",0.005505481,"Frozen Foods",102.4016,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2732.4432,9,0.5637700631696,5.0739305685264
"115","FDV11",9.1,"Regular",0,"Breads",173.2054,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3151.8972,14,0,0
"116","FDD17",7.5,"Low Fat",0.032677678,"Frozen Foods",239.0906,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5942.265,17,7.8129256396268,132.819735873656
"117","FDZ16",16.85,"Regular",0.160760054,"Frozen Foods",192.4478,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4843.695,9,30.9379187201812,278.441268481631
"118","FDZ46",7.485,"Low Fat",0.06911065,"Snack Foods",109.0228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2542.0244,12,7.53463657282,90.41563887384
"119","DRA12",11.6,"Low Fat",0.041177505,"Soft Drinks",140.3154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2552.6772,9,5.777838085077,52.000542765693
"120","FDY58",11.65,"Low Fat",0.040081193,"Snack Foods",227.0694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1141.847,7,9.1012124457942,63.7084871205594
"121","NCF19",13,"Low Fat",0.035307322,"Household",47.5034,"OUT017",2007,"Small","Tier 2","Supermarket Type1",680.4476,9,1.6772178398948,15.0949605590532
"122","DRJ13",12.65,"LF",0.063017847,"Soft Drinks",159.0578,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2085.9514,14,10.0234801045566,140.328721463792
"123","FDB14",20.25,"Regular",0.171938781,"Canned",92.512,"OUT010",1998,"Small","Tier 3","Grocery Store",186.424,18,15.906400507872,286.315209141696
"124","FDJ38",8.6,"Regular",0.040197932,"Canned",190.153,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3036.048,12,7.643757363596,91.725088363152
"125","FDW11",12.6,"Low Fat",0.049058014,"Breads",62.7194,"OUT017",2007,"Small","Tier 2","Supermarket Type1",866.8716,9,3.0768892032716,27.6920028294444
"126","FDL40",17.7,"Low Fat",0.01161096,"Frozen Foods",95.041,"OUT035",2004,"Small","Tier 2","Supermarket Type1",868.869,12,1.10351724936,13.24220699232
"127","DRI49",14.15,"Low Fat",0.183507295,"Soft Drinks",82.4276,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1137.1864,19,15.126065909342,287.395252277498
"128","FDV38",19.25,"Low Fat",0.102349519,"Dairy",52.7956,"OUT017",2007,"Small","Tier 2","Supermarket Type1",928.1252,9,5.4036042653164,48.6324383878476
"129","DRG23",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,"OUT013",1987,"High","Tier 3","Supermarket Type1",762.341,29,13.1596668808134,381.630339543589
"130","NCP30",20.5,"Low Fat",0.032835147,"Household",40.2822,"OUT045",2002,"Small","Tier 2","Supermarket Type1",707.0796,14,1.3226719584834,18.5174074187676
"132","NCH54",13.5,"Low Fat",0.07266912,"Household",160.292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1438.128,19,11.64827858304,221.31729307776
"134","FDS52",8.89,"Low Fat",0.009163216,"Frozen Foods",101.7016,"OUT010",1998,"Small","Tier 3","Grocery Store",101.2016,18,0.9319137283456,16.7744471102208
"135","FDG02",7.855,"Low Fat",0.011307038,"Canned",188.5188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",952.094,7,2.1315892353144,14.9211246472008
"136","NCO26",7.235,"Low Fat",0.076855628,"Household",116.0492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1969.4364,19,8.9190341448976,169.461648753054
"138","FDB51",6.92,"Low Fat",0.038532062,"Dairy",60.5852,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1314.2892,14,2.3344726826824,32.6826175575536
"139","FDX44",9.3,"Low Fat",0.043209581,"Fruits and Vegetables",90.8172,"OUT017",2007,"Small","Tier 2","Supermarket Type1",535.3032,9,3.9241731595932,35.3175584363388
"140","NCN07",18.5,"Low Fat",0.056816465,"Others",132.1284,"OUT010",1998,"Small","Tier 3","Grocery Store",263.6568,18,7.507068614106,135.127235053908
"141","NCC31",8.02,"Low Fat",0.019866705,"Household",154.5972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1402.1748,12,3.071336966226,36.856043594712
"142","NCX54",9.195,"Low Fat",0.048331717,"Household",105.1622,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1693.7952,9,5.0826696894974,45.7440272054766
"143","NCO55",12.8,"Low Fat",0.091221855,"Others",105.5938,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2143.876,14,9.632462312499,134.854472374986
"144","NCC30",16.6,"Low Fat",0.027622076,"Household",177.6344,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2676.516,17,4.9066308970144,83.4127252492448
"145","FDI16",14,"Regular",0,"Frozen Foods",53.064,"OUT035",2004,"Small","Tier 2","Supermarket Type1",905.488,12,0,0
"146","FDP16",18.6,"Low Fat",0.039355947,"Frozen Foods",246.3802,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7370.406,17,9.6965260930494,164.84094358184
"147","FDB11",16,"Low Fat",0.060836524,"Starchy Foods",226.8404,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6301.1312,12,13.8001814387696,165.602177265235
"148","NCB06",17.6,"Low Fat",0.082316506,"Health and Hygiene",160.692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1597.92,12,13.227603982152,158.731247785824
"149","FDA45",21.25,"Low Fat",0.155350299,"Snack Foods",178.237,"OUT035",2004,"Small","Tier 2","Supermarket Type1",529.311,12,27.689171242863,332.270054914356
"150","NCO26",7.235,"Low Fat",0.076841095,"Household",117.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1969.4364,12,9.032609244374,108.391310932488
"151","DRJ25",14.6,"Low Fat",0.151419185,"Soft Drinks",50.3692,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1034.6532,9,7.626863213102,68.641768917918
"152","FDR28",13.85,"reg",0.026001976,"Frozen Foods",161.521,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1794.331,7,4.199865165496,29.399056158472
"153","FDI04",13.65,"Regular",0.073209447,"Frozen Foods",197.6426,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2768.3964,7,14.4693054496422,101.285138147495
"155","FDX20",7.365,"Low Fat",0.042560252,"Fruits and Vegetables",226.172,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3169.208,19,9.625937315344,182.892808991536
"156","NCI18",18.35,"Low Fat",0.014081156,"Household",223.5746,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3589.9936,7,3.1481888202376,22.0373217416632
"157","FDB36",5.465,"Regular",0,"Baking Goods",132.5626,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",262.3252,7,0,0
"158","FDN13",18.6,"Low Fat",0.152918384,"Breakfast",99.8358,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1910.1802,9,15.2667292013472,137.400562812125
"159","DRD24",13.85,"Low Fat",0.030969274,"Soft Drinks",140.9154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1701.7848,9,4.3640476334196,39.2764287007764
"160","FDQ28",14,"Regular",0.060376776,"Frozen Foods",154.5656,"OUT013",1987,"High","Tier 3","Supermarket Type1",2471.4496,29,9.3321726085056,270.633005646662
"161","FDM22",14,"Regular",0.04192285,"Snack Foods",54.764,"OUT013",1987,"High","Tier 3","Supermarket Type1",1331.6,29,2.2958629574,66.5800257646
"163","FDV25",5.905,"Low Fat",0.045838211,"Canned",222.5456,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3315.684,7,10.2010921699216,71.4076451894512
"164","DRF49",7.27,"Low Fat",0.071077939,"Soft Drinks",114.2518,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2618.5914,19,8.1207824710402,154.294866949764
"165","FDW51",6.155,"Regular",0.094659871,"Meat",214.556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2769.728,19,20.309843282276,385.887022363244
"166","DRL01",19.5,"Regular",0.077608838,"Soft Drinks",233.4958,"OUT017",2007,"Small","Tier 2","Supermarket Type1",5375.0034,9,18.1213377158804,163.092039442924
"167","FDP25",15.2,"Low Fat",0.021327477,"Canned",216.8824,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2838.9712,9,4.6255543977048,41.6299895793432
"168","FDL50",12.15,"Regular",0.042485444,"Canned",125.0046,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1743.0644,7,5.3108759330424,37.1761315312968
"170","FDW11",12.6,"Low Fat",0.0489808,"Breads",61.9194,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",619.194,7,3.03286174752,21.23003223264
"171","NCM43",14.5,"Low Fat",0.019471688,"Others",164.821,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2120.573,12,3.209343087848,38.512117054176
"172","FDK44",16.6,"Low Fat",0.122918852,"Fruits and Vegetables",173.0738,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3823.0236,9,21.2740328072776,191.466295265498
"173","FDM15",11.8,"Regular",0.057373797,"Meat",151.4366,"OUT013",1987,"High","Tier 3","Supermarket Type1",1360.2294,29,8.6884927467702,251.966289656336
"174","FDS31",13.1,"Regular",0.044155597,"Fruits and Vegetables",178.8318,"OUT013",1987,"High","Tier 3","Supermarket Type1",3969.4996,29,7.8964248915846,228.996321855953
"175","FDI32",17.7,"Low Fat",0.291865402,"Fruits and Vegetables",115.1834,"OUT010",1998,"Small","Tier 3","Grocery Store",345.5502,18,33.6180493447268,605.124888205082
"176","FDR47",17.85,"LF",0,"Breads",196.5794,"OUT010",1998,"Small","Tier 3","Grocery Store",585.2382,18,0,0
"177","FDB35",12.3,"Regular",0.064750025,"Starchy Foods",92.6804,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1010.6844,14,6.00105821701,84.01481503814
"178","NCU05",11.8,"Low Fat",0.098312421,"Health and Hygiene",81.4618,"OUT010",1998,"Small","Tier 3","Grocery Store",161.1236,18,8.0087067770178,144.15672198632
"180","FDO24",11.1,"Low Fat",0.176573035,"Baking Goods",157.4604,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3010.7476,14,27.803260720314,389.245650084396
"182","FDV39",11.3,"Low Fat",0.007294652,"Meat",198.1426,"OUT045",2002,"Small","Tier 2","Supermarket Type1",988.713,14,1.4453813133752,20.2353383872528
"184","FDU50",5.75,"Regular",0.075107656,"Dairy",112.8176,"OUT013",1987,"High","Tier 3","Supermarket Type1",1374.2112,29,8.4734654915456,245.730499254822
"186","FDK58",11.35,"Regular",0.045165796,"Snack Foods",100.0016,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1012.016,7,4.5166518652736,31.6165630569152
"188","NCW29",14,"Low Fat",0.028907832,"Health and Hygiene",130.431,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",778.986,17,3.770477435592,64.098116405064
"189","FDE04",19.75,"Regular",0.018059621,"Frozen Foods",179.766,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2336.958,14,3.246505828686,45.451081601604
"190","NCB19",6.525,"Low Fat",0.090436094,"Household",85.0882,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2233.0932,17,7.6950444534908,130.815755709344
"191","FDV15",10.3,"Low Fat",0.146399712,"Meat",103.9648,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1661.8368,17,15.2204167781376,258.747085228339
"192","FDL58",5.78,"Regular",0.074264356,"Snack Foods",264.7568,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4745.8224,17,19.6619932486208,334.253885226554
"193","FDA08",11.85,"Regular",0.050186726,"Fruits and Vegetables",164.1526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3124.5994,14,8.2382815583876,115.335941817426
"194","FDT43",16.35,"Low Fat",0.020631654,"Fruits and Vegetables",50.1324,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",467.3916,7,1.0343143309896,7.2402003169272
