citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33
C100022,Ebony,4,5,0,3,2,2,0,0,1,0,1,0,0,1,1,0,2,0,0,0,15,15,0,15,15,1,25-35,1,1,Masters,7,AZG,ABQ
C100023,Cosmos,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,1,55+,1,0,Primary,8,AHD,AHD
C100024,Centaur,5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,25-35,0,0,Masters,7,AHO,AWX
C100025,Cosmos,0,0,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3,46-55,1,0,Diploma,7,AFX,AJI
C100026,Odyssey,2,0,1,4,2,0,0,1,3,2,1,0,0,0,0,0,0,0,1,0,15,0,15,15,15,3,25-35,0,0,Masters,7,ANQ,AWX
C100027,Cosmos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,36-45,0,1,Diploma,9,AGD,ACD
C100028,Centaur,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,25-35,1,0,Primary,6,ACL,ATI
C100029,Tokugawa,0,0,12,3,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,0,15,15,0,4,55+,0,0,Masters,7,AQU,AQU
C100030,Odyssey,7,0,0,13,1,1,0,0,7,1,1,0,0,3,0,4,0,0,0,0,15,0,0,15,15,1,46-55,0,0,Diploma,8,AAE,AAE
C100031,Odyssey,0,0,0,12,4,0,0,0,9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,15,15,1,46-55,0,0,Masters,7,AMH,AMS
C100032,Centaur,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,55+,0,1,Diploma,8,ARK,ARK
C100033,Tokugawa,1,0,12,0,0,1,0,5,0,0,0,0,1,0,0,0,0,2,0,0,15,0,15,0,0,1,25-35,1,0,Diploma,7,AEC,AEC
C100034,Centaur,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,25-35,1,0,Primary,5,AAC,AHR
C100035,Centaur,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,3,25-35,0,0,Diploma,6,AET,AET
C100036,Odyssey,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,15,15,0,15,0,3,25-35,1,1,Degree,7,ACL,AAE
C100037,Odyssey,0,0,7,10,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,15,15,0,4,36-45,1,1,Degree,8,AHR,ACL
C100038,Tokugawa,0,4,7,0,0,0,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,15,15,0,0,3,46-55,1,0,Masters,5,AQU,AQU
C100039,Centaur,12,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,25-35,1,0,Degree,5,AXT,AOV
C100040,Centaur,7,0,0,1,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,36-45,0,0,Degree,8,AFY,AGE
C100041,Cosmos,1,0,4,0,4,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,15,0,15,0,15,3,18-24,1,1,Degree,7,ATI,AES
C100042,Centaur,18,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,15,0,0,0,0,1,18-24,1,0,Masters,6,AOV,AOV
C100043,Odyssey,1,0,2,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,0,3,18-24,0,0,Diploma,5,ACL,AWD
C100044,Centaur,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,55+,1,0,Masters,7,AHS,AHS
C100045,Centaur,6,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,4,25-35,0,1,Masters,7,AWY,AQT
C100046,Centaur,4,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,15,15,3,18-24,1,0,Diploma,8,ATI,AQX
C100047,Tokugawa,4,1,19,0,0,4,1,4,0,0,0,0,5,0,0,0,0,3,0,0,7,15,15,0,0,1,25-35,1,1,Masters,7,ANQ,APH
C100048,Odyssey,0,0,0,9,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,1,46-55,1,0,Degree,7,AXG,AXG
C100049,Centaur,8,0,0,3,0,6,0,0,1,0,0,0,0,1,0,2,0,0,0,0,15,0,0,15,0,1,46-55,1,0,Masters,7,AHS,AHJ
C100050,Tokugawa,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,4,46-55,1,0,Diploma,6,AJV,APH
C100051,Cosmos,0,0,0,7,5,0,0,0,3,5,0,0,0,1,0,0,0,0,2,0,0,0,0,15,15,4,18-24,1,0,Masters,6,AWX,AWX
C100052,Centaur,21,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,25-35,0,0,Degree,8,ARK,ARK
C100053,Centaur,15,1,10,0,1,1,0,7,0,1,0,0,0,0,0,13,1,3,0,0,14,15,15,0,15,1,36-45,1,0,Masters,6,AEC,AEC
C100054,Odyssey,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,2,36-45,0,1,Degree,5,AET,AET
C100055,Centaur,20,0,0,0,2,11,0,0,0,0,4,0,0,0,1,1,0,0,0,0,15,0,0,0,15,3,25-35,0,1,Degree,5,ATI,ATI
C100056,Ebony,0,12,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,15,0,0,0,3,36-45,1,0,Masters,8,ASE,AWD
C100057,Odyssey,0,0,0,15,0,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,1,18-24,1,0,Masters,8,AWW,AWW
C100058,Ebony,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,3,55+,1,1,Masters,6,ALG,ALG
C100059,Odyssey,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,25-35,0,0,Masters,8,ATV,ACL
C100060,Tokugawa,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,15,15,0,0,1,36-45,1,0,Diploma,7,AJV,AXJ
C100061,Ebony,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,0,0,0,4,25-35,1,0,Masters,9,ABJ,AHR
C100062,Cosmos,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,0,0,15,3,25-35,1,0,Masters,8,AWX,AEC
C100063,Cosmos,0,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,55+,1,0,Degree,8,AJI,AJI
C100064,Tokugawa,2,2,16,3,1,2,2,2,0,1,0,0,7,0,0,0,0,0,2,0,0,0,9,15,0,4,46-55,1,0,Masters,7,ANO,AEC
C100065,Cosmos,0,0,0,0,16,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,15,0,0,15,2,25-35,0,0,Masters,5,AII,AWX
C100066,Centaur,9,2,1,0,0,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,15,15,15,0,0,3,25-35,1,0,Degree,6,ATI,ATI
C100067,Cosmos,3,3,0,7,3,1,0,0,7,1,0,0,0,0,1,2,2,0,0,0,11,0,0,15,0,1,55+,1,0,Masters,8,ADV,AEV
C100068,Ebony,0,2,0,5,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,15,0,15,0,4,25-35,0,0,Masters,9,AZP,AZP
C100069,Centaur,8,0,0,0,4,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,10,0,0,0,15,2,18-24,0,0,Degree,6,ATI,ANO
C100070,Ebony,0,5,0,1,1,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,15,0,15,15,4,18-24,1,0,Degree,5,AWK,ANQ
C100071,Ebony,0,9,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,4,36-45,1,0,Masters,6,AVJ,AVJ
C100072,Centaur,15,0,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,15,0,0,0,0,4,55+,1,0,Masters,7,AOV,AOV
C100073,Tokugawa,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,15,0,15,1,46-55,0,0,Degree,8,AEC,AWX
C100074,Cosmos,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,25-35,0,0,Masters,7,AHR,AHR
C100075,Odyssey,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,3,36-45,0,0,Diploma,8,AMZ,ALH
C100076,Centaur,6,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,4,25-35,1,0,Degree,7,ARK,ACL
C100077,Ebony,0,11,0,2,0,0,3,0,0,0,0,1,0,1,0,0,3,0,0,0,0,15,0,15,15,1,18-24,0,0,Degree,7,ABX,ABX
C100078,Centaur,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,1,46-55,0,0,Degree,6,AEC,AEC
C100079,Centaur,4,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,3,36-45,0,1,Masters,6,AXT,AXT
C100080,Tokugawa,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,55+,0,0,Masters,8,AMI,ATU
C100081,Odyssey,2,0,0,10,0,1,0,0,6,0,0,0,0,2,0,1,0,0,0,0,15,0,0,15,0,3,36-45,1,1,Masters,6,ASF,ASF
C100082,Cosmos,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,18-24,1,0,Diploma,5,ATI,ATI
C100083,Ebony,0,11,0,0,4,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,13,0,0,15,3,18-24,1,1,Degree,7,AZQ,AZQ
C100084,Odyssey,1,0,0,13,3,1,0,0,13,3,0,0,0,0,0,0,0,0,0,0,7,0,0,15,0,1,46-55,1,0,Masters,6,AES,AES
C100085,Odyssey,1,0,0,19,1,1,0,0,12,1,0,0,0,2,0,0,0,0,0,0,15,0,0,15,15,3,18-24,1,0,Primary,7,AYE,AYE
C100086,Tokugawa,0,1,12,0,0,0,1,2,0,0,0,0,3,0,0,0,0,4,0,0,0,15,15,0,0,1,55+,1,0,Masters,6,ACO,AFP
C100087,Cosmos,2,0,2,0,13,2,0,2,0,9,0,0,0,0,2,0,0,0,0,0,15,0,15,0,15,3,25-35,0,0,Masters,6,AET,AHO
C100088,Odyssey,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,25-35,1,0,Degree,7,ATV,AHJ
C100089,Ebony,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,18-24,0,0,Diploma,6,AWD,AWD
C100090,Centaur,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,55+,1,0,Masters,6,AGN,AGN
C100091,Odyssey,0,0,0,12,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,3,25-35,1,1,Masters,7,ADV,ANO
C100092,Centaur,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,15,15,0,15,4,18-24,1,0,Masters,4,AEC,AHO
C100093,Ebony,0,11,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,3,36-45,1,1,Degree,6,AWA,AWA
C100094,Odyssey,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,15,0,4,36-45,0,0,Diploma,6,AEC,AEC
C100095,Ebony,0,5,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,0,15,0,3,25-35,1,0,Diploma,6,AWX,AOT
C100096,Odyssey,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,3,25-35,1,0,Masters,8,AHR,AHR
C100097,Ebony,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,36-45,1,0,Degree,9,ACL,ABX
C100098,Odyssey,0,1,0,7,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,15,0,15,15,4,36-45,0,0,Degree,7,AER,AER
C100099,Centaur,6,0,0,0,3,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,8,0,0,0,0,3,46-55,0,0,Diploma,7,AWG,ACL
C100100,Centaur,2,5,0,1,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,15,15,0,15,0,3,25-35,0,0,Masters,6,ABX,AVO
C100101,Ebony,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,15,15,0,0,0,4,55+,0,0,Degree,9,ACN,ACN
C100102,Centaur,6,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,15,0,0,15,3,25-35,1,1,Degree,5,ACL,ARK
C100103,Tokugawa,0,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,15,0,4,36-45,1,0,Diploma,5,AXL,AQU
C100104,Cosmos,3,6,0,0,7,1,0,0,0,2,1,0,0,0,1,0,5,0,0,1,15,2,0,0,11,4,18-24,1,1,Degree,11,AUE,AWX
C100105,Odyssey,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,25-35,1,0,Diploma,2,AHO,AHO
C100106,Cosmos,0,2,2,0,5,0,1,1,0,5,0,0,0,0,0,0,1,1,0,0,0,15,15,0,15,3,55+,0,1,Degree,6,AYS,AYS
C100107,Cosmos,0,0,0,1,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,15,0,0,15,15,3,18-24,1,0,Primary,4,ATI,ATI
C100108,Odyssey,1,3,0,13,0,1,0,0,3,0,0,1,0,4,0,0,0,0,0,0,7,0,0,15,15,3,18-24,1,1,Degree,7,AWI,AWI
C100109,Cosmos,0,1,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,4,55+,1,0,Masters,5,ARK,ADV
C100110,Ebony,0,4,0,12,2,0,0,0,7,0,0,0,0,2,1,0,1,0,0,0,0,15,0,15,15,1,25-35,1,1,Masters,10,AVO,ACD
C100111,Centaur,7,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,15,0,0,1,25-35,1,0,Degree,5,AUJ,AUJ
C100112,Odyssey,0,0,0,9,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,18-24,1,0,Primary,7,AZG,AZG
C100113,Ebony,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,4,25-35,0,0,Degree,7,AWI,AWI
C100114,Odyssey,0,0,0,7,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,4,18-24,1,0,Diploma,8,AET,AET
C100115,Cosmos,0,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,3,36-45,1,0,Diploma,8,AHS,ATI
C100116,Odyssey,0,0,0,12,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,15,0,3,36-45,1,1,Primary,2,AES,AES
C100117,Cosmos,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,1,18-24,0,1,Masters,6,AJV,AJV
C100118,Odyssey,2,0,0,5,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,4,25-35,1,0,Degree,7,AWX,AXR
C100119,Centaur,12,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,25-35,1,1,Masters,6,ARK,ARK
C100120,Odyssey,0,0,0,13,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,4,46-55,1,0,Primary,7,AWI,AWI
C100121,Odyssey,8,2,1,11,1,8,2,1,11,1,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,4,46-55,0,0,Primary,6,AUE,AUE
C100122,Cosmos,3,1,0,0,7,3,0,0,0,3,0,0,0,0,2,0,1,0,0,0,15,15,0,0,15,3,36-45,1,0,Degree,7,AJI,APH
C100123,Ebony,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,3,18-24,1,0,Degree,2,AJI,ACL
C100124,Ebony,0,7,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,13,0,0,15,1,25-35,1,0,Masters,7,AXO,AXO
C100125,Ebony,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,15,12,0,0,0,3,25-35,1,1,Masters,7,AEC,APF
C100126,Tokugawa,0,5,11,12,4,0,1,4,3,2,0,1,1,2,1,0,2,3,1,0,0,15,15,15,15,3,25-35,1,0,Diploma,9,AJV,ABT
C100127,Cosmos,0,0,4,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,15,15,0,12,4,55+,0,0,Masters,8,AET,AKK
C100128,Odyssey,1,0,2,8,0,1,0,1,8,0,0,0,0,0,0,0,0,1,0,0,15,0,7,15,15,4,18-24,1,0,Degree,7,ADV,ABX
C100129,Ebony,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,15,15,0,15,0,3,36-45,1,1,Masters,7,AHJ,AHS
C100130,Tokugawa,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,36-45,0,1,Masters,7,ACL,AEC
C100131,Odyssey,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,15,0,15,0,4,25-35,1,0,Masters,7,ABX,ACL
C100132,Ebony,5,6,0,8,6,1,4,0,6,2,2,0,0,0,2,0,1,0,2,0,10,15,0,15,10,4,25-35,1,0,Masters,8,AWI,AWI
C100133,Odyssey,0,0,0,4,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,15,4,36-45,1,0,Degree,8,AHR,ACL
C100134,Cosmos,0,0,0,4,4,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,15,11,1,36-45,0,0,Masters,7,AMS,AMS
C100135,Centaur,8,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,25-35,1,0,Masters,9,AHS,AHS
C100136,Ebony,1,10,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,12,0,0,0,3,46-55,1,1,Masters,5,AUD,AUD
C100137,Odyssey,1,2,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15,15,0,15,0,2,18-24,1,1,Masters,9,ATI,AYE
C100138,Cosmos,0,9,0,0,11,0,5,0,0,11,0,1,0,0,0,0,1,0,0,0,0,15,0,0,15,3,55+,0,0,Masters,6,ASF,ASF
C100139,Centaur,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,10,3,25-35,1,0,Degree,9,AWD,AWD
C100140,Tokugawa,9,0,8,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,4,55+,1,0,Diploma,7,ACL,AXL
C100141,Odyssey,7,0,0,5,1,3,0,0,3,1,2,0,0,1,0,0,0,0,0,0,15,0,0,15,15,4,55+,0,1,Degree,7,AHJ,AHJ
C100142,Centaur,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,15,0,0,0,15,4,25-35,0,0,Masters,6,ATE,AWK
C100143,Ebony,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,15,0,15,0,1,18-24,1,0,Degree,8,AHO,AWD
C100144,Centaur,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,13,0,0,0,0,4,25-35,1,1,Masters,6,AHS,AHS
C100145,Ebony,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,4,36-45,0,0,Degree,5,ACL,AVW
C100146,Odyssey,2,4,0,20,0,2,3,0,15,0,0,0,0,2,0,0,1,0,1,0,15,15,0,15,0,4,25-35,1,0,Degree,6,AUE,AUE
C100147,Odyssey,0,0,0,8,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,1,25-35,0,0,Degree,9,AOV,AOV
C100148,Cosmos,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,36-45,0,0,Degree,6,AXG,ACL
C100149,Odyssey,0,0,0,4,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,15,15,4,25-35,1,0,Masters,7,ATI,ACD
C100150,Ebony,0,8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,4,18-24,1,1,Masters,7,ACL,AUD
C100151,Ebony,1,4,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,15,0,0,10,4,25-35,1,1,Masters,7,AZG,AZG
C100152,Tokugawa,4,0,10,0,2,0,0,3,0,1,0,0,3,0,0,1,0,0,0,1,0,0,10,0,0,1,25-35,1,0,Diploma,7,AWX,AEC
C100153,Cosmos,0,0,0,0,12,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,2,46-55,1,0,Masters,8,ACL,AWX
C100154,Odyssey,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,46-55,1,0,Primary,8,AOT,AOT
C100155,Tokugawa,1,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,15,0,15,0,0,3,25-35,0,1,Masters,5,AEC,AHO
C100156,Tokugawa,0,0,17,0,0,0,0,8,0,0,0,0,2,0,0,0,0,4,0,0,0,0,15,0,0,1,25-35,1,1,Degree,8,ANQ,ANQ
C100157,Odyssey,2,0,0,7,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,4,18-24,0,1,Degree,9,AYE,AYE
C100158,Cosmos,21,8,0,0,7,7,3,0,0,2,6,1,0,0,2,2,3,0,0,0,8,0,0,0,3,1,25-35,1,0,Degree,7,AHS,AHS
C100159,Cosmos,4,0,0,0,5,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,15,0,0,15,15,1,46-55,0,1,Masters,5,AWX,AQU
C100160,Cosmos,2,9,0,4,4,0,4,0,1,1,0,0,0,1,0,1,3,0,1,3,0,0,0,0,3,4,55+,1,0,Diploma,6,AKS,AHD
C100161,Cosmos,0,2,0,0,10,0,1,0,0,2,0,0,0,0,4,0,1,0,0,0,0,15,0,0,15,4,25-35,1,1,Degree,5,AJI,AOV
C100162,Centaur,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,1,46-55,1,0,Masters,8,AHS,AHS
