isin,buyvolume,sellvolume
isin113,5643000,8545500
isin114,0,0
isin115,2388656.25,659250
isin116,13608000,6066000
isin117,0,0
isin118,0,27000
isin119,0,2835000
isin120,124200,421200
isin121,540000,297000
isin122,324000,783000
isin123,42428.57143,333000
isin124,135000,9458100
isin125,0,0
isin126,49500,40500
isin127,0,0
isin128,0,27000
isin129,0,0
isin130,0,0
isin131,0,0
isin132,0,0
isin133,0,0
isin134,0,0
isin135,0,0
isin136,0,0
isin137,0,0
isin138,0,0
isin139,3138750,27000
isin140,0,0
isin141,48600,49781.25
isin142,660789.4737,192375
isin143,171000,274909.0909
isin144,13500,27000
isin145,73956.52174,149370.9677
isin146,59400,579272.7273
isin147,156413.7931,391500
isin148,1115250,200250
isin149,204000,337500
isin150,2143607.143,1125900
isin151,359709.6774,132198.1132
isin152,97500,2904428.571
isin153,366136.3636,532800
isin154,717428.5714,1798200
isin155,428625,527580
isin156,154710,282500
isin157,1562142.857,146045.4545
isin158,0,0
isin159,322650,6033461.538
isin160,0,0
isin161,492412.5,734142.8571
isin162,567000,567000
isin163,1245857.143,1387125
isin164,0,2835000
isin165,1632929.577,2238206.897
isin166,353417.9104,4231828.125
isin167,695769.2308,2321052.632
isin168,710250,490909.0909
isin169,7690500,3027857.143
isin170,2799321.429,9201600
isin171,2656369.565,3700285.714
isin172,2026565.217,5165804.348
isin173,5442428.571,4659750
isin174,5724000,7102800
isin175,804093.75,7965000
isin176,552000,214650
isin177,1116000,3580200
isin178,155250,445500
isin179,79826.08696,2444921.053
isin180,2850428.571,7252200
isin181,2259450,3814147.059
isin182,243729.7297,2186035.714
isin183,0,468000
isin184,2268000,2268000
isin185,729000,877500
isin186,2731500,5994000
isin187,54000,75600
isin188,0,13500
isin189,238846.1538,206357.1429
isin190,294750,245454.5455
isin191,4930200,10449000
isin192,0,0
isin193,648000,351000
isin194,1525500,2835000
isin195,0,0
isin196,0,0
isin197,0,0
isin198,0,0
isin199,0,0
isin200,81000,81000
isin201,0,0
isin202,0,0
isin203,0,0
isin204,0,0
isin205,0,0
isin206,0,0
isin207,0,0
isin208,0,0
isin209,0,0
isin211,0,81000
isin212,36000,54000
isin213,0,0
isin214,212625,151200
isin215,0,0
isin216,54000,102600
isin217,636223.4043,336656.25
isin218,196714.2857,1669178.571
isin219,1240071.429,2145308.824
isin220,177576.9231,400846.1538
isin221,882000,794045.4545
isin222,70200,560250
isin223,460776.3158,3422250
isin224,474954.5455,68727.27273
isin225,4965000,4660875
isin226,1149000,1314000
isin227,10143000,1863000
isin228,1722600,3942385.714
isin229,3322928.571,7431750
isin230,4851000,2342250
isin231,6935625,1842000
isin232,5225040,13721400
isin233,1696680,7282636.364
isin234,0,0
isin235,5643000,31077000
isin236,0,0
isin237,0,0
isin238,0,0
isin239,0,0
isin240,89100,84000
isin241,0,0
isin242,0,0
isin243,0,0
isin244,0,0
isin245,0,0
isin246,0,0
isin247,0,6169500
isin248,0,0
isin249,10449000,10449000
isin250,37800,99000
isin251,648000,2035800
isin252,981000,2835000
isin253,0,0
isin254,1625318.182,3741324.324
isin255,138375,195750
isin256,0,0
isin257,123882.3529,828562.5
isin258,0,0
isin259,0,0
isin260,0,351000
isin261,477000,675000
isin262,1269000,1066500
isin263,0,229500
isin264,0,8478000
isin265,567000,162000
isin266,67500,567000
isin267,492750,214961.5385
isin268,406928.5714,138750
isin269,92571.42857,308812.5
isin270,2796750,304714.2857
isin271,1253571.429,1674000
isin272,0,567000
isin273,1890000,3261600
isin274,0,0
isin275,715500,2625750
isin276,0,0
isin277,85500,13500
isin278,3145500,17091000
isin279,507600,3682125
isin280,180000,4755000
isin281,3098250,81000
isin282,651375,2782125
isin283,16092000,54000
isin284,1410750,2008500
isin285,0,4239000
isin286,5744700,9743625
isin287,530867.6471,1458931.034
isin288,20077200,3851181.818
isin289,7738500,9208421.053
isin290,0,11313000
isin291,7776000,3429000
isin292,0,0
isin293,0,27000
isin294,0,0
isin295,0,0
isin296,6858000,5832000
isin297,108000,99000
isin298,97342.10526,78545.45455
isin299,27000,27000
isin300,0,0
isin301,283500,2409750
isin302,0,0
isin303,0,0
isin304,5994000,5994000
isin305,702000,772200
isin306,3591000,3586500
isin307,0,0
isin308,0,11367000
isin309,1431000,999000
isin310,10489500,4018500
isin311,10449000,4914000
isin312,0,0
isin313,3518307.692,1501875
isin314,2452500,2544750
isin315,450000,2331000
isin316,9936000,702000
isin317,0,0
isin318,0,0
isin319,333418.6047,118903.8462
isin320,814050,148500
isin321,31909.09091,330136.3636
isin322,63947.36842,90818.18182
isin323,0,0
isin324,0,0
isin325,22500,48600
isin326,0,27000
isin327,0,13500
isin328,27000,13500
isin329,99000,121500
isin330,0,0
isin331,0,27000
isin332,320625,33750
isin333,0,0
isin334,1548000,7052400
isin335,764100,2079000
isin336,0,0
isin337,477000,1404000
isin338,108000,108000
isin339,270000,1503000
isin340,5724000,2848500
isin341,2934000,15692400
isin342,12381000,7799318.182
isin343,1652400,4228392.857
isin344,465750,5658000
isin345,1659272.727,1791818.182
isin346,1379250,1876500
isin347,3357000,2502000
isin348,1294312.5,823500
isin349,0,0
isin350,0,0
isin351,0,0
isin352,0,0
isin353,0,0
isin354,0,0
isin355,0,0
isin356,2781000,1209600
isin357,33750,18000
isin358,175500,1134000
isin359,49500,97200
isin360,0,0
isin361,0,0
isin362,0,0
isin363,0,2835000
isin364,0,0
isin365,0,0
isin366,0,270000
isin367,0,0
isin368,0,0
isin369,0,418500
isin370,5103000,3055500
isin371,675000,2170800
isin372,0,0
isin373,0,1188000
isin374,0,270000
isin375,0,0
isin376,1314000,7101000
isin377,0,0
isin378,675000,666000
isin379,0,351000
isin380,1593000,27000
isin381,108000,675000
isin382,0,0
isin383,0,0
isin384,9936000,9936000
isin385,324000,162000
isin386,0,0
isin387,0,0
isin388,0,0
isin389,574200,3321000
isin390,27000,27000
isin391,1872000,595500
isin392,519750,24300
isin393,0,0
isin394,0,31644000
isin395,0,135000
isin396,0,27000
isin397,0,0
isin398,243000,135000
isin399,4363615.385,6501600
isin400,0,0
isin401,6966000,9936000
isin402,0,0
isin403,1485000,2916000
isin404,33750,243000
isin405,40500,81000
isin406,0,270000
isin407,101250,81000
isin408,0,1431000
isin409,108000,3870000
isin410,4599000,3681000
isin411,567000,534600
isin412,1323000,351000
isin413,0,1260000
isin414,5359500,1571785.714
isin415,27000,27000
isin416,0,27000
isin417,0,0
isin418,0,0
isin419,45900,81000
isin420,270000,27000
isin421,8766000,2625750
isin422,0,0
isin423,0,0
isin424,0,0
isin425,0,1323000
isin426,5670000,5670000
isin427,0,0
isin428,0,13500
isin429,0,13500
isin430,0,0
isin431,0,27000
isin432,45000,40500
isin433,86400,135000
isin434,0,27000
isin435,0,0
isin436,27000,54000
isin437,0,27000
isin438,0,0
isin439,270000,189000
isin440,81000,27000
isin441,0,0
isin442,27000,27000
isin443,0,0
isin444,0,234000
isin445,0,1971000
isin446,3546000,27000
isin447,0,1235250
isin448,4086000,702000
isin449,567000,27000
isin450,0,0
isin451,0,0
isin452,0,639000
isin453,0,0
isin454,0,0
isin456,2835000,2835000
isin457,702000,324000
isin458,1404000,1404000
isin459,9936000,9936000
isin460,0,0
isin461,108000,72000
isin462,81000,2538000
isin463,0,57807.69231
isin464,38812.5,108000
isin465,0,0
isin466,0,0
isin467,2230200,1012500
isin468,8316000,4865400
isin469,0,32400
isin470,124200,35100
isin471,79071.42857,258750
isin472,237600,27000
isin473,0,0
isin474,153000,90000
isin475,0,0
isin476,0,0
isin477,0,54000
isin478,0,54000
isin479,0,0
isin480,113400,414000
isin481,0,0
isin482,54000,459000
isin483,176538.4615,418050
isin484,164177.4194,307184.2105
isin485,27000,53205.88235
isin486,1282500,113400
isin487,378000,1743428.571
isin488,201656.25,535500
isin489,147420,151983.871
isin490,278370,578880
isin491,437192.3077,449908.1633
isin492,4707000,8046000
isin493,783000,5818500
isin494,0,0
isin495,891000,3915000
isin496,0,0
isin497,0,0
isin498,0,0
isin499,0,0
isin500,0,0
isin501,0,378000
isin502,0,14067000
isin503,0,216000
isin504,0,0
isin505,0,0
isin506,1107000,135000
isin507,0,81000
isin508,7825090.909,6813000
isin509,0,0
isin510,42000,83076.92308
isin511,3466800,7533000
isin512,1431000,423000
isin513,1071000,16834500
isin514,0,5157000
isin515,961200,5625000
isin516,6435000,5739750
isin517,7371000,560250
isin518,0,0
isin519,67500,79411.76471
isin520,0,0
isin521,229500,189000
isin522,81000,3240000
isin523,0,0
isin524,0,0
isin525,36000,72900
isin526,1674000,1809000
isin527,300621.9512,588857.1429
isin528,10449000,2873250
isin529,0,0
isin530,0,864000
isin531,0,20250
isin532,259047.1698,1774125
isin533,56076.92308,85218.75
isin534,126321.4286,48600
isin535,83160,182250
isin536,0,9936000
isin537,7038000,9936000
isin538,5940000,5940000
isin539,51279.06977,521526.3158
isin540,1404000,1404000
isin541,0,0
isin542,0,0
isin543,27000,54000
isin544,0,0
isin545,0,0
isin546,911250,10449000
isin547,27000,27000
isin548,0,0
isin549,0,0
isin550,0,0
isin551,0,0
isin552,0,0
isin553,5715000,4063500
isin554,217629.3103,1416272.727
isin555,24750,27000
isin556,0,0
isin557,4817571.429,15835500
isin558,15426000,923400
isin559,1009800,5942250
isin560,0,108000
isin561,27000,13500
isin562,172800,398250
isin563,2295000,2044285.714
isin564,364500,1050545.455
isin565,0,945000
isin566,10449000,2759400
isin567,393750,2220750
isin568,27000,2882250
isin569,2138400,490500
isin570,195000,3586500
isin571,1231200,778235.2941
isin572,1335000,1473000
isin573,1177615.385,213300
isin574,2976750,2362500
isin575,499500,603000
isin576,344250,756000
isin577,414000,1255500
isin578,5427000,3665250
isin579,148500,1832625
isin580,358363.6364,2122615.385
isin581,175500,225000
isin582,75000,81000
isin583,6098142.857,8545500
isin584,0,0
isin585,0,0
isin586,135000,81000
isin587,0,10449000
isin588,0,27000
isin589,0,0
isin590,0,0
isin591,0,0
isin592,0,0
isin593,3240000,15849000
isin594,1093500,702000
isin595,5876808.511,12052285.71
isin596,0,135000
isin597,2995071.429,5238000
isin598,0,0
isin599,3378857.143,9348750
isin600,144000,513000
isin601,8478000,45000
isin602,6714000,6714000
isin603,0,0
isin604,2565000,567000
isin605,2338875,3164400
isin606,5332500,8175600
isin607,9936000,648000
isin608,9936000,837000
isin609,9936000,9936000
isin610,3934285.714,6642000
isin611,7325100,6336000
isin612,0,0
isin613,9936000,4491000
isin614,7191000,567000
isin615,0,0
isin616,0,54000
isin617,0,0
isin618,135000,22500
isin619,135000,421875
isin620,1120500,621000
isin621,124200,2979000
isin622,1377000,2238300
isin623,6418285.714,16672500
isin624,3277500,3793500
isin625,209250,6596100
isin626,4455000,175500
isin627,1557000,5041500
isin628,902911.7647,1948821.429
isin629,7489800,4743409.091
isin630,121500,894857.1429
isin631,99000,32400
isin632,0,189000
isin633,0,0
isin634,2500875,1935473.684
isin635,172657.8947,482884.6154
isin636,1044000,394875
isin637,362812.5,69882.35294
isin638,490500,495818.1818
isin639,783000,391500
isin640,3051000,3740538.462
isin641,9936000,1458000
isin642,0,2835000
isin643,159000,1107000
isin644,270000,138375
isin645,0,375300
isin646,0,0
isin647,0,0
isin648,0,27000
isin649,0,0
isin650,0,0
isin651,64800,53129.03226
isin652,27000,48600
isin653,0,27000
isin654,0,0
isin655,0,0
isin656,0,0
isin657,0,54000
isin658,0,0
isin659,0,0
isin660,2835000,1458000
isin661,384750,918000
isin662,1233000,3885000
isin663,0,0
isin664,675000,2407500
isin665,1674000,1171800
isin666,4698000,999000
isin667,1431000,850500
isin668,7209000,4293000
isin669,0,18000
isin670,0,0
isin671,0,0
isin672,0,0
isin673,0,0
isin674,2646000,1053000
isin675,0,0
isin676,0,0
isin677,0,0
isin678,0,0
isin679,0,0
isin680,7674750,2882250
isin681,0,744428.5714
isin682,9936000,1404000
isin683,0,324000
isin684,0,0
isin685,1174500,22500
isin686,0,0
isin687,3969000,4570714.286
isin688,0,0
isin689,0,0
isin690,0,735750
isin691,0,0
isin692,0,0
isin693,94500,14148000
isin694,0,0
isin695,0,0
isin696,0,0
isin697,10449000,162000
isin698,5427000,3268227.273
isin699,2119500,2119500
isin700,108000,1053000
isin701,9936000,432000
isin702,1782000,3609000
isin703,27000,337500
isin704,324000,1701000
isin705,0,189000
isin706,0,0
isin707,432000,63000
isin708,0,0
isin709,0,0
isin710,9936000,9936000
isin711,0,0
isin712,0,0
isin713,0,0
isin714,0,0
isin715,0,0
isin716,0,0
isin717,0,0
isin718,5643000,887142.8571
isin719,1215000,6084000
isin720,432168.75,3017571.429
isin721,142714.2857,851500
isin722,0,0
isin723,200045.4545,23625
isin724,475200,162794.1176
isin725,0,135000
isin726,1323000,281571.4286
isin727,445500,153000
isin728,352438.5246,964369.5652
isin729,186750,91800
isin730,118100,662400
isin731,0,0
isin732,2956500,3423600
isin733,1161000,972771.4286
isin734,1356000,1333000
isin735,1125000,57857.14286
isin736,836289.4737,796500
isin737,18746100,20769750
isin738,2211000,5785714.286
isin739,1404000,1404000
isin740,417913.0435,398948.2759
isin741,27000,54000
isin742,2025000,1593000
isin743,0,0
isin744,1224000,955384.6154
isin745,11313000,3969000
isin746,7227900,466714.2857
isin747,0,31644000
isin748,2683384.615,5879769.231
isin749,18292500,4522500
isin750,634500,4107857.143
isin751,0,27000
isin752,2740500,1870363.636
isin753,922090.9091,16645500
isin754,0,162000
isin755,0,0
isin756,0,0
isin757,0,0
isin758,837000,141750
isin759,0,0
isin760,810000,5231250
isin761,1282500,4509000
isin762,0,675000
isin763,3610285.714,7996500
isin764,418500,855000
isin765,4122000,2127600
isin766,0,0
isin767,591300,249750
isin768,570857.1429,1498500
isin769,2538000,1458000
isin770,1981125,3820500
isin771,0,0
isin772,6061500,2835000
isin773,54000,830250
isin774,0,0
isin775,1791000,2160000
isin776,5883750,588600
isin777,1398000,6126750
isin778,270000,1404000
isin779,2178000,4368000
isin780,4956000,7241400
isin781,0,0
isin782,0,0
isin783,0,5643000
isin784,0,0
isin785,22612500,8316000
isin786,3402000,4338000
isin787,11302200,3523500
isin788,0,0
isin789,0,0
isin790,0,0
isin791,0,0
isin792,0,0
isin793,0,0
isin794,810000,891000
isin795,0,0
isin796,153000,126000
isin797,1294714.286,128250
isin798,461250,723600
isin799,0,0
isin800,110250,62100
isin801,312750,1410230.769
isin802,9541800,9579600
isin803,2194714.286,1723500
isin804,156375,923400
isin805,830647.0588,877500
isin806,1334250,1151653.846
isin807,171000,333000
isin808,2133000,4185000
isin809,3014400,6143464.286
isin810,5600250,18841090.91
isin811,48000,54000
isin812,48600,13500
isin813,7938000,145125
isin814,0,0
isin815,0,0
isin816,9344250,9428785.714
isin817,0,0
isin818,11313000,11313000
isin819,3609000,29700
isin820,0,0
isin821,0,1404000
isin822,0,27000
isin823,64384.61538,209769.2308
isin824,163038.4615,735750
isin825,0,0
isin826,220500,806625
isin827,195750,116100
isin828,654750,252750
isin829,429750,118800
isin830,59785.71429,54000
isin831,1645380,8640000
isin832,168750,54000
isin833,47250,423000
isin834,27000,152653.8462
isin835,798187.5,2744357.143
isin836,0,0
isin837,0,162000
isin838,0,0
isin839,0,0
isin840,8478000,8478000
isin841,1863000,2214000
isin842,0,0
isin843,0,135000
isin844,0,0
isin845,54000,81000
isin846,0,0
isin847,486000,324000
isin848,243000,54000
isin849,4266000,2160000
isin850,6156000,6156000
isin851,0,0
isin852,54000,43200
isin853,301500,27000
isin854,2430000,2385000
isin855,1943129.032,10854000
isin856,2187000,565650
isin857,0,13500
isin858,0,27000
isin859,49090.90909,100500
isin860,0,0
isin861,2511000,372600
isin862,162000,62100
isin863,0,0
isin864,459000,40500
isin865,0,0
isin866,567000,189000
isin867,5643000,2943000
isin868,169363.6364,171642.8571
isin869,0,0
isin870,2052000,36000
isin871,0,0
isin872,238235.2941,748636.3636
isin873,145800,128250
isin874,40500,2567700
isin875,436500,2619000
isin876,432000,114750
isin877,1509375,430875
isin878,170379.3103,1311827.586
isin879,339882.3529,398250
isin880,0,0
isin881,4392000,3060818.182
isin882,459000,11106000
isin883,0,0
isin884,0,1026000
isin885,503224.1379,675964.2857
isin886,871875,616500
isin887,513000,229500
isin888,510300,72900
isin889,766800,9365142.857
isin890,6336000,9279360
isin891,4770000,1935000
isin892,1611000,954000
isin893,2494500,10573200
isin894,766914.8936,13995000
isin895,4339636.364,20482200
isin896,2133000,193764.7059
isin897,235285.7143,151875
isin898,0,0
isin899,4802142.857,8059500
isin900,162000,702000
isin901,142714.2857,189000
isin902,0,54000
isin903,0,0
isin904,0,0
isin905,216000,360000
isin906,567000,1248750
isin907,0,0
isin908,2165400,1809000
isin909,0,0
isin910,0,0
isin911,4239000,1863000
isin912,351000,475875
isin913,0,0
isin914,0,0
isin915,27000,27000
isin916,0,0
isin917,1660500,393428.5714
isin918,0,0
isin919,1053000,11313000
isin920,72000,270000
isin921,0,756000
isin922,15862500,3252150
isin923,1605103.448,4410000
isin924,3690000,7164000
isin925,1782000,1431000
isin926,1941750,636428.5714
isin927,2052000,10719000
isin928,0,0
isin929,0,27000
isin930,0,0
isin931,0,0
isin932,6156000,6156000
isin933,0,0
isin934,0,0
isin935,0,270000
isin936,0,0
isin937,0,0
isin938,0,0
isin939,0,0
isin940,0,0
isin941,6188400,567000
isin942,0,0
isin943,42313.43284,226968.75
isin944,82800,303850.7463
isin945,138857.1429,185500
isin946,0,0
isin947,0,0
isin948,0,0
isin949,0,0
isin950,189000,135000
isin951,0,0
isin952,0,0
isin953,0,972000
isin954,0,162000
isin955,54000,135000
isin956,304875,1053000
isin957,44357.14286,27000
isin958,0,0
isin959,414642.8571,423900
isin960,35437.5,62590.90909
isin961,308571.4286,156000
isin962,284850,243000
isin963,0,0
isin964,47250,148500
isin965,0,189000
isin966,139153.8462,527625
isin967,405000,432000
isin968,1404000,77625
isin969,0,513000
isin970,589500,2560500
isin971,511553.5714,242035.7143
isin972,94500,405000
isin973,220500,218700
isin974,1476000,1404000
isin975,889961.5385,2793000
isin976,274743.2432,414375
isin977,0,0
isin978,767131.5789,1961653.846
isin979,1870125,3317250
isin980,675000,27000
isin981,1229902.597,1616553.191
isin982,8587588.235,4746130.435
isin983,1763881.579,3107977.941
isin984,2813704.225,2591534.483
isin985,5242909.091,8505000
isin986,0,0
isin987,327500,121500
isin988,0,0
isin989,168750,308571.4286
isin990,1825875,2821500
isin991,7647750,5427000
isin992,1953000,114750
isin993,4149000,2936250
isin994,13500,2949750
isin995,243000,850500
isin996,0,0
isin997,0,27000
isin998,423000,567000
isin999,0,0
isin1000,0,0
isin1001,0,0
isin1002,0,0
isin1003,0,0
isin1004,33750,27000
isin1005,16524000,10656000
isin1006,6366600,12438000
isin1007,0,675000
isin1008,1089000,27000
isin1009,0,27000
isin1010,561600,105000
isin1011,2318625,4313250
isin1012,1150875,858600
isin1013,178875,55687.5
isin1014,270000,391500
isin1015,0,0
isin1016,675000,252000
isin1017,0,162000
isin1018,796500,567000
isin1019,27000,27000
isin1020,0,0
isin1021,36000,27000
isin1022,0,0
isin1023,0,3010500
isin1024,0,0
isin1025,54000,27000
isin1026,34714.28571,13500
isin1027,0,0
isin1028,0,0
isin1029,1323000,999000
isin1030,3577500,118323.5294
isin1031,748956.5217,841013.5135
isin1032,158666.6667,611632.6531
isin1033,89100,681187.5
isin1034,1014525,3533625
isin1035,4473000,8478000
isin1036,1112906.25,517153.8462
isin1037,196886.1386,406928.5714
isin1038,2607136.364,511540.5405
isin1039,2077532.609,1630968.75
isin1040,340875,503100
isin1041,2133000,702000
isin1042,181551.7241,4709571.429
isin1043,265090.9091,567000
isin1044,454800,138375
isin1045,405710.5263,643371.4286
isin1046,5143500,11858625
isin1047,0,0
isin1048,162000,691200
isin1049,0,0
isin1050,1447500,1047600
isin1051,1518893.617,528576.9231
isin1052,153000,707062.5
isin1053,2338200,823500
isin1054,742500,2494500
isin1055,1404000,16524000
isin1056,1363500,1148625
isin1057,0,18000
isin1058,523241.3793,143100
isin1059,3978450,9334285.714
isin1060,1759050,1965441.176
isin1061,1476155.172,2662740
isin1062,2725116.279,6117260.87
isin1063,0,0
isin1064,3035250,31644000
isin1065,491472.973,34363.63636
isin1066,6003000,3855857.143
isin1067,54000,81000
isin1068,97875,310500
isin1069,0,0
isin1070,54000,81000
isin1071,2844000,27000
isin1072,0,0
isin1073,1276363.636,1639285.714
isin1074,0,0
isin1075,0,0
isin1076,1026000,580500
isin1077,938250,711000
isin1078,5103000,1026000
isin1079,9936000,2439000
isin1080,362571.4286,67500
isin1081,1296000,1971000
isin1082,3807000,5643000
isin1083,0,1120500
isin1084,3545100,750093.75
isin1085,10449000,6334200
isin1086,70875,46125
isin1087,0,9936000
isin1088,0,0
isin1089,135000,1917000
isin1090,1715538.462,587250
isin1091,2036250,264600
isin1092,1870714.286,397657.8947
isin1093,1018730.769,162000
isin1094,3319071.429,1969826.087
isin1095,1879615.385,162435.4839
isin1096,1923428.571,724040.8163
isin1097,168750,337500
isin1098,297000,951750
isin1099,0,0
isin1100,0,0
isin1101,0,0
isin1102,0,0
isin1103,0,0
isin1104,0,0
isin1105,0,0
isin1106,0,0
isin1107,54000,391500
isin1108,351000,452250
isin1109,0,0
isin1110,0,0
isin1111,0,0
isin1112,6126065.217,6426000
isin1113,0,0
isin1114,0,0
isin1115,0,0
isin1116,9936000,9936000
isin1117,7002000,5845500
isin1118,4005000,594000
isin1119,9936000,1633500
isin1120,0,0
isin1121,5796000,5251500
isin1122,3871800,7067250
isin1123,5575500,1215000
isin1124,0,715500
isin1125,128250,1849500
isin1126,2835000,27000
isin1127,187500,1584000
isin1128,56382.35294,67500
isin1129,0,54000
isin1130,0,0
isin1131,4563000,6419250
isin1132,6385500,2835000
isin1133,0,0
isin1134,0,0
isin1135,54000,27000
isin1136,0,0
isin1137,0,0
isin1138,0,0
isin1139,0,0
isin1140,0,0
isin1141,0,5643000
isin1142,0,31644000
isin1143,0,0
isin1144,0,0
isin1145,27000,126000
isin1146,1417500,742500
isin1147,34714.28571,27000
isin1148,41294.11765,54000
isin1149,27000,141750
isin1150,13500,40500
isin1151,923400,1100250
isin1152,0,0
isin1153,49846.15385,108000
isin1154,0,0
isin1155,0,0
isin1156,0,0
isin1157,0,0
isin1158,0,27000
isin1159,0,2521800
isin1160,0,0
isin1161,81000,1069200
isin1162,0,0
isin1163,0,0
isin1164,0,0
isin1165,0,0
isin1166,2502000,270000
isin1167,580500,371250
isin1168,0,0
isin1169,4491000,4095000
isin1170,3645000,1485000
isin1171,0,486000
isin1172,0,0
isin1173,0,0
isin1174,27000,81000
isin1175,54000,486000
isin1176,131142.8571,1404000
isin1177,31500,2835000
isin1178,1953818.182,3618000
isin1179,40500,54000
isin1180,81729.72973,94500
isin1181,174326.087,257896.5517
isin1182,850500,504000
isin1183,4397625,31644000
isin1184,144000,27000
isin1185,0,36000
isin1186,0,0
isin1187,86400,27000
isin1188,1936058.824,3297857.143
isin1189,4239000,610875
isin1190,95850,210214.2857
isin1191,7060500,3010500
isin1192,335571.4286,688500
isin1193,0,0
isin1194,1476000,1575000
isin1195,511200,1180636.364
isin1196,0,1683000
isin1197,204000,347000
isin1198,0,0
isin1199,0,54000
isin1200,0,5643000
isin1201,0,0
isin1202,27000,27000
isin1203,0,0
isin1204,0,0
isin1205,38117.64706,42750
isin1206,0,0
isin1207,0,0
isin1208,165875,1855730.769
isin1209,0,0
isin1210,0,0
isin1211,0,0
isin1212,27000,27000
isin1213,0,216000
isin1214,0,27000
isin1215,0,0
isin1216,378000,621000
isin1217,0,27000
isin1218,9936000,9936000
isin1219,51802.32558,92250
isin1220,5670000,5926500
isin1221,0,0
isin1222,0,9936000
isin1223,0,0
isin1224,6777000,8370000
isin1225,0,0
isin1226,0,0
isin1227,0,0
isin1228,0,0
isin1229,0,0
isin1230,3537000,3537000
isin1231,0,0
isin1232,0,0
isin1233,0,0
isin1234,0,0
isin1235,0,0
isin1236,0,0
isin1237,0,0
isin1238,0,0
isin1239,0,0
isin1240,0,0
isin1241,0,0
isin1242,1201500,2358000
isin1243,0,7911000
isin1244,11807100,12825000
isin1245,27000,5238000
isin1246,0,54000
isin1247,7074000,13230000
isin1248,0,0
isin1249,270000,5724000
isin1250,0,4941000
isin1251,20412000,20769750
isin1252,16642800,7141500
isin1253,4941000,5643000
isin1254,911250,10620000
isin1255,67500,148500
isin1256,0,0
isin1257,0,0
isin1258,945000,1019250
isin1259,652500,1825342.105
isin1260,18900,13500
isin1261,1400625,603000
isin1262,378000,5130000
isin1263,855000,7971750
isin1264,0,0
isin1265,54000,330750
isin1266,0,148500
isin1267,2133000,162000
isin1268,0,54000
isin1269,0,0
isin1270,423000,1193400
isin1271,2170800,16456500
isin1272,88714.28571,27000
isin1273,459000,9108000
isin1274,0,0
isin1275,2835000,2268000
isin1276,426600,2052000
isin1277,0,18000
isin1278,0,0
isin1279,567000,162000
isin1280,0,0
isin1281,216000,432000
isin1282,0,0
isin1283,3132000,13500
isin1284,0,270000
isin1285,13500,54000
isin1286,67500,904500
isin1287,1026000,1204200
isin1288,1930500,135000
isin1289,0,0
isin1290,0,0
isin1291,0,0
isin1292,0,0
isin1293,0,0
isin1294,0,0
isin1295,11880000,11880000
isin1296,31077000,31077000
isin1297,13284000,17433000
isin1298,0,1971000
isin1299,9450000,9450000
isin1300,0,0
isin1301,0,1404000
isin1302,0,0
isin1303,2193230.769,842597.561
isin1304,0,0
isin1305,9936000,7320857.143
isin1306,3933000,729000
isin1307,5035500,5130000
isin1308,0,0
isin1309,0,0
