"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB","Default","query_days","usage_number","LevelPaymentSettlement","LevelTech","Account","PaymentSettlement","Browsing","OperationalCapabilities","GeneralInformation","NoBrowse","Payment","FullPayment","Redirected","Nosupport.ThirdParty","SlowBrowse","Utilities","ExplanationofCharges","Change","MultipleItems.EntireBill","UpdatePaymentInformation","GeneralInquiry","Retention","CommenceDays","Warrentydays"
"11","VALID","PWR","Open","Female","Northern","BOUGHT",51,"Three Full Years",11,0,22,0,"3",0,2013,1,19,2015,7,17," Card II TYPE",1175,457,3765,1,118,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,-107
"12","VALID","CHC","Open","Female","Western","Unknown",54.3991568627,"Three Full Years",6,0,22,0,"None",0,2014,8,28,2016,7,28,"None",2035,457,3481,1,2135,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-483
"13","VALID","CHC","Open","Female","Eastern","Unknown",46.3666904762,"Three Full Years",3,0,12,0,"None",0,2014,8,27,2016,7,27,"None",2035,457,4617,933,4333,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-482
"14","VALID","CHC","Open","Male","Western","Second Hand",55.1170943627,"Three Full Years",6,0,22,0,"None",0,2014,8,26,2016,7,23,"None",2035,457,2183,1,1084,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,-478
"15","VALID","CHC","Open","Male","Northern","Second Hand",56,"Three Full Years",2,0,12,0,"None",0,2014,8,28,2016,8,3,"None",2035,457,305,369,982,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-488
"16","VALID","CHC","Open","Male","Western","Second Hand",54,"Three Full Years",3,0,7,0,"None",0,2014,8,27,2016,7,27,"None",2035,457,4225,378,4295,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-482
"17","VALID","CHC","Open","Female","Northern","Second Hand",38,"Three Full Years",2,0,21,0,"None",0,2014,8,28,2016,7,28,"None",2035,457,333,1,299,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-483
"18","VALID","CHC","Open","Male","Northern","Second Hand",45,"Three Full Years",4,10,2,0,"None",0,2014,8,27,2016,7,27,"None",2035,457,3566,259,94,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-482
"19","VALID","CHC","Open","Male","Northern","Second Hand",51.1908571429,"Three Full Years",2,0,12,0,"None",0,2014,8,28,2016,8,3,"None",2035,457,1757,1,1270,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-488
"20","VALID","CHC","Open","Female","Eastern","Second Hand",36,"Three Full Years",10,0,17,0,"None",0,2014,9,21,2016,7,21,"None",2035,457,1441,208,3882,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,-476
"21","VALID","CHC","Open","Female","Eastern","Second Hand",48,"Three Full Years",6,0,17,0,"None",0,2014,9,21,2016,9,21,"None",2035,457,3668,1,2182,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,-536
"22","VALID","POP","Open","Male","Eastern","RENTED",47,"Three Full Years",7,10,21,0,"3",0,2012,6,10,2015,7,22," Card II TYPE",1965,457,3567,1,1003,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,-112
"23","VALID","PWR","Open","Male","Northern","BOUGHT",48,"Three Full Years",3,0,22,0,"3",0,2013,2,24,2015,7,5," Card II TYPE",1176,457,1666,881,2055,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,-95
"24","VALID","CHC","Open","Female","Eastern","RENTED",67,"Three Full Years",9,5,22,0,"3",0,2014,5,20,2016,7,15," Card II TYPE",1115,457,2723,697,284,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,-470
"25","VALID","PWR","Open","Male","Western","RENTED",55,"Three Full Years",3,0,17,0,"3",0,2011,11,5,2015,7,28," Card I TYPE",1132,457,2399,1,1376,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,-118
"26","VALID","PWM","Open","Female","Northern","RENTED",47,"Three Full Years",5,0,22,1,"3",0,2012,2,13,2015,7,19," Card II TYPE",389,457,2080,1,2539,0,-67,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,-109
"27","VALID","MXX","Open","Male","Eastern","RENTED",60,"Three Full Years",7,0,17,1,"3",0,2012,1,11,2015,7,8," Card II TYPE",550,457,4617,933,4333,0,-70,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1174,-98
"28","VALID","PWM","Open","Male","Eastern","BOUGHT",51,"Three Full Years",6,0,21,0,"2",0,2012,8,28,2015,7,14,"Paper based/Post",205,457,4181,1,3671,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,-104
"29","VALID","PWM","Open","Male","Western","BOUGHT",54,"Three Full Years",4,13,12,0,"3",0,2012,9,5,2015,7,20," Card II TYPE",241,457,3963,1,3745,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,-110
"30","VALID","KLA","Open","Female","Northern","RENTED",68,"Three Full Years",6,14,17,0,"2",0,2011,12,30,2015,8,2," Card II TYPE",126,457,4071,1,3383,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,-122
"31","VALID","POP","Open","Male","Eastern","RENTED",58,"Three Full Years",8,5,22,0,"3",0,2011,11,21,2015,7,29,"Paper based/Post",162,457,4040,1,1397,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,-119
"32","VALID","PWM","Open","Male","Eastern","RENTED",53,"Three Full Years",7,0,21,0,"3",0,2011,10,14,2015,7,25," Card II TYPE",327,457,2361,1,2937,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,-115
"33","VALID","PWR","Open","Male","Northern","RENTED",57,"Three Full Years",3,0,17,2,"3",0,2012,7,1,2015,7,12," Card II TYPE",1521,457,2740,1,1050,0,-82,3,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1004,-102
"34","VALID","PMM","Open","Male","Northern","RENTED",47,"Three Full Years",6,0,12,1,"3",0,2014,4,10,2016,7,26," Card II TYPE",1521,457,450,1,1000,0,-52,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,355,-481
"35","VALID","POP","Open","Male","Northern","BOUGHT",43,"Three Full Years",6,0,21,0,"3",0,2012,1,18,2015,7,26," Card II TYPE",1848,457,3592,1,840,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,-116
"36","VALID","PWR","Open","Female","Eastern","RENTED",47,"Three Full Years",3,0,12,0,"3",0,2011,12,17,2015,7,26," Card II TYPE",1147,457,839,1,1220,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,-116
"37","VALID","KLA","Open","Male","Northern","RENTED",48.3093396283,"Three Full Years",3,0,12,0,"None",0,2011,10,7,2015,8,3,"None",2035,457,3487,1,2751,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,-123
"38","VALID","POP","Open","Male","Northern","RENTED",74,"Three Full Years",5,0,22,3,"None",0,2012,2,17,2015,8,3,"None",2035,457,4428,1,419,1,-62,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1138,-123
"39","VALID","PWR","Open","Female","Northern","BOUGHT",70,"Three Full Years",3,14,22,0,"None",0,2012,2,24,2015,7,29,"None",2035,457,959,1,3317,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,-119
"40","VALID","PWR","Open","Female","Eastern","RENTED",61,"Full Year",6,20,22,0,"None",0,2012,7,29,2015,7,13,"None",2035,457,3433,1,2637,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,-103
"41","VALID","PWR","Open","Male","Eastern","BOUGHT",52.5252401961,"Three Full Years",6,0,22,0,"None",0,2012,3,31,2015,7,29,"None",2035,457,3999,1,1966,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,-119
"42","VALID","POP","Open","Female","Northern","BOUGHT",57,"Three Full Years",4,18,17,3,"None",0,2013,11,10,2016,7,19,"None",2035,457,1546,1,2309,1,-54,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,510,-474
"43","VALID","PWR","Closed","Female","Eastern","RENTED",43.1558333333,"Three Full Years",4,0,7,0,"None",0,2013,2,5,2015,7,5,"None",2035,457,4617,933,4333,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,-95
"44","VALID","PWM","Open","Male","Northern","RENTED",72,"Three Full Years",6,13,21,1,"None",0,2011,9,30,2015,7,22,"None",2035,457,3061,1,3574,1,-61,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,-112
"45","VALID","PPL","Open","Male","Western","RENTED",45.852547619,"Three Full Years",6,0,12,0,"None",0,2015,3,3,2017,2,13,"None",2035,457,1800,1,3687,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-683
"46","VALID","KLA","Open","Female","Western","RENTED",48,"Three Full Years",8,6,17,3,"None",0,2011,10,13,2015,7,29,"None",2035,457,1785,1,3507,1,-102,3,1,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1267,-119
"47","VALID","PMM","Open","Female","Eastern","RENTED",67,"Three Full Years",3,0,22,0,"3",0,2014,3,13,2016,7,9,"Paper based/Post",1403,457,102,1,3417,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,-464
"48","VALID","MXX","Open","Female","Northern","RENTED",46,"Three Full Years",10,12,17,1,"None",1,2011,12,14,2015,7,23,"None",2035,51,2370,468,2199,1,-101,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1206,-113
"49","VALID","PRS","Open","Male","Western","RENTED",47,"Three Full Years",6,0,22,0,"None",0,2011,10,25,2015,7,31,"None",2035,457,2554,1,1463,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,-121
"50","VALID","POP","Open","Female","Northern","RENTED",61,"Three Full Years",4,0,17,1,"None",0,2012,2,15,2015,7,10,"None",2035,457,2150,1,2948,1,-34,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1140,-100
"51","VALID","PPL","Open","Male","Eastern","BOUGHT",52,"Three Full Years",5,0,17,2,"None",0,2014,10,25,2016,10,13,"None",2035,457,1295,502,1658,1,-55,3,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,160,-558
"52","VALID","PMM","Open","Male","Western","RENTED",55.9035833333,"Three Full Years",4,0,22,0,"None",0,2014,8,27,2016,8,4,"None",2035,457,1340,658,1863,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-489
"53","VALID","PRP","Open","Male","Northern","RENTED",40,"Three Full Years",4,0,12,0,"None",0,2014,6,17,2016,7,8,"None",2035,457,2750,1,4228,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,-463
"54","VALID","PPL","Open","Male","Eastern","RENTED",63,"Three Full Years",1,6,17,2,"None",0,2013,9,7,2015,8,28,"None",2035,457,1396,1,916,1,-116,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,-148
"55","VALID","PWR","Open","Female","Northern","RENTED",76,"Three Full Years",3,14,21,0,"None",0,2012,5,12,2015,7,26,"None",2035,457,2178,1,871,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,-116
"56","VALID","KLA","Open","Female","Eastern","RENTED",60,"Three Full Years",6,0,21,0,"None",0,2013,5,6,2015,8,2,"None",2035,457,2847,338,3635,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,-122
"57","VALID","PMM","Open","Female","Eastern","BOUGHT",56,"Three Full Years",8,5,17,0,"None",0,2014,5,16,2016,7,9,"None",2035,457,1772,691,1326,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,-464
"58","VALID","KLA","Open","Male","Western","RENTED",64,"Three Full Years",8,0,22,1,"None",0,2012,3,3,2015,7,8,"None",2035,457,3227,17,4044,1,-68,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,-98
"59","VALID","POP","Open","Female","Western","RENTED",60,"Three Full Years",7,0,22,0,"3",0,2011,11,29,2015,7,20," Card II TYPE",1972,457,2453,1,2782,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,-110
"60","VALID","KLA","Open","Male","Western","BOUGHT",47.4618333333,"Three Full Years",5,0,17,0,"None",0,2014,12,17,2016,12,1,"None",2035,457,2418,507,3824,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,-606
"61","VALID","POP","Open","Female","Northern","RENTED",64,"Three Full Years",4,0,12,0,"None",0,2011,10,28,2015,7,9,"None",2035,457,318,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,-99
"62","VALID","PRR","Open","Male","Eastern","RENTED",51,"Three Full Years",7,6,17,0,"None",0,2014,9,24,2016,9,13,"None",2035,457,2377,1,2020,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,-528
"63","VALID","PWR","Open","Male","Eastern","RENTED",62,"Three Full Years",3,0,12,0,"None",0,2013,8,6,2015,7,31,"None",2035,457,21,1,1455,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,-121
"64","VALID","PWM","Open","Female","Eastern","RENTED",55,"Three Full Years",2,5,22,0,"None",0,2012,6,27,2015,8,3,"None",2035,457,3569,1,1571,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,-123
"65","VALID","PWR","Open","Male","Western","RENTED",75,"Three Full Years",8,5,22,0,"None",0,2012,12,18,2015,7,28,"None",2035,457,2584,1,236,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,-118
"66","VALID","PRP","Open","Male","Eastern","RENTED",55,"Three Full Years",4,8,22,0,"None",0,2012,6,6,2015,7,31,"None",2035,457,2738,312,2219,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,-121
"67","VALID","PWR","Open","Male","Eastern","RENTED",54.4863333333,"Three Full Years",5,0,22,1,"None",0,2013,6,13,2015,7,10,"None",2035,457,3196,1,689,1,-88,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,657,-100
"68","VALID","POP","Open","Male","Northern","RENTED",52,"Three Full Years",3,0,12,0,"None",0,2013,12,4,2016,7,9,"None",2035,457,1030,1,3093,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,-464
"69","VALID","PRR","Open","Male","Western","RENTED",58,"Three Full Years",7,0,12,0,"None",0,2013,4,25,2015,7,21,"None",2035,457,4180,391,3693,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,-111
"70","VALID","PPL","Open","Male","Northern","BOUGHT",56,"Three Full Years",3,0,22,0,"3",0,2014,7,29,2016,8,4," Card II TYPE",913,457,2033,1,1302,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,-489
"71","VALID","PPL","Open","Male","Northern","BOUGHT",26,"Three Full Years",6,0,7,0,"3",0,2012,10,9,2015,8,4," Card II TYPE",1085,457,1668,1,3647,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,-124
"72","VALID","PRP","Open","Male","Eastern","BOUGHT",46.3609848485,"Three Full Years",4,0,1,0,"None",0,2012,2,21,2015,7,14,"None",2035,457,2296,485,2677,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,-104
"73","INVALID","PWR","Open","Female","Northern","RENTED",62,"Three Full Years",4,0,7,0,"None",0,2011,10,12,2015,7,16,"None",2035,457,3899,1,2872,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,-106
"74","VALID","PWM","Open","Male","Eastern","BOUGHT",53,"Three Full Years",13,6,22,2,"None",1,2011,12,31,2015,8,3,"None",2035,415,4083,1,1609,1,-104,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1189,-123
"75","VALID","PWR","Open","Male","Eastern","RENTED",20,"Three Full Years",4,0,17,0,"None",0,2012,1,23,2015,7,26,"None",2035,457,2857,666,3188,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,-116
"76","VALID","PWR","Open","Male","Northern","RENTED",69,"Three Full Years",5,0,17,0,"3",0,2012,5,3,2015,7,17," Card I TYPE",1832,457,3953,1,905,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,-107
"77","VALID","PMM","Open","Female","Eastern","RENTED",43,"Full Year",4,0,17,0,"None",0,2014,4,21,2015,7,18,"None",2035,457,3361,1,678,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,-108
"78","INVALID","CNN","Open","Female","Eastern","RENTED",35,"Three Full Years",3,0,7,0,"None",0,2012,10,11,2015,7,23,"None",2035,457,2257,616,1449,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,-113
"79","VALID","PRP","Open","Male","Western","RENTED",58,"Three Full Years",4,14,21,4,"None",1,2012,11,20,2015,7,17,"None",2035,57,3714,1,2165,1,-67,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,865,-107
"80","VALID","POP","Open","Female","Northern","RENTED",59,"Three Full Years",1,0,21,1,"None",0,2013,1,23,2015,7,16,"None",2035,457,2059,1,3003,1,-34,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,-106
"81","VALID","PWR","Open","Female","Eastern","RENTED",62,"Three Full Years",4,9,7,0,"None",0,2013,1,25,2015,8,4,"None",2035,457,2591,622,2431,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,-124
"82","VALID","PWR","Open","Male","Western","BOUGHT",49.1890866193,"Three Full Years",3,0,7,0,"3",0,2013,2,27,2015,7,8," Card II TYPE",1178,457,4280,1,1801,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,-98
"83","VALID","CNN","Open","Male","Eastern","RENTED",65,"Three Full Years",7,0,22,1,"None",0,2013,4,24,2015,7,22,"None",2035,457,903,229,1125,1,-93,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,-112
"84","VALID","PWM","Open","Female","Eastern","RENTED",41,"Three Full Years",5,0,22,0,"None",0,2013,4,24,2015,7,28,"None",2035,457,2671,1,2933,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,-118
"85","VALID","POP","Open","Female","Eastern","RENTED",44,"Three Full Years",3,0,7,0,"None",0,2013,8,6,2015,8,26,"None",2035,457,1371,1,1035,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,-146
"86","VALID","PWM","Open","Male","Western","RENTED",37,"Three Full Years",4,0,17,0,"None",0,2013,9,4,2015,9,14,"None",2035,457,1286,1,3319,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,-164
"87","VALID","POP","Open","Male","Northern","RENTED",36,"Three Full Years",4,20,17,0,"None",0,2013,9,16,2015,9,19,"None",2035,457,3552,1,1119,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,-169
"88","VALID","CNN","Open","Male","Eastern","RENTED",55.2103333333,"Three Full Years",3,0,21,0,"None",0,2013,10,3,2015,10,12,"None",2035,457,525,1,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,-192
"89","VALID","PWR","Open","Male","Northern","RENTED",50,"Three Full Years",6,9,21,0,"None",0,2013,11,26,2016,5,20,"None",2035,457,396,1,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,-415
"90","VALID","CHC","Open","Male","Northern","RENTED",78,"Three Full Years",3,14,21,0,"None",0,2014,1,23,2016,1,30,"None",2035,457,682,261,127,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,-305
"91","VALID","PPL","Open","Male","Eastern","RENTED",16,"Three Full Years",5,0,2,1,"None",0,2014,1,31,2016,2,17,"None",2035,457,2233,746,2674,1,-116,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,424,-322
"92","VALID","PRR","Open","Female","Northern","RENTED",59,"Three Full Years",8,5,17,0,"3",0,2014,2,9,2016,2,20,"Paper based/Post",729,457,3202,242,2665,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,-325
"93","VALID","ESS","Open","Male","Eastern","RENTED",61,"Three Full Years",7,14,22,2,"2",0,2014,2,5,2016,3,2," Card II TYPE",819,457,1893,1,3618,0,-47,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,420,-337
"94","VALID","PPL","Open","Male","Northern","RENTED",49.4035,"Three Full Years",3,0,12,2,"None",0,2014,2,19,2016,3,20,"None",2035,457,979,1,224,1,-87,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,406,-355
"95","INVALID","PPL","Closed","Female","Eastern","RENTED",68,"Three Full Years",6,0,22,1,"None",2,2014,3,21,2016,7,21,"None",2035,136,109,1,1,1,-69,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,374,-476
"96","VALID","CHC","Open","Male","Eastern","RENTED",56,"Three Full Years",1,5,22,0,"None",0,2014,3,20,2016,4,2,"None",2035,457,953,1,3956,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,-367
"97","VALID","PMM","Open","Male","Northern","RENTED",52.4654166667,"Three Full Years",4,0,22,2,"None",0,2014,4,16,2016,4,19,"None",2035,457,2987,67,3573,1,-83,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,349,-384
"98","INVALID","KLA","Open","Male","Eastern","RENTED",48.6665151515,"Three Full Years",3,0,12,1,"None",0,2014,4,30,2016,5,23,"None",2035,457,2794,922,950,1,-66,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,335,-418
"99","VALID","PMM","Open","Male","Western","RENTED",52.8458974359,"Three Full Years",5,0,22,0,"None",0,2014,5,10,2016,5,27,"None",2035,457,1976,1,3697,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,-422
