"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Categ","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB"
"25","VALID","MXX","Open","Male","Western","RENTED",60,"Three Full Years","7","5","22","0","1","3","0","2011","10","11","2011","10","11"," Card I TYPE",1296,882,7451,1,6633
"26","VALID","CNN","Open","Male","Northern","BOUGHT",56.3416666666667,"Full Year Plus 3 Months","4","0","22","0","0","3","0","2013","8","2","2013","8","2"," Card II TYPE",1708,882,824,1,5823
"27","VALID","PWP","Open","Female","Western","RENTED",41,"Three Full Years","8","0","21","0","1","3","0","2012","2","11","2012","2","11"," Card II TYPE",2340,882,5616,1,6487
"28","VALID","CHC","Open","Female","Northern","Unknown",54,"Three Full Years","7","8","17","0","0","None","0","2014","8","26","2014","8","26","None",3331,882,8906,1115,6722
"29","VALID","CHC","Open","Male","Northern","Unknown",46,"Three Full Years","5","0","22","0","0","None","0","2014","8","28","2014","8","14","None",3331,882,8906,1115,6722
"30","VALID","CHC","Open","Female","Northern","Second Hand",48.087731092437,"Three Full Years","4","0","17","0","0","None","0","2014","8","26","2014","8","26","None",3331,882,2494,1,2460
"31","VALID","CHC","Open","Female","Eastern","Second Hand",51.69,"Three Full Years","1","0","21","0","0","None","0","2014","8","28","2014","8","28","None",3331,882,881,1,2126
"32","VALID","CHC","Open","Female","Northern","Second Hand",45,"Three Full Years","4","0","17","0","0","None","0","2014","8","26","2014","8","26","None",3331,882,2545,1,4816
"33","VALID","CHC","Open","Male","Northern","Second Hand",57,"Three Full Years","5","0","12","0","0","None","0","2014","8","26","2014","8","26","None",3331,882,6519,732,2850
"34","VALID","CHC","Open","Female","Northern","Second Hand",53,"Three Full Years","3","0","17","0","0","None","0","2014","8","25","2014","8","25","None",3331,882,1558,751,2447
"35","VALID","CHC","Open","Female","Eastern","Second Hand",49,"Three Full Years","1","0","21","0","0","None","0","2014","8","28","2014","8","28","None",3331,882,3155,1,1445
"36","VALID","CHC","Open","Female","Western","Second Hand",69,"Three Full Years","6","0","7","0","0","None","0","2014","8","27","2014","8","27","None",3331,882,6097,473,6208
"37","VALID","CHC","Open","Female","Western","Second Hand",52.35,"Three Full Years","1","0","21","0","0","None","0","2014","8","28","2014","8","28","None",3331,882,5081,1,2604
"38","VALID","CHC","Open","Male","Western","Second Hand",44,"Three Full Years","6","0","7","0","0","None","0","2014","8","28","2014","8","28","None",3331,882,5176,450,6231
"39","VALID","CHC","Open","Male","Eastern","Second Hand",25,"Three Full Years","4","0","1","0","0","None","0","2014","9","21","2014","9","21","None",3331,882,1886,1,5321
"40","VALID","CHC","Open","Female","Northern","Second Hand",60,"Three Full Years","2","0","17","0","0","None","0","2014","9","21","2014","9","21","None",3331,882,2707,1,2358
"41","VALID","CHC","Open","Male","Northern","Second Hand",56,"Three Full Years","5","10","17","0","0","None","0","2014","9","21","2014","9","21","None",3331,882,3237,673,4142
"42","VALID","CHC","Open","Female","Eastern","Second Hand",78,"Three Full Years","2","0","12","0","0","None","0","2014","9","21","2014","9","21","None",3331,882,8897,1,6625
"43","VALID","CHC","Open","Female","Eastern","Second Hand",51,"Three Full Years","4","0","22","0","0","None","0","2014","9","21","2014","9","21","None",3331,882,8732,1,1
"44","VALID","CHC","Open","Male","Eastern","Second Hand",50.4133333333333,"Three Full Years","7","0","17","0","0","None","0","2015","1","12","2015","1","12","None",3331,882,1534,1,1338
"45","VALID","CHC","Open","Male","Western","Second Hand",42,"Three Full Years","7","0","17","0","0","None","0","2015","1","12","2015","1","12","None",3331,882,2026,1,2456
"46","VALID","CHC","Open","Female","Eastern","Second Hand",61,"Three Full Years","3","5","1","0","0","None","0","2015","1","12","2015","1","12","None",3331,882,2321,1,2535
"47","VALID","CHC","Open","Female","Northern","Second Hand",54.0719230769231,"Three Full Years","4","0","12","0","0","None","0","2015","3","13","2015","3","13","None",3331,882,8306,1,4659
"48","VALID","CHC","Open","Male","Northern","Second Hand",55.7363333333333,"Three Full Years","4","0","21","0","0","None","0","2015","3","13","2015","3","13","None",3331,882,8336,1,6219
"49","VALID","CHC","Open","Female","Eastern","Second Hand",59,"Three Full Years","4","0","12","0","0","None","0","2015","3","13","2015","3","13","None",3331,882,8390,1,2952
"50","VALID","PWR","Open","Female","Western","BOUGHT",74,"Three Full Years","7","13","21","0","0","3","0","2012","6","6","2012","6","6"," Card II TYPE",1649,882,5266,670,4040
"51","VALID","PRM","Open","Male","Eastern","RENTED",53,"Three Full Years","7","0","22","0","0","3","0","2012","10","11","2012","10","11"," Card I TYPE",2356,882,6940,37,2333
"52","VALID","PWR","Open","Female","Eastern","RENTED",71,"Three Full Years","5","0","17","1","0","3","0","2012","4","4","2012","4","4"," Card II TYPE",2234,882,7304,1,3950
"53","VALID","PWR","Open","Male","Eastern","BOUGHT",59,"Three Full Years","8","5","17","0","0","3","0","2013","8","31","2013","8","31"," Card II TYPE",1873,882,6708,1,1834
"54","VALID","PRP","Open","Male","Northern","RENTED",64,"Three Full Years","4","0","22","0","2","3","0","2011","12","7","2011","12","7","Paper based/Post",209,882,8607,270,4923
"55","VALID","KLA","Open","Male","Northern","RENTED",65,"Three Full Years","5","0","12","0","1","3","0","2012","10","2","2012","10","2"," Card II TYPE",236,882,5628,1,6525
"56","VALID","POP","Open","Female","Eastern","RENTED",55,"Three Full Years","6","6","17","0","0","3","0","2012","1","13","2012","1","13"," Card II TYPE",3213,882,4318,413,4826
"57","VALID","PRP","Open","Male","Western","BOUGHT",77,"Three Full Years","7","0","17","0","0","3","0","2012","12","14","2012","12","14"," Card II TYPE",1873,882,4112,436,4977
"58","VALID","PWR","Open","Male","Eastern","BOUGHT",41,"Three Full Years","6","0","17","0","0","3","0","2012","8","31","2012","8","31"," Card II TYPE",1873,882,917,1,2281
"59","VALID","POP","Open","Male","Eastern","RENTED",64,"Three Full Years","5","0","22","0","0","3","0","2011","11","30","2011","11","30"," Card II TYPE",3220,882,4695,1,3255
"60","VALID","PRM","Open","Male","Eastern","BOUGHT",49,"Full Year Plus 3 Months","8","6","22","0","0","3","0","2014","4","2","2014","4","2"," Card II TYPE",1649,882,6565,1,1055
"61","VALID","CNN","Open","Male","Eastern","RENTED",63,"Three Full Years","4","0","12","0","0","3","0","2013","5","30","2013","5","30","Paper based/Post",1925,882,1321,1,4
"62","VALID","PWM","Open","Male","Eastern","RENTED",54,"Three Full Years","6","0","17","0","0","3","0","2011","10","31","2011","10","31"," Card II TYPE",518,882,7986,1,559
"63","VALID","PPL","Open","Female","Eastern","RENTED",50,"Three Full Years","7","5","17","0","0","3","0","2012","6","1","2012","6","1"," Card I TYPE",2365,882,4422,311,2441
"64","VALID","PRP","Open","Female","Western","RENTED",70,"Three Full Years","4","0","12","0","1","3","0","2012","1","24","2012","1","24"," Card II TYPE",3226,882,6092,1,827
"65","VALID","KLA","Open","Male","Eastern","BOUGHT",56,"Three Full Years","7","0","21","0","0","2","0","2012","9","26","2012","9","26"," Card II TYPE",3168,882,6615,1,5021
"66","VALID","POP","Open","Female","Eastern","BOUGHT",54,"Three Full Years","6","5","22","0","0","3","0","2013","10","1","2013","10","1"," Card II TYPE",2807,882,7211,1,1055
"67","VALID","KLA","Open","Female","Western","BOUGHT",80,"Three Full Years","6","0","21","0","0","3","0","2012","2","6","2012","2","6"," Card II TYPE",3168,882,4725,1,3640
"68","VALID","PRP","Open","Male","Eastern","RENTED",34,"Full Year Plus 3 Months","2","14","17","0","3","3","0","2015","2","7","2015","2","7","Paper based/Post",2562,882,8281,1,1921
"69","VALID","PPL","Closed","Female","Western","RENTED",55,"Three Full Years","6","5","17","0","14","1","0","2014","6","20","2014","6","20"," Card II TYPE",2920,882,494,1,1112
"70","VALID","PWM","Open","Male","Northern","RENTED",55,"Three Full Years","5","0","17","0","0","3","0","2013","10","15","2013","10","15"," Card II TYPE",1043,882,5701,1,2181
"71","VALID","PWR","Open","Male","Northern","RENTED",56,"Three Full Years","6","0","22","0","0","3","0","2011","11","2","2011","11","2","Paper based/Post",1895,882,711,1,19
"72","VALID","MXX","Open","Female","Eastern","BOUGHT",49,"Three Full Years","6","0","21","0","0","2","0","2012","1","7","2012","1","7"," Card II TYPE",832,882,7124,1019,5610
"73","VALID","PWM","Open","Male","Eastern","Second Hand",50,"Three Full Years","4","0","17","0","0","3","0","2012","1","19","2012","1","19"," Card II TYPE",631,882,8116,304,94
"74","VALID","PWP","Open","Male","Eastern","BOUGHT",59,"Three Full Years","5","0","12","1","0","None","0","2012","2","8","2012","2","8","None",3331,882,1818,482,5221
"75","VALID","MXX","Open","Male","Eastern","RENTED",61,"Three Full Years","8","8","17","0","1","None","0","2011","11","3","2011","11","3","None",3331,882,7920,1,3438
"76","VALID","PWM","Open","Male","Northern","RENTED",41,"Three Full Years","4","0","21","0","0","None","0","2011","11","8","2011","11","8","None",3331,882,3409,1,1719
"77","INVALID","PWR","Open","Female","Western","Second Hand",59,"Three Full Years","6","0","22","1","0","None","0","2013","3","2","2013","3","2","None",3331,882,1064,1,53
"78","VALID","PWM","Open","Female","Eastern","RENTED",47,"Three Full Years","9","20","22","0","1","None","0","2013","7","4","2013","7","4","None",3331,882,4742,1,4485
"79","VALID","POP","Open","Male","Southern","RENTED",47,"Three Full Years","9","0","7","0","0","None","0","2011","11","18","2011","11","18","None",3331,882,8906,1115,6722
"80","VALID","PWM","Open","Female","Eastern","BOUGHT",51,"Three Full Years","4","10","12","1","0","None","0","2012","1","19","2012","1","19","None",3331,882,8906,1115,6722
"81","VALID","PWR","Open","Female","Eastern","BOUGHT",45,"Three Full Years","3","0","21","0","1","3","0","2012","11","5","2012","11","5"," Card II TYPE",2196,882,4861,370,3998
"82","VALID","CHC","Open","Male","Northern","RENTED",58,"Three Full Years","5","0","22","0","0","None","0","2014","2","20","2014","2","20","None",3331,882,2219,1,253
"83","VALID","PRM","Open","Female","Eastern","BOUGHT",63,"Three Full Years","8","6","22","0","0","None","0","2013","12","18","2013","12","18","None",3331,882,7459,1,1464
"84","VALID","PRR","Open","Female","Northern","RENTED",24,"Three Full Years","3","0","12","0","0","None","0","2013","12","24","2013","12","24","None",3331,882,6938,1,1181
"85","VALID","POP","Open","Male","Eastern","RENTED",62,"Three Full Years","6","18","22","0","9","None","0","2012","2","4","2012","2","4","None",3331,882,7079,1,3758
"86","VALID","MXX","Open","Male","Eastern","Second Hand",56,"Three Full Years","8","0","22","0","0","None","0","2013","6","11","2013","6","11","None",3331,882,6891,1,1401
"87","VALID","MXX","Open","Female","Northern","RENTED",48.27,"Three Full Years","6","0","12","0","0","3","0","2012","3","29","2012","3","29"," Card II TYPE",1095,882,7987,1,161
"88","VALID","PWM","Open","Male","Eastern","RENTED",62,"Three Full Years","3","9","12","0","4","None","0","2011","12","2","2011","12","2","None",3331,882,7812,1,2603
"89","VALID","PWR","Open","Male","Northern","RENTED",77,"Three Full Years","6","0","17","0","0","None","0","2013","4","19","2013","4","19","None",3331,882,1164,1,4733
"90","INVALID","PWP","Open","Male","Northern","BOUGHT",54.2464285714286,"Three Full Years","3","0","7","0","1","3","0","2012","5","11","2012","5","11","Paper based/Post",2100,882,1070,1,6241
"91","VALID","KLA","Open","Male","Northern","RENTED",44.78,"Three Full Years","3","0","2","0","0","None","0","2014","4","8","2014","4","8","None",3331,882,2586,1,2616
"92","VALID","PRM","Open","Male","Eastern","BOUGHT",52,"Three Full Years","5","0","12","0","0","None","0","2014","10","25","2014","10","25","None",3331,882,4785,192,4852
"93","VALID","PWM","Open","Female","Eastern","BOUGHT",55,"Three Full Years","4","0","17","1","1","None","0","2012","2","22","2012","2","22","None",3331,882,8906,1115,6722
"94","VALID","PRM","Open","Male","Northern","RENTED",62,"Three Full Years","5","0","22","0","0","None","0","2014","1","24","2014","1","24","None",3331,882,2855,1,691
"95","VALID","POP","Open","Female","Western","BOUGHT",43,"Three Full Years","9","0","17","0","0","None","0","2012","9","23","2012","9","23","None",3331,882,463,1,1918
"96","VALID","PWM","Open","Female","Eastern","RENTED",40,"Three Full Years","4","6","22","0","0","None","0","2011","12","30","2011","12","30","None",3331,882,6157,1,3306
"97","VALID","PRP","Open","Male","Eastern","BOUGHT",48,"Three Full Years","5","5","22","0","0","None","0","2014","1","7","2014","1","7","None",3331,882,7530,2,3254
"98","VALID","PWR","Open","Male","Western","RENTED",52,"Three Full Years","5","0","22","0","0","None","0","2012","8","19","2012","8","19","None",3331,882,7538,843,3405
"99","VALID","PWM","Open","Male","Eastern","BOUGHT",64,"Three Full Years","1","14","22","0","0","None","0","2012","1","11","2012","1","11","None",3331,882,2991,1,5342
"100","VALID","PWR","Open","Male","Northern","RENTED",47.16,"Three Full Years","6","0","1","0","1","None","1","2013","6","18","2013","6","18","None",3331,15,6308,1,5020
"101","VALID","PWR","Open","Male","Eastern","RENTED",63,"Three Full Years","7","0","22","0","5","None","0","2013","11","9","2013","11","9","None",3331,882,138,1,3961
"102","VALID","PWR","Open","Male","Western","RENTED",55,"Three Full Years","2","18","17","0","0","None","0","2011","10","10","2011","10","10","None",3331,882,7834,1,1505
"103","VALID","PRP","Open","Male","Western","RENTED",52,"Three Full Years","7","6","12","0","2","None","0","2012","3","17","2012","3","17","None",3331,882,3628,1,1971
"104","VALID","KLA","Open","Female","Northern","RENTED",66,"Three Full Years","6","20","22","0","1","None","1","2012","2","13","2012","2","13","None",3331,494,5160,1,2666
"105","INVALID","POP","Open","Male","Northern","BOUGHT",55,"Three Full Years","3","0","12","0","0","None","0","2012","1","30","2012","1","30","None",3331,882,7132,1,4728
"106","VALID","PWR","Open","Female","Northern","RENTED",68,"Three Full Years","6","0","22","0","0","None","0","2012","7","11","2012","7","11","None",3331,882,6429,1034,3608
"107","VALID","PWR","Closed","Male","Northern","RENTED",31,"Three Full Years","3","0","12","0","0","None","0","2012","5","9","2012","5","9","None",3331,882,8906,1115,6722
"108","VALID","PRM","Open","Male","Eastern","RENTED",60,"Three Full Years","6","5","22","0","0","None","0","2014","5","6","2014","5","6","None",3331,882,7715,281,4892
"109","VALID","PWR","Open","Female","Eastern","BOUGHT",63,"Full Year","2","0","12","0","0","None","0","2013","6","15","2013","6","15","None",3331,882,4950,1,1459
"110","VALID","PWR","Open","Male","Eastern","Second Hand",77,"Three Full Years","4","0","22","0","0","None","0","2012","6","26","2012","6","26","None",3331,882,5432,1,3026
"111","VALID","POP","Open","Male","Eastern","BOUGHT",50.8256666666667,"Three Full Years","5","0","21","0","0","3","0","2012","1","31","2012","1","31"," Card II TYPE",2807,882,7883,1,2386
"112","VALID","PWM","Open","Male","Northern","RENTED",49.5625,"Three Full Years","9","0","12","0","0","None","0","2012","5","4","2012","5","4","None",3331,882,673,1,5421
"113","VALID","PRM","Open","Male","Eastern","RENTED",48,"Three Full Years","5","6","2","0","0","None","0","2014","4","12","2014","4","12","None",3331,882,3519,937,2592
"114","VALID","MXX","Open","Male","Northern","RENTED",35,"Three Full Years","6","20","12","0","0","None","1","2011","12","7","2011","12","7","None",3331,193,2598,1,1944
"115","VALID","PWR","Open","Male","Western","RENTED",52.8905,"Three Full Years","6","0","17","0","0","2","0","2011","10","24","2011","10","24"," Card II TYPE",1953,882,6848,1,2310
"116","VALID","POP","Open","Male","Northern","BOUGHT",42,"Three Full Years","4","20","22","0","0","None","0","2012","6","16","2012","6","16","None",3331,882,6514,317,5043
"117","VALID","CNN","Open","Male","Northern","RENTED",76,"Three Full Years","3","0","12","0","0","None","0","2013","8","21","2013","8","21","None",3331,882,5728,315,415
"118","VALID","PWR","Open","Female","Eastern","RENTED",23,"Three Full Years","5","0","12","0","0","None","0","2013","7","20","2013","7","20","None",3331,882,5823,1,2184
"119","VALID","POP","Open","Male","Northern","RENTED",51,"Three Full Years","3","0","7","0","0","None","0","2013","12","4","2013","12","4","None",3331,882,1547,1,3951
"120","VALID","PRM","Open","Male","Northern","RENTED",62,"Three Full Years","5","0","22","0","2","3","0","2014","1","22","2014","1","22"," Card I TYPE",2081,882,6475,1,6678
"121","VALID","PRM","Open","Male","Eastern","RENTED",46.70875,"Three Full Years","3","0","2","0","1","3","0","2013","11","24","2013","11","24","Paper based/Post",3070,882,3946,867,4153
"122","VALID","MXX","Open","Male","Western","RENTED",44.5516666666667,"Three Full Years","1","0","1","0","0","3","0","2012","6","20","2012","6","20"," Card II TYPE",970,882,7509,600,3191
"123","VALID","PRM","Open","Male","Northern","RENTED",46.3123333333333,"Three Full Years","4","0","7","0","0","None","0","2014","5","14","2014","5","14","None",3331,882,5548,1,3002
"124","VALID","POP","Open","Male","Northern","RENTED",50.3316666666667,"Three Full Years","4","0","7","0","1","None","0","2013","4","3","2013","4","3","None",3331,882,5551,1,2194
"125","VALID","PWR","Open","Female","Eastern","RENTED",49,"Three Full Years","6","8","22","0","0","None","1","2013","3","16","2013","3","16","None",3331,331,5782,1,2528
"126","VALID","KLA","Open","Male","Western","RENTED",53,"Three Full Years","6","0","17","0","0","None","0","2014","5","1","2014","5","1","None",3331,882,867,1,839
"127","VALID","PPL","Open","Female","Northern","RENTED",32,"Three Full Years","4","20","21","0","1","3","0","2013","8","23","2013","8","23"," Card II TYPE",1965,882,4560,1016,2012
"128","VALID","CHC","Open","Female","Northern","RENTED",75,"Three Full Years","3","6","22","0","2","3","0","2013","1","16","2013","1","16"," Card II TYPE",1955,882,1151,1,5216
"129","VALID","KLA","Open","Female","Western","RENTED",59,"Three Full Years","6","0","17","0","0","None","0","2014","4","17","2014","4","17","None",3331,882,4233,1,2813
"130","VALID","PPL","Open","Female","Northern","RENTED",53,"Three Full Years","6","14","22","0","1","None","0","2011","9","22","2011","9","22","None",3331,882,3717,569,3445
"131","VALID","PWR","Open","Male","Western","BOUGHT",53.015,"Three Full Years","6","0","17","0","0","None","0","2011","10","7","2011","10","7","None",3331,882,3530,1,1799
"132","VALID","CHC","Closed","Male","Eastern","RENTED",48.4566666666667,"Three Full Years","5","0","12","1","1","None","1","2011","10","20","2011","10","20","None",3331,129,8522,1,1481
"133","VALID","PWR","Open","Male","Eastern","RENTED",58,"Three Full Years","7","0","22","0","0","3","0","2011","11","5","2011","11","5"," Card II TYPE",1925,882,5978,1,1267
"134","VALID","PWP","Open","Male","Northern","RENTED",52,"Three Full Years","3","5","7","0","1","None","0","2011","12","8","2011","12","8","None",3331,882,7698,633,3631
"135","INVALID","PWR","Open","Male","Northern","RENTED",62,"Three Full Years","3","13","22","0","0","None","3","2011","12","1","2011","12","1","None",3331,215,2252,1,464
"136","VALID","KLA","Open","Male","Northern","RENTED",62,"Three Full Years","1","6","22","0","0","None","0","2012","1","6","2012","1","6","None",3331,882,2346,1,5929
"137","VALID","PWM","Open","Female","Northern","BOUGHT",58,"Three Full Years","6","5","22","0","1","None","0","2012","2","8","2012","2","8","None",3331,882,7874,1,4531
"138","VALID","POP","Open","Female","Eastern","BOUGHT",61,"Three Full Years","7","14","17","0","1","None","0","2012","2","13","2012","2","13","None",3331,882,8280,1,4292
"139","VALID","PWM","Open","Female","Eastern","BOUGHT",45,"Three Full Years","5","0","22","0","0","None","0","2012","2","11","2012","2","11","None",3331,882,7659,1,3369
"140","VALID","PWR","Open","Female","Eastern","RENTED",48.7541666666667,"Three Full Years","5","0","12","0","0","None","2","2012","2","24","2012","2","24","None",3331,158,669,1,2070
"141","VALID","KLA","Open","Male","Southern","RENTED",63,"Three Full Years","12","14","17","0","0","None","0","2012","4","20","2012","4","20","None",3331,882,6632,1,3807
"142","VALID","PWM","Open","Male","Eastern","RENTED",42,"Three Full Years","4","0","21","1","1","None","2","2012","4","24","2012","4","24","None",3331,435,696,1,3562
"143","VALID","POP","Open","Female","Eastern","RENTED",36,"Three Full Years","5","0","12","0","0","None","0","2012","6","8","2012","6","8","None",3331,882,6897,1,1456
"144","VALID","PPL","Open","Female","Eastern","RENTED",48.306,"Three Full Years","4","0","12","0","1","None","0","2012","6","19","2012","6","19","None",3331,882,4110,349,3727
"145","VALID","POP","Open","Female","Northern","RENTED",47.3966666666667,"Three Full Years","3","0","7","0","0","None","0","2012","9","6","2012","9","6","None",3331,882,6385,1,2530
"146","VALID","POP","Open","Male","Western","RENTED",72,"Three Full Years","6","20","17","0","0","None","0","2012","9","13","2012","9","13","None",3331,882,2864,1,6482
"147","VALID","CNN","Open","Female","Western","BOUGHT",48,"Three Full Years","8","0","4","0","0","3","0","2012","9","26","2012","9","26"," Card I TYPE",3083,882,1293,1,5641
"148","VALID","PWR","Open","Male","Northern","RENTED",28,"Three Full Years","4","0","7","0","0","2","0","2012","11","7","2012","11","7","Paper based/Post",3272,882,1108,1,3688
"149","VALID","PWR","Open","Male","Eastern","RENTED",51,"Three Full Years","7","5","17","0","0","None","0","2012","11","23","2012","11","23","None",3331,882,5332,1,217
"150","VALID","KLA","Open","Male","Northern","BOUGHT",51,"Three Full Years","6","13","12","0","0","None","0","2012","12","8","2012","12","8","None",3331,882,5823,863,5027
"151","VALID","CNN","Open","Male","Eastern","BOUGHT",58.4308333333333,"Three Full Years","3","0","7","0","0","None","0","2013","1","12","2013","1","12","None",3331,882,3124,1,797
"152","VALID","CNN","Open","Male","Northern","RENTED",41,"Three Full Years","1","0","17","0","0","None","0","2013","2","15","2013","2","15","None",3331,882,5354,1,4863
"153","VALID","CNN","Open","Male","Northern","RENTED",49.1808333333333,"Three Full Years","4","0","1","0","0","None","0","2013","2","19","2013","2","19","None",3331,882,5849,1,6195
"154","VALID","CNN","Open","Male","Eastern","RENTED",45,"Three Full Years","3","0","7","1","0","None","0","2013","2","19","2013","2","19","None",3331,882,7150,1,3961
"155","VALID","KLA","Closed","Male","Northern","BOUGHT",31,"Three Full Years","6","0","17","1","0","None","1","2013","4","4","2013","4","4","None",3331,173,5624,1,2584
"156","VALID","PRP","Open","Male","Northern","RENTED",44.9075,"Three Full Years","3","0","7","0","3","None","1","2013","3","20","2013","3","20","None",3331,346,6530,1,583
"157","VALID","KLA","Open","Male","Eastern","RENTED",44.375,"Three Full Years","3","0","7","0","0","None","1","2013","4","26","2013","4","26","None",3331,138,3233,1,6051
"158","VALID","POP","Open","Male","Eastern","RENTED",48.5138888888889,"Three Full Years","4","0","4","0","0","None","0","2013","5","16","2013","5","16","None",3331,882,1639,1,1514
"159","VALID","PWR","Open","Female","Eastern","RENTED",59,"Three Full Years","6","14","12","0","3","None","0","2013","6","2","2013","6","2","None",3331,882,771,1,6619
"160","VALID","PWR","Open","Female","Eastern","RENTED",48.2133333333333,"Three Full Years","4","0","12","0","0","3","0","2013","6","28","2013","6","28","Other",3161,882,1255,1,16
"161","VALID","POP","Open","Female","Western","RENTED",44,"Three Full Years","3","0","4","0","0","None","0","2013","7","3","2013","7","3","None",3331,882,6197,1,3557
"162","INVALID","CNN","Open","Female","Northern","RENTED",45,"Three Full Years","3","0","22","0","0","3","0","2013","8","28","2013","8","28"," Card II TYPE",1968,882,4771,1,168
"163","VALID","POP","Open","Male","Northern","RENTED",36,"Three Full Years","4","20","12","0","0","None","0","2013","9","16","2013","9","16","None",3331,882,7852,1,2700
"164","VALID","PWR","Open","Male","Western","RENTED",67,"Three Full Years","6","14","4","1","0","None","0","2013","9","30","2013","9","30","None",3331,882,3430,1,237
