,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,payment_number,Default_number
26,M27,2012-02-11,VALID,PWP,Open,Female,Western,RENTED,41.0,Three Full Years,8.0,0.0,21.0,2015-03-07,0,0,1,3,0
27,M28,,,CHC,Open,Female,Northern,Unknown,54.0,,7.0,8.0,17.0,,0,0,0,0,0
28,M29,,,CHC,Open,Male,Northern,Unknown,46.0,,5.0,0.0,22.0,,0,0,0,0,0
29,M30,2014-08-26,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,0,0
30,M31,2014-08-28,,CHC,Open,,Eastern,Second Hand,,,,,,,0,0,0,0,0
31,M32,2014-08-26,,CHC,Open,Female,Northern,Second Hand,45.0,,4.0,0.0,17.0,,0,0,0,0,0
32,M33,2014-08-26,,CHC,Open,Male,Northern,Second Hand,57.0,,5.0,0.0,12.0,,0,0,0,0,0
33,M34,2014-08-25,,CHC,Open,Female,Northern,Second Hand,53.0,,3.0,0.0,17.0,,0,0,0,0,0
34,M35,2014-08-28,,CHC,Open,Female,Eastern,Second Hand,49.0,,1.0,0.0,21.0,,0,0,0,0,0
35,M36,2014-08-27,,CHC,Open,Female,Western,Second Hand,69.0,,6.0,0.0,7.0,,0,0,0,0,0
36,M37,2014-08-28,,CHC,Open,,Western,Second Hand,,,,,,,0,0,0,0,0
37,M38,2014-08-28,,CHC,Open,Male,Western,Second Hand,44.0,,6.0,0.0,7.0,,0,0,0,0,0
38,M39,2014-09-21,,CHC,Open,Male,Eastern,Second Hand,25.0,,4.0,0.0,1.0,,0,0,0,0,0
39,M40,2014-09-21,,CHC,Open,Female,Northern,Second Hand,60.0,,2.0,0.0,17.0,,0,0,0,0,0
40,M41,2014-09-21,,CHC,Open,Male,Northern,Second Hand,56.0,,5.0,10.0,17.0,,0,0,0,0,0
41,M42,2014-09-21,,CHC,Open,Female,Eastern,Second Hand,78.0,,2.0,0.0,12.0,,0,0,0,0,0
42,M43,2014-09-21,,CHC,Open,Female,Eastern,Second Hand,51.0,,4.0,0.0,22.0,,0,0,0,0,0
43,M44,2015-01-12,,CHC,Open,,Eastern,Second Hand,,,,,,,0,0,0,0,0
44,M45,2015-01-12,,CHC,Open,Male,Western,Second Hand,42.0,,7.0,0.0,17.0,,0,0,0,0,0
45,M46,2015-01-12,,CHC,Open,Female,Eastern,Second Hand,61.0,,3.0,5.0,1.0,,0,0,0,0,0
46,M47,2015-03-13,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,0,0
47,M48,2015-03-13,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,0,0
48,M49,2015-03-13,,CHC,Open,Female,Eastern,Second Hand,59.0,,4.0,0.0,12.0,,0,0,0,0,0
49,M50,2012-06-06,VALID,PWR,Open,Female,Western,BOUGHT,74.0,Three Full Years,7.0,13.0,21.0,2015-03-21,0,0,0,3,0
50,M51,2012-10-11,VALID,PRM,Open,Male,Eastern,RENTED,53.0,Three Full Years,7.0,0.0,22.0,2015-03-27,0,0,0,3,0
51,M52,2012-04-04,VALID,PWR,Open,Female,Eastern,RENTED,71.0,Three Full Years,5.0,0.0,17.0,2015-03-29,2015-05-30 00:00:00,1,0,3,0
52,M53,2013-08-31,VALID,PWR,Open,Male,Eastern,BOUGHT,59.0,Three Full Years,8.0,5.0,17.0,2015-08-17,0,0,0,3,0
53,M54,2011-12-07,VALID,PRP,Open,Male,Northern,RENTED,64.0,Three Full Years,4.0,0.0,22.0,2015-03-21,0,0,2,3,0
54,M55,2012-10-02,VALID,KLA,Open,Male,Northern,RENTED,65.0,Three Full Years,5.0,0.0,12.0,2015-03-26,0,0,1,3,0
55,M56,2012-01-13,VALID,POP,Open,Female,Eastern,RENTED,55.0,Three Full Years,6.0,6.0,17.0,2016-03-11,0,0,0,3,0
56,M57,2012-12-14,VALID,PRP,Open,Male,Western,BOUGHT,77.0,Three Full Years,7.0,0.0,17.0,2015-03-25,0,0,0,3,0
57,M58,2012-08-31,VALID,PWR,Open,Male,Eastern,BOUGHT,41.0,Three Full Years,6.0,0.0,17.0,2015-03-15,0,0,0,3,0
58,M59,2011-11-30,VALID,POP,Open,Male,Eastern,RENTED,64.0,Three Full Years,5.0,0.0,22.0,2015-04-04,0,0,0,3,0
59,M60,2014-04-02,VALID,PRM,Open,Male,Eastern,BOUGHT,49.0,Full Year Plus 3 Months,8.0,6.0,22.0,2015-06-27,0,0,0,3,0
60,M61,2013-05-30,VALID,CNN,Open,Male,Eastern,RENTED,63.0,Three Full Years,4.0,0.0,12.0,2015-05-03,0,0,0,3,0
61,M62,2011-10-31,VALID,PWM,Open,Male,Eastern,RENTED,54.0,Three Full Years,6.0,0.0,17.0,2015-03-17,0,0,0,3,0
62,M63,2012-06-01,VALID,PPL,Open,Female,Eastern,RENTED,50.0,Three Full Years,7.0,5.0,17.0,2015-03-18,0,0,0,3,0
63,M64,2012-01-24,VALID,PRP,Open,Female,Western,RENTED,70.0,Three Full Years,4.0,0.0,12.0,2015-03-18,0,0,1,3,0
64,M65,2012-09-26,VALID,KLA,Open,Male,Eastern,BOUGHT,56.0,Three Full Years,7.0,0.0,21.0,2015-03-31,0,0,0,3,0
65,M66,2013-10-01,VALID,POP,Open,Female,Eastern,BOUGHT,54.0,Three Full Years,6.0,5.0,22.0,2015-09-17,0,0,0,3,0
66,M67,2012-02-06,VALID,KLA,Open,Female,Western,BOUGHT,80.0,Three Full Years,6.0,0.0,21.0,2015-03-18,0,0,0,3,0
67,M68,2015-02-07,VALID,PRP,Open,Male,Eastern,RENTED,34.0,Full Year Plus 3 Months,2.0,14.0,17.0,2016-05-06,0,0,3,4,0
68,M69,2014-06-20,VALID,PPL,Closed,Female,Western,RENTED,55.0,,6.0,5.0,17.0,,0,0,14,1,0
69,M70,2013-10-15,VALID,PWM,Open,Male,Northern,RENTED,55.0,Three Full Years,5.0,0.0,17.0,2016-03-18,0,0,0,3,0
70,M71,2011-11-02,VALID,PWR,Open,Male,Northern,RENTED,56.0,Three Full Years,6.0,0.0,22.0,2015-03-25,0,0,0,3,0
71,M72,2012-01-07,VALID,MXX,Open,Female,Eastern,BOUGHT,49.0,Three Full Years,6.0,0.0,21.0,2015-04-01,0,0,0,3,0
72,M73,2012-01-19,VALID,PWM,Open,Male,Eastern,Second Hand,50.0,Three Full Years,4.0,0.0,17.0,2015-04-04,0,0,0,3,0
73,M74,2012-02-08,VALID,PWP,Open,Male,Eastern,BOUGHT,59.0,Three Full Years,5.0,0.0,12.0,2015-03-25,2015-05-23 00:00:00,1,0,0,0
74,M75,2011-11-03,VALID,MXX,Open,Male,Eastern,RENTED,61.0,Three Full Years,8.0,8.0,17.0,2015-03-23,0,0,1,0,0
75,M76,2011-11-08,VALID,PWM,Open,Male,Northern,RENTED,41.0,Three Full Years,4.0,0.0,21.0,2015-04-03,0,0,0,0,0
76,M77,2013-03-02,INVALID,PWR,Open,Female,Western,Second Hand,59.0,Three Full Years,6.0,0.0,22.0,2015-04-03,2015-05-01 00:00:00,1,0,0,0
77,M78,2013-07-04,VALID,PWM,Open,Female,Eastern,RENTED,47.0,Three Full Years,9.0,20.0,22.0,2015-07-04,0,0,1,0,0
78,M79,2011-11-18,VALID,POP,Open,Male,Southern,RENTED,47.0,Three Full Years,9.0,0.0,7.0,2015-03-15,0,0,0,0,0
79,M80,2012-01-19,VALID,PWM,Open,Female,Eastern,BOUGHT,51.0,Three Full Years,4.0,10.0,12.0,2015-03-29,2015-05-27 00:00:00,1,0,0,0
80,M81,2012-11-05,VALID,PWR,Open,Female,Eastern,BOUGHT,45.0,Three Full Years,3.0,0.0,21.0,2015-03-18,0,0,1,4,0
81,M82,2014-02-20,VALID,CHC,Open,Male,Northern,RENTED,58.0,Three Full Years,5.0,0.0,22.0,2016-03-11,0,0,0,0,0
82,M83,2013-12-18,VALID,PRM,Open,Female,Eastern,BOUGHT,63.0,Three Full Years,8.0,6.0,22.0,2016-03-18,0,0,0,0,0
83,M84,2013-12-24,VALID,PRR,Open,Female,Northern,RENTED,24.0,Three Full Years,3.0,0.0,12.0,2016-03-11,0,0,0,0,0
84,M85,2012-02-04,VALID,POP,Open,Male,Eastern,RENTED,62.0,Three Full Years,6.0,18.0,22.0,2015-03-17,0,0,9,0,0
85,M86,2013-06-11,VALID,MXX,Open,Male,Eastern,Second Hand,56.0,Three Full Years,8.0,0.0,22.0,2015-05-12,0,0,0,0,0
86,M87,2012-03-29,VALID,MXX,Open,Female,Northern,RENTED,,Three Full Years,6.0,0.0,12.0,2015-03-29,0,0,0,3,0
87,M88,2011-12-02,VALID,PWM,Open,Male,Eastern,RENTED,62.0,Three Full Years,3.0,9.0,12.0,2015-03-06,0,0,4,0,0
88,M89,2013-04-19,VALID,PWR,Open,Male,Northern,RENTED,77.0,Three Full Years,6.0,0.0,17.0,2015-03-26,0,0,0,0,0
89,M90,2012-05-11,INVALID,PWP,Open,,Northern,BOUGHT,,Three Full Years,3.0,0.0,7.0,2015-03-14,0,0,1,3,0
90,M91,2014-04-08,VALID,KLA,Open,,Northern,RENTED,,Three Full Years,,,,2016-03-17,0,0,0,0,0
91,M92,2014-10-25,VALID,PRM,Open,Male,Eastern,BOUGHT,52.0,Three Full Years,5.0,0.0,12.0,2016-10-13,0,0,0,0,0
92,M93,2012-02-22,VALID,PWM,Open,Female,Eastern,BOUGHT,55.0,Three Full Years,4.0,0.0,17.0,2015-03-07,2015-04-05 00:00:00,1,1,0,0
93,M94,2014-01-24,VALID,PRM,Open,Male,Northern,RENTED,62.0,Three Full Years,5.0,0.0,22.0,2016-03-24,0,0,0,0,0
94,M95,2012-09-23,VALID,POP,Open,Female,Western,BOUGHT,43.0,Three Full Years,9.0,0.0,17.0,2015-03-19,0,0,0,0,0
95,M96,2011-12-30,VALID,PWM,Open,Female,Eastern,RENTED,40.0,Three Full Years,4.0,6.0,22.0,2015-03-29,0,0,0,0,0
96,M97,2014-01-07,VALID,PRP,Open,Male,Eastern,BOUGHT,48.0,Three Full Years,5.0,5.0,22.0,2016-03-15,0,0,0,0,0
97,M98,2012-08-19,VALID,PWR,Open,Male,Western,RENTED,52.0,Three Full Years,5.0,0.0,22.0,2015-03-11,0,0,0,0,0
98,M99,2012-01-11,VALID,PWM,Open,Male,Eastern,BOUGHT,64.0,Three Full Years,1.0,14.0,22.0,2015-03-10,0,0,0,0,0
99,M100,2013-06-18,VALID,PWR,Open,Male,Northern,RENTED,,Three Full Years,6.0,0.0,1.0,2015-06-17,0,0,1,0,1
100,M101,2013-11-09,VALID,PWR,Open,Male,Eastern,RENTED,63.0,Three Full Years,7.0,0.0,22.0,2016-03-19,0,0,5,0,0
101,M102,2011-10-10,VALID,PWR,Open,Male,Western,RENTED,55.0,Three Full Years,2.0,18.0,17.0,2015-03-27,0,0,0,0,0
102,M103,2012-03-17,VALID,PRP,Open,Male,Western,RENTED,52.0,Three Full Years,7.0,6.0,12.0,2015-03-24,0,0,2,0,0
103,M104,2012-02-13,VALID,KLA,Open,Female,Northern,RENTED,66.0,Three Full Years,6.0,20.0,22.0,2015-03-15,0,0,1,0,1
104,M105,2012-01-30,INVALID,POP,Open,Male,Northern,BOUGHT,55.0,Three Full Years,3.0,0.0,12.0,2015-03-24,0,0,0,0,0
105,M106,2012-07-11,VALID,PWR,Open,Female,Northern,RENTED,68.0,Three Full Years,6.0,0.0,22.0,2015-03-25,0,0,0,0,0
106,M107,2012-05-09,VALID,PWR,Closed,Male,Northern,RENTED,31.0,,3.0,0.0,12.0,,0,0,0,0,0
107,M108,2014-05-06,VALID,PRM,Open,Male,Eastern,RENTED,60.0,Three Full Years,6.0,5.0,22.0,2016-05-05,0,0,0,0,0
108,M109,2013-06-15,VALID,PWR,Open,Female,Eastern,BOUGHT,63.0,Full Year,2.0,0.0,12.0,2015-03-13,0,0,0,0,0
109,M110,2012-06-26,VALID,PWR,Open,Male,Eastern,Second Hand,77.0,Three Full Years,4.0,0.0,22.0,2015-03-24,0,0,0,0,0
110,M111,2012-01-31,VALID,POP,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-03-19,0,0,0,3,0
111,M112,2012-05-04,VALID,PWM,Open,,Northern,RENTED,,Three Full Years,,,,2015-04-01,0,0,0,0,0
112,M113,2014-04-12,VALID,PRM,Open,Male,Eastern,RENTED,48.0,Three Full Years,5.0,6.0,2.0,2016-04-02,0,0,0,0,0
113,M114,2011-12-07,VALID,MXX,Open,Male,Northern,RENTED,35.0,Three Full Years,6.0,20.0,12.0,2015-03-28,0,0,0,0,1
114,M115,2011-10-24,VALID,PWR,Open,,Western,RENTED,,Three Full Years,,,,2015-04-01,0,0,0,3,0
115,M116,2012-06-16,VALID,POP,Open,Male,Northern,BOUGHT,42.0,Three Full Years,4.0,20.0,22.0,2015-03-10,0,0,0,0,0
116,M117,2013-08-21,VALID,CNN,Open,Male,Northern,RENTED,76.0,Three Full Years,3.0,0.0,12.0,2015-08-06,0,0,0,0,0
117,M118,2013-07-20,VALID,PWR,Open,Female,Eastern,RENTED,23.0,Three Full Years,5.0,0.0,12.0,2015-07-10,0,0,0,0,0
118,M119,2013-12-04,VALID,POP,Open,Male,Northern,RENTED,51.0,Three Full Years,3.0,0.0,7.0,2016-03-09,0,0,0,0,0
119,M120,2014-01-22,VALID,PRM,Open,Male,Northern,RENTED,62.0,Three Full Years,5.0,0.0,22.0,2016-03-06,0,0,2,3,0
120,M121,2013-11-24,VALID,PRM,Open,,Eastern,RENTED,,Three Full Years,,,,2016-03-29,0,0,1,3,0
121,M122,2012-06-20,VALID,MXX,Open,,Western,RENTED,,Three Full Years,1.0,0.0,1.0,2015-03-10,0,0,0,3,0
122,M123,2014-05-14,VALID,PRM,Open,Male,Northern,RENTED,,Three Full Years,4.0,0.0,7.0,2016-04-19,0,0,0,0,0
123,M124,2013-04-03,VALID,POP,Open,Male,Northern,RENTED,,Three Full Years,4.0,0.0,7.0,2015-03-13,0,0,1,0,0
124,M125,2013-03-16,VALID,PWR,Open,Female,Eastern,RENTED,49.0,Three Full Years,6.0,8.0,22.0,2015-04-04,0,0,0,0,1
125,M126,2014-05-01,VALID,KLA,Open,Male,Western,RENTED,53.0,Three Full Years,6.0,0.0,17.0,2016-04-23,0,0,0,0,0
126,M127,2013-08-23,VALID,PPL,Open,Female,Northern,RENTED,32.0,Three Full Years,4.0,20.0,21.0,2015-09-07,0,0,1,3,0
127,M128,2013-01-16,VALID,CHC,Open,Female,Northern,RENTED,75.0,Three Full Years,3.0,6.0,22.0,2015-03-23,0,0,2,3,0
128,M129,2014-04-17,VALID,KLA,Open,Female,Western,RENTED,59.0,Three Full Years,6.0,0.0,17.0,2016-03-31,0,0,0,0,0
129,M130,2011-09-22,VALID,PPL,Open,Female,Northern,RENTED,53.0,Three Full Years,6.0,14.0,22.0,2015-03-26,0,0,1,0,0
130,M131,2011-10-07,VALID,PWR,Open,,Western,BOUGHT,,Three Full Years,,,,2015-04-03,0,0,0,0,0
131,M132,2011-10-20,VALID,CHC,Closed,,Eastern,RENTED,,,,,,,2015-05-27 00:00:00,1,1,0,1
132,M133,2011-11-05,VALID,PWR,Open,Male,Eastern,RENTED,58.0,Three Full Years,7.0,0.0,22.0,2015-03-28,0,0,0,3,0
133,M134,2011-12-08,VALID,PWP,Open,Male,Northern,RENTED,52.0,Three Full Years,3.0,5.0,7.0,2015-03-18,0,0,1,0,0
134,M135,2011-12-01,INVALID,PWR,Open,Male,Northern,RENTED,62.0,Three Full Years,3.0,13.0,22.0,2015-03-17,0,0,0,0,3
135,M136,2012-01-06,VALID,KLA,Open,Male,Northern,RENTED,62.0,Three Full Years,1.0,6.0,22.0,2015-03-25,0,0,0,0,0
136,M137,2012-02-08,VALID,PWM,Open,Female,Northern,BOUGHT,58.0,Three Full Years,6.0,5.0,22.0,2015-03-27,0,0,1,0,0
137,M138,2012-02-13,VALID,POP,Open,Female,Eastern,BOUGHT,61.0,Three Full Years,7.0,14.0,17.0,2015-03-26,0,0,1,0,0
138,M139,2012-02-11,VALID,PWM,Open,Female,Eastern,BOUGHT,45.0,Three Full Years,5.0,0.0,22.0,2015-04-03,0,0,0,0,0
139,M140,2012-02-24,VALID,PWR,Open,Female,Eastern,RENTED,,Three Full Years,5.0,0.0,12.0,2015-03-17,0,0,0,0,2
140,M141,2012-04-20,VALID,KLA,Open,Male,Southern,RENTED,63.0,Three Full Years,12.0,14.0,17.0,2015-03-23,0,0,0,0,0
141,M142,2012-04-24,VALID,PWM,Open,Male,Eastern,RENTED,42.0,Three Full Years,4.0,0.0,21.0,2015-03-07,2015-05-20 00:00:00,1,1,0,2
142,M143,2012-06-08,VALID,POP,Open,Female,Eastern,RENTED,36.0,Three Full Years,5.0,0.0,12.0,2015-03-29,0,0,0,0,0
143,M144,2012-06-19,VALID,PPL,Open,Female,Eastern,RENTED,,Three Full Years,4.0,0.0,12.0,2015-03-31,0,0,1,0,0
144,M145,2012-09-06,VALID,POP,Open,Female,Northern,RENTED,,Three Full Years,3.0,0.0,7.0,2015-03-21,0,0,0,0,0
145,M146,2012-09-13,VALID,POP,Open,Male,Western,RENTED,72.0,Three Full Years,6.0,20.0,17.0,2015-03-22,0,0,0,0,0
146,M147,2012-09-26,VALID,CNN,Open,Female,Western,BOUGHT,48.0,Three Full Years,8.0,0.0,4.0,2015-03-26,0,0,0,3,0
147,M148,2012-11-07,VALID,PWR,Open,Male,Northern,RENTED,28.0,Three Full Years,4.0,0.0,7.0,2015-03-22,0,0,0,3,0
148,M149,2012-11-23,VALID,PWR,Open,Male,Eastern,RENTED,51.0,Three Full Years,7.0,5.0,17.0,2015-03-30,0,0,0,0,0
149,M150,2012-12-08,VALID,KLA,Open,Male,Northern,BOUGHT,51.0,Three Full Years,6.0,13.0,12.0,2015-04-02,0,0,0,0,0
150,M151,2013-01-12,VALID,CNN,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-03-09,0,0,0,0,0
151,M152,2013-02-15,VALID,CNN,Open,Male,Northern,RENTED,41.0,Three Full Years,1.0,0.0,17.0,2015-03-15,0,0,0,0,0
152,M153,2013-02-19,VALID,CNN,Open,,Northern,RENTED,,Three Full Years,4.0,0.0,1.0,2015-03-22,0,0,0,0,0
153,M154,2013-02-19,VALID,CNN,Open,Male,Eastern,RENTED,45.0,Three Full Years,3.0,0.0,7.0,2015-04-01,2015-05-30 00:00:00,1,0,0,0
154,M155,2013-04-04,VALID,KLA,Closed,Male,Northern,BOUGHT,31.0,,6.0,0.0,17.0,,2015-05-02 00:00:00,1,0,0,1
155,M156,2013-03-20,VALID,PRP,Open,,Northern,RENTED,,Three Full Years,,,,2015-03-26,0,0,3,0,1
156,M157,2013-04-26,VALID,KLA,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-04,0,0,0,0,1
157,M158,2013-05-16,VALID,POP,Open,Male,Eastern,RENTED,,Three Full Years,4.0,0.0,4.0,2015-05-17,0,0,0,0,0
158,M159,2013-06-02,VALID,PWR,Open,Female,Eastern,RENTED,59.0,Three Full Years,6.0,14.0,12.0,2015-06-14,0,0,3,0,0
159,M160,2013-06-28,VALID,PWR,Open,,Eastern,RENTED,,Three Full Years,,,,2015-07-26,0,0,0,3,0
160,M161,2013-07-03,VALID,POP,Open,Female,Western,RENTED,44.0,Three Full Years,3.0,0.0,4.0,2015-07-31,0,0,0,0,0
161,M162,2013-08-28,INVALID,CNN,Open,Female,Northern,RENTED,45.0,Three Full Years,3.0,0.0,22.0,2015-09-28,0,0,0,3,0
162,M163,2013-09-16,VALID,POP,Open,Male,Northern,RENTED,36.0,Three Full Years,4.0,20.0,12.0,2015-09-19,0,0,0,0,0
163,M164,2013-09-30,VALID,PWR,Open,Male,Western,RENTED,67.0,Three Full Years,6.0,14.0,4.0,2015-10-27,2015-05-25 00:00:00,1,0,0,0
164,M165,2013-09-29,VALID,POP,Open,Male,Northern,RENTED,24.0,Three Full Years,3.0,0.0,4.0,2015-10-02,0,0,1,0,1
165,M166,2013-11-10,VALID,PRM,Open,,Eastern,RENTED,,Three Full Years,,,,2015-11-25,0,0,2,0,2
166,M167,2013-11-20,VALID,PPL,Open,Female,Western,BOUGHT,49.0,Three Full Years,5.0,5.0,17.0,2015-12-16,0,0,2,0,0
167,M168,2013-11-30,VALID,CNN,Open,Female,Northern,RENTED,64.0,Three Full Years,3.0,0.0,22.0,2015-12-02,0,0,2,0,0
168,M169,2013-12-05,VALID,KLA,Open,Female,Northern,RENTED,68.0,Three Full Years,4.0,14.0,7.0,2015-12-15,0,0,0,0,0
169,M170,2014-01-01,VALID,CHC,Open,Male,Northern,RENTED,46.0,Three Full Years,5.0,0.0,12.0,2016-01-25,0,0,15,0,2
170,M171,2014-01-11,VALID,PPL,Open,Female,Northern,RENTED,51.0,Three Full Years,7.0,9.0,17.0,2016-01-17,0,0,0,0,0
171,M172,2014-01-15,VALID,ESS,Open,Male,Eastern,RENTED,36.0,Three Full Years,3.0,0.0,17.0,2016-01-29,0,0,0,0,0
172,M173,2014-01-17,VALID,PRP,Open,Male,Northern,RENTED,49.0,Three Full Years,4.0,0.0,2.0,2016-02-07,0,0,0,0,0
173,M174,2014-03-16,VALID,PRM,Open,Male,Northern,RENTED,,Three Full Years,2.0,0.0,12.0,2016-04-10,0,0,0,0,0
174,M175,2014-04-12,VALID,KLA,Open,Male,Northern,RENTED,71.0,Three Full Years,6.0,0.0,7.0,2016-05-04,0,0,0,0,0
175,M176,2014-04-12,INVALID,PRM,Open,Male,Northern,RENTED,68.0,Three Full Years,5.0,0.0,17.0,2016-05-04,0,0,1,3,0
176,M177,2014-04-23,VALID,PRM,Open,Male,Northern,RENTED,21.0,Three Full Years,3.0,0.0,2.0,2016-05-23,0,0,1,0,2
177,M178,2014-05-24,VALID,PPL,Open,Male,Western,RENTED,59.0,Three Full Years,10.0,6.0,22.0,2016-06-11,0,0,0,0,0
178,M179,2014-05-30,VALID,KLA,Open,Male,Northern,RENTED,59.0,Three Full Years,1.0,0.0,7.0,2016-06-10,0,0,0,0,0
179,M180,2014-06-15,VALID,PRM,Open,,Northern,RENTED,,Three Full Years,,,,2016-07-01,0,0,0,0,1
180,M181,2014-06-20,VALID,CHC,Open,Male,Western,RENTED,46.0,Three Full Years,4.0,0.0,4.0,2016-07-21,0,0,0,0,0
181,M182,2014-06-21,VALID,PPL,Open,Female,Western,RENTED,44.0,Three Full Years,8.0,6.0,21.0,2016-07-09,0,0,0,0,0
182,M183,2014-06-24,VALID,PPL,Open,Female,Eastern,RENTED,69.0,Three Full Years,7.0,0.0,21.0,2016-07-01,0,0,0,0,0
183,M184,2014-08-01,VALID,PRM,Open,Female,Northern,RENTED,70.0,Three Full Years,6.0,14.0,21.0,2016-08-03,0,0,1,0,0
184,M185,2014-08-08,VALID,CHC,Open,Male,Eastern,RENTED,54.0,Three Full Years,4.0,9.0,17.0,2016-08-21,0,0,0,0,0
185,M186,2014-08-09,VALID,PRM,Open,Female,Eastern,BOUGHT,39.0,Three Full Years,3.0,0.0,21.0,2016-08-31,0,0,0,0,0
186,M187,2014-08-22,VALID,PRM,Open,,Eastern,RENTED,,Three Full Years,,,,2016-09-12,0,0,2,0,0
187,M188,2014-09-05,VALID,MXX,Open,Male,Northern,RENTED,51.0,Three Full Years,4.0,10.0,4.0,2016-09-26,0,0,0,0,0
188,M189,2014-09-11,VALID,PPL,Open,,Northern,RENTED,,Three Full Years,,,,2016-10-02,0,0,0,0,0
189,M190,2014-09-17,VALID,PPL,Open,,Eastern,RENTED,,Three Full Years,,,,2016-10-11,0,0,0,0,0
190,M191,2014-09-26,VALID,PPL,Open,,Eastern,RENTED,,Three Full Years,,,,2016-10-07,0,0,2,2,1
