,Account Number,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,CommenceDays,Warrentydays
16,M17,VALID,KLA,Open,Male,Eastern,RENTED,38.0,Three Full Years,6,5,17,0,4,3,0,2011,12,12,2015,3,12, Card II TYPE,71,882,4836,330,77,0,79,3,1208,18
17,M18,VALID,PWR,Open,Male,Eastern,RENTED,72.0,Three Full Years,4,0,22,0,2,3,0,2012,4,19,2015,3,12, Card II TYPE,1940,882,7329,746,2109,0,50,3,1076,18
18,M19,VALID,PWR,Open,Male,Northern,RENTED,59.0,Three Full Years,3,8,22,0,0,3,0,2011,10,20,2015,3,13, Card II TYPE,2045,882,2121,1,249,0,0,3,1260,17
19,M20,VALID,PWR,Open,Male,Western,RENTED,45.0,Three Full Years,3,0,4,0,0,3,0,2013,1,17,2015,3,17, Card II TYPE,2383,882,5824,1,6504,0,0,3,803,13
20,M21,VALID,PWR,Open,Male,Southern,BOUGHT,52.0,Three Full Years,7,0,21,0,0,3,0,2012,12,1,2015,3,31, Card II TYPE,1873,882,6378,1,2614,0,0,3,854,-1
21,M22,VALID,PRR,Open,Male,Western,BOUGHT,61.0,Three Full Years,6,0,22,0,1,2,0,2012,7,3,2015,3,24, Card II TYPE,1415,882,7848,562,5572,0,83,3,1002,6
22,M23,VALID,PWR,Open,Female,Eastern,RENTED,68.0,Three Full Years,4,14,21,0,0,3,0,2011,10,26,2015,3,25, Card I TYPE,2099,882,3159,1,1272,0,0,3,1254,5
23,M24,VALID,PWM,Open,Male,Eastern,BOUGHT,48.0,Three Full Years,9,6,21,0,0,3,0,2012,6,9,2015,3,17, Card II TYPE,175,882,5863,1,5724,0,0,3,1026,13
24,M25,VALID,MXX,Open,Male,Western,RENTED,60.0,Three Full Years,7,5,22,0,1,3,0,2011,10,11,2015,3,19, Card I TYPE,1296,882,7451,1,6633,0,5,3,1269,11
25,M26,VALID,CNN,Open,Male,Northern,BOUGHT,56.34166667,Full Year Plus 3 Months,4,0,22,0,0,3,0,2013,8,2,2015,3,8, Card II TYPE,1708,882,824,1,5823,0,0,3,608,22
26,M27,VALID,PWP,Open,Female,Western,RENTED,41.0,Three Full Years,8,0,21,0,1,3,0,2012,2,11,2015,3,7, Card II TYPE,2340,882,5616,1,6487,0,19,3,1144,23
27,M28,VALID,CHC,Open,Female,Northern,Unknown,54.0,Three Full Years,7,8,17,0,0,None,0,2014,8,26,2016,7,26,None,3331,882,8906,1115,6722,1,0,none,219,-481
28,M29,VALID,CHC,Open,Male,Northern,Unknown,46.0,Three Full Years,5,0,22,0,0,None,0,2014,8,28,2016,8,27,None,3331,882,8906,1115,6722,1,0,none,217,-512
29,M30,VALID,CHC,Open,Female,Northern,Second Hand,48.08773109,Three Full Years,4,0,17,0,0,None,0,2014,8,26,2016,8,26,None,3331,882,2494,1,2460,1,0,3,219,-511
30,M31,VALID,CHC,Open,Female,Eastern,Second Hand,51.69,Three Full Years,1,0,21,0,0,None,0,2014,8,28,2016,8,28,None,3331,882,881,1,2126,1,0,3,217,-513
31,M32,VALID,CHC,Open,Female,Northern,Second Hand,45.0,Three Full Years,4,0,17,0,0,None,0,2014,8,26,2016,8,26,None,3331,882,2545,1,4816,1,0,3,219,-511
32,M33,VALID,CHC,Open,Male,Northern,Second Hand,57.0,Three Full Years,5,0,12,0,0,None,0,2014,8,26,2016,8,26,None,3331,882,6519,732,2850,1,0,3,219,-511
33,M34,VALID,CHC,Open,Female,Northern,Second Hand,53.0,Three Full Years,3,0,17,0,0,None,0,2014,8,25,2016,8,25,None,3331,882,1558,751,2447,1,0,3,220,-510
34,M35,VALID,CHC,Open,Female,Eastern,Second Hand,49.0,Three Full Years,1,0,21,0,0,None,0,2014,8,28,2016,8,28,None,3331,882,3155,1,1445,1,0,3,217,-513
35,M36,VALID,CHC,Open,Female,Western,Second Hand,69.0,Three Full Years,6,0,7,0,0,None,0,2014,8,27,2016,8,27,None,3331,882,6097,473,6208,1,0,3,218,-512
36,M37,VALID,CHC,Open,Female,Western,Second Hand,52.35,Three Full Years,1,0,21,0,0,None,0,2014,8,28,2016,8,28,None,3331,882,5081,1,2604,1,0,3,217,-513
37,M38,VALID,CHC,Open,Male,Western,Second Hand,44.0,Three Full Years,6,0,7,0,0,None,0,2014,8,28,2016,8,28,None,3331,882,5176,450,6231,1,0,3,217,-513
38,M39,VALID,CHC,Open,Male,Eastern,Second Hand,25.0,Three Full Years,4,0,1,0,0,None,0,2014,9,21,2016,9,21,None,3331,882,1886,1,5321,1,0,3,194,-536
39,M40,VALID,CHC,Open,Female,Northern,Second Hand,60.0,Three Full Years,2,0,17,0,0,None,0,2014,9,21,2016,9,21,None,3331,882,2707,1,2358,1,0,3,194,-536
40,M41,VALID,CHC,Open,Male,Northern,Second Hand,56.0,Three Full Years,5,10,17,0,0,None,0,2014,9,21,2016,9,21,None,3331,882,3237,673,4142,1,0,3,194,-536
41,M42,VALID,CHC,Open,Female,Eastern,Second Hand,78.0,Three Full Years,2,0,12,0,0,None,0,2014,9,21,2016,9,21,None,3331,882,8897,1,6625,1,0,3,194,-536
42,M43,VALID,CHC,Open,Female,Eastern,Second Hand,51.0,Three Full Years,4,0,22,0,0,None,0,2014,9,21,2016,9,21,None,3331,882,8732,1,1,1,0,2,194,-536
43,M44,VALID,CHC,Open,Male,Eastern,Second Hand,50.41333333,Three Full Years,7,0,17,0,0,None,0,2015,1,12,2017,1,15,None,3331,882,1534,1,1338,1,0,3,78,-655
44,M45,VALID,CHC,Open,Male,Western,Second Hand,42.0,Three Full Years,7,0,17,0,0,None,0,2015,1,12,2017,1,25,None,3331,882,2026,1,2456,1,0,3,78,-665
45,M46,VALID,CHC,Open,Female,Eastern,Second Hand,61.0,Three Full Years,3,5,1,0,0,None,0,2015,1,12,2017,1,12,None,3331,882,2321,1,2535,1,0,3,78,-652
46,M47,VALID,CHC,Open,Female,Northern,Second Hand,54.07192308,Three Full Years,4,0,12,0,0,None,0,2015,3,13,2017,3,13,None,3331,882,8306,1,4659,1,0,1,17,-713
47,M48,VALID,CHC,Open,Male,Northern,Second Hand,55.73633333,Three Full Years,4,0,21,0,0,None,0,2015,3,13,2017,3,13,None,3331,882,8336,1,6219,1,0,1,17,-713
48,M49,VALID,CHC,Open,Female,Eastern,Second Hand,59.0,Three Full Years,4,0,12,0,0,None,0,2015,3,13,2017,3,13,None,3331,882,8390,1,2952,1,0,1,17,-713
49,M50,VALID,PWR,Open,Female,Western,BOUGHT,74.0,Three Full Years,7,13,21,0,0,3,0,2012,6,6,2015,3,21, Card II TYPE,1649,882,5266,670,4040,0,0,3,1029,9
50,M51,VALID,PRM,Open,Male,Eastern,RENTED,53.0,Three Full Years,7,0,22,0,0,3,0,2012,10,11,2015,3,27, Card I TYPE,2356,882,6940,37,2333,0,0,3,904,3
51,M52,VALID,PWR,Open,Female,Eastern,RENTED,71.0,Three Full Years,5,0,17,1,0,3,0,2012,4,4,2015,3,29, Card II TYPE,2234,882,7304,1,3950,0,0,3,1091,1
52,M53,VALID,PWR,Open,Male,Eastern,BOUGHT,59.0,Three Full Years,8,5,17,0,0,3,0,2013,8,31,2015,8,17, Card II TYPE,1873,882,6708,1,1834,0,0,3,579,-137
53,M54,VALID,PRP,Open,Male,Northern,RENTED,64.0,Three Full Years,4,0,22,0,2,3,0,2011,12,7,2015,3,21,Paper based/Post,209,882,8607,270,4923,0,46,3,1213,9
54,M55,VALID,KLA,Open,Male,Northern,RENTED,65.0,Three Full Years,5,0,12,0,1,3,0,2012,10,2,2015,3,26, Card II TYPE,236,882,5628,1,6525,0,67,3,913,4
55,M56,VALID,POP,Open,Female,Eastern,RENTED,55.0,Three Full Years,6,6,17,0,0,3,0,2012,1,13,2016,3,11, Card II TYPE,3213,882,4318,413,4826,0,0,3,1172,-346
56,M57,VALID,PRP,Open,Male,Western,BOUGHT,77.0,Three Full Years,7,0,17,0,0,3,0,2012,12,14,2015,3,25, Card II TYPE,1873,882,4112,436,4977,0,0,3,841,5
57,M58,VALID,PWR,Open,Male,Eastern,BOUGHT,41.0,Three Full Years,6,0,17,0,0,3,0,2012,8,31,2015,3,15, Card II TYPE,1873,882,917,1,2281,0,0,3,944,15
58,M59,VALID,POP,Open,Male,Eastern,RENTED,64.0,Three Full Years,5,0,22,0,0,3,0,2011,11,30,2015,4,4, Card II TYPE,3220,882,4695,1,3255,0,0,3,1220,-4
59,M60,VALID,PRM,Open,Male,Eastern,BOUGHT,49.0,Full Year Plus 3 Months,8,6,22,0,0,3,0,2014,4,2,2015,6,27, Card II TYPE,1649,882,6565,1,1055,0,0,3,363,-87
60,M61,VALID,CNN,Open,Male,Eastern,RENTED,63.0,Three Full Years,4,0,12,0,0,3,0,2013,5,30,2015,5,3,Paper based/Post,1925,882,1321,1,4,0,0,3,670,-33
61,M62,VALID,PWM,Open,Male,Eastern,RENTED,54.0,Three Full Years,6,0,17,0,0,3,0,2011,10,31,2015,3,17, Card II TYPE,518,882,7986,1,559,0,0,3,1249,13
62,M63,VALID,PPL,Open,Female,Eastern,RENTED,50.0,Three Full Years,7,5,17,0,0,3,0,2012,6,1,2015,3,18, Card I TYPE,2365,882,4422,311,2441,0,0,3,1034,12
63,M64,VALID,PRP,Open,Female,Western,RENTED,70.0,Three Full Years,4,0,12,0,1,3,0,2012,1,24,2015,3,18, Card II TYPE,3226,882,6092,1,827,0,19,3,1161,12
64,M65,VALID,KLA,Open,Male,Eastern,BOUGHT,56.0,Three Full Years,7,0,21,0,0,2,0,2012,9,26,2015,3,31, Card II TYPE,3168,882,6615,1,5021,0,0,3,919,-1
65,M66,VALID,POP,Open,Female,Eastern,BOUGHT,54.0,Three Full Years,6,5,22,0,0,3,0,2013,10,1,2015,9,17, Card II TYPE,2807,882,7211,1,1055,0,0,3,549,-167
66,M67,VALID,KLA,Open,Female,Western,BOUGHT,80.0,Three Full Years,6,0,21,0,0,3,0,2012,2,6,2015,3,18, Card II TYPE,3168,882,4725,1,3640,0,0,3,1149,12
67,M68,VALID,PRP,Open,Male,Eastern,RENTED,34.0,Full Year Plus 3 Months,2,14,17,0,3,3,0,2015,2,7,2016,5,6,Paper based/Post,2562,882,8281,1,1921,0,55,2,53,-401
68,M69,VALID,PPL,Closed,Female,Western,RENTED,55.0,Three Full Years,6,5,17,0,14,1,0,2014,6,20,2016,6,20, Card II TYPE,2920,882,494,1,1112,0,60,3,285,-445
69,M70,VALID,PWM,Open,Male,Northern,RENTED,55.0,Three Full Years,5,0,17,0,0,3,0,2013,10,15,2016,3,18, Card II TYPE,1043,882,5701,1,2181,0,0,3,535,-353
70,M71,VALID,PWR,Open,Male,Northern,RENTED,56.0,Three Full Years,6,0,22,0,0,3,0,2011,11,2,2015,3,25,Paper based/Post,1895,882,711,1,19,0,0,3,1248,5
71,M72,VALID,MXX,Open,Female,Eastern,BOUGHT,49.0,Three Full Years,6,0,21,0,0,2,0,2012,1,7,2015,4,1, Card II TYPE,832,882,7124,1019,5610,0,0,3,1178,-1
72,M73,VALID,PWM,Open,Male,Eastern,Second Hand,50.0,Three Full Years,4,0,17,0,0,3,0,2012,1,19,2015,4,4, Card II TYPE,631,882,8116,304,94,0,0,3,1166,-4
73,M74,VALID,PWP,Open,Male,Eastern,BOUGHT,59.0,Three Full Years,5,0,12,1,0,None,0,2012,2,8,2015,3,25,None,3331,882,1818,482,5221,1,0,3,1147,5
74,M75,VALID,MXX,Open,Male,Eastern,RENTED,61.0,Three Full Years,8,8,17,0,1,None,0,2011,11,3,2015,3,23,None,3331,882,7920,1,3438,1,58,3,1247,7
75,M76,VALID,PWM,Open,Male,Northern,RENTED,41.0,Three Full Years,4,0,21,0,0,None,0,2011,11,8,2015,4,3,None,3331,882,3409,1,1719,1,0,3,1242,-3
76,M77,INVALID,PWR,Open,Female,Western,Second Hand,59.0,Three Full Years,6,0,22,1,0,None,0,2013,3,2,2015,4,3,None,3331,882,1064,1,53,1,0,3,758,-3
77,M78,VALID,PWM,Open,Female,Eastern,RENTED,47.0,Three Full Years,9,20,22,0,1,None,0,2013,7,4,2015,7,4,None,3331,882,4742,1,4485,1,79,3,636,-94
78,M79,VALID,POP,Open,Male,Southern,RENTED,47.0,Three Full Years,9,0,7,0,0,None,0,2011,11,18,2015,3,15,None,3331,882,8906,1115,6722,1,0,none,1232,15
79,M80,VALID,PWM,Open,Female,Eastern,BOUGHT,51.0,Three Full Years,4,10,12,1,0,None,0,2012,1,19,2015,3,29,None,3331,882,8906,1115,6722,1,0,none,1166,1
80,M81,VALID,PWR,Open,Female,Eastern,BOUGHT,45.0,Three Full Years,3,0,21,0,1,3,0,2012,11,5,2015,3,18, Card II TYPE,2196,882,4861,370,3998,0,35,3,880,12
81,M82,VALID,CHC,Open,Male,Northern,RENTED,58.0,Three Full Years,5,0,22,0,0,None,0,2014,2,20,2016,3,11,None,3331,882,2219,1,253,1,0,3,405,-346
82,M83,VALID,PRM,Open,Female,Eastern,BOUGHT,63.0,Three Full Years,8,6,22,0,0,None,0,2013,12,18,2016,3,18,None,3331,882,7459,1,1464,1,0,3,472,-353
83,M84,VALID,PRR,Open,Female,Northern,RENTED,24.0,Three Full Years,3,0,12,0,0,None,0,2013,12,24,2016,3,11,None,3331,882,6938,1,1181,1,0,3,466,-346
84,M85,VALID,POP,Open,Male,Eastern,RENTED,62.0,Three Full Years,6,18,22,0,9,None,0,2012,2,4,2015,3,17,None,3331,882,7079,1,3758,1,45,3,1151,13
85,M86,VALID,MXX,Open,Male,Eastern,Second Hand,56.0,Three Full Years,8,0,22,0,0,None,0,2013,6,11,2015,5,12,None,3331,882,6891,1,1401,1,0,3,659,-42
86,M87,VALID,MXX,Open,Female,Northern,RENTED,48.27,Three Full Years,6,0,12,0,0,3,0,2012,3,29,2015,3,29, Card II TYPE,1095,882,7987,1,161,0,0,3,1096,1
87,M88,VALID,PWM,Open,Male,Eastern,RENTED,62.0,Three Full Years,3,9,12,0,4,None,0,2011,12,2,2015,3,6,None,3331,882,7812,1,2603,1,70,3,1218,24
88,M89,VALID,PWR,Open,Male,Northern,RENTED,77.0,Three Full Years,6,0,17,0,0,None,0,2013,4,19,2015,3,26,None,3331,882,1164,1,4733,1,0,3,711,4
89,M90,INVALID,PWP,Open,Male,Northern,BOUGHT,54.24642857,Three Full Years,3,0,7,0,1,3,0,2012,5,11,2015,3,14,Paper based/Post,2100,882,1070,1,6241,0,57,3,1054,16
90,M91,VALID,KLA,Open,Male,Northern,RENTED,44.78,Three Full Years,3,0,2,0,0,None,0,2014,4,8,2016,3,17,None,3331,882,2586,1,2616,1,0,3,357,-352
91,M92,VALID,PRM,Open,Male,Eastern,BOUGHT,52.0,Three Full Years,5,0,12,0,0,None,0,2014,10,25,2016,10,13,None,3331,882,4785,192,4852,1,0,3,160,-558
92,M93,VALID,PWM,Open,Female,Eastern,BOUGHT,55.0,Three Full Years,4,0,17,1,1,None,0,2012,2,22,2015,3,7,None,3331,882,8906,1115,6722,1,7,none,1133,23
93,M94,VALID,PRM,Open,Male,Northern,RENTED,62.0,Three Full Years,5,0,22,0,0,None,0,2014,1,24,2016,3,24,None,3331,882,2855,1,691,1,0,3,431,-359
94,M95,VALID,POP,Open,Female,Western,BOUGHT,43.0,Three Full Years,9,0,17,0,0,None,0,2012,9,23,2015,3,19,None,3331,882,463,1,1918,1,0,3,922,11
95,M96,VALID,PWM,Open,Female,Eastern,RENTED,40.0,Three Full Years,4,6,22,0,0,None,0,2011,12,30,2015,3,29,None,3331,882,6157,1,3306,1,0,3,1190,1
96,M97,VALID,PRP,Open,Male,Eastern,BOUGHT,48.0,Three Full Years,5,5,22,0,0,None,0,2014,1,7,2016,3,15,None,3331,882,7530,2,3254,1,0,3,448,-350
97,M98,VALID,PWR,Open,Male,Western,RENTED,52.0,Three Full Years,5,0,22,0,0,None,0,2012,8,19,2015,3,11,None,3331,882,7538,843,3405,1,0,3,956,19
98,M99,VALID,PWM,Open,Male,Eastern,BOUGHT,64.0,Three Full Years,1,14,22,0,0,None,0,2012,1,11,2015,3,10,None,3331,882,2991,1,5342,1,0,3,1174,20
99,M100,VALID,PWR,Open,Male,Northern,RENTED,47.16,Three Full Years,6,0,1,0,1,None,1,2013,6,18,2015,6,17,None,3331,15,6308,1,5020,1,23,3,652,-77
100,M101,VALID,PWR,Open,Male,Eastern,RENTED,63.0,Three Full Years,7,0,22,0,5,None,0,2013,11,9,2016,3,19,None,3331,882,138,1,3961,1,73,3,511,-354
101,M102,VALID,PWR,Open,Male,Western,RENTED,55.0,Three Full Years,2,18,17,0,0,None,0,2011,10,10,2015,3,27,None,3331,882,7834,1,1505,1,0,3,1270,3
102,M103,VALID,PRP,Open,Male,Western,RENTED,52.0,Three Full Years,7,6,12,0,2,None,0,2012,3,17,2015,3,24,None,3331,882,3628,1,1971,1,80,3,1108,6
103,M104,VALID,KLA,Open,Female,Northern,RENTED,66.0,Three Full Years,6,20,22,0,1,None,1,2012,2,13,2015,3,15,None,3331,494,5160,1,2666,1,13,3,1142,15
104,M105,INVALID,POP,Open,Male,Northern,BOUGHT,55.0,Three Full Years,3,0,12,0,0,None,0,2012,1,30,2015,3,24,None,3331,882,7132,1,4728,1,0,3,1155,6
105,M106,VALID,PWR,Open,Female,Northern,RENTED,68.0,Three Full Years,6,0,22,0,0,None,0,2012,7,11,2015,3,25,None,3331,882,6429,1034,3608,1,0,3,994,5
106,M107,VALID,PWR,Closed,Male,Northern,RENTED,31.0,Three Full Years,3,0,12,0,0,None,0,2012,5,9,2015,3,9,None,3331,882,8906,1115,6722,1,0,none,1056,21
107,M108,VALID,PRM,Open,Male,Eastern,RENTED,60.0,Three Full Years,6,5,22,0,0,None,0,2014,5,6,2016,5,5,None,3331,882,7715,281,4892,1,0,3,329,-400
108,M109,VALID,PWR,Open,Female,Eastern,BOUGHT,63.0,Full Year,2,0,12,0,0,None,0,2013,6,15,2015,3,13,None,3331,882,4950,1,1459,1,0,3,655,17
109,M110,VALID,PWR,Open,Male,Eastern,Second Hand,77.0,Three Full Years,4,0,22,0,0,None,0,2012,6,26,2015,3,24,None,3331,882,5432,1,3026,1,0,3,1009,6
110,M111,VALID,POP,Open,Male,Eastern,BOUGHT,50.82566667,Three Full Years,5,0,21,0,0,3,0,2012,1,31,2015,3,19, Card II TYPE,2807,882,7883,1,2386,0,0,3,1154,11
111,M112,VALID,PWM,Open,Male,Northern,RENTED,49.5625,Three Full Years,9,0,12,0,0,None,0,2012,5,4,2015,4,1,None,3331,882,673,1,5421,1,0,3,1061,-1
112,M113,VALID,PRM,Open,Male,Eastern,RENTED,48.0,Three Full Years,5,6,2,0,0,None,0,2014,4,12,2016,4,2,None,3331,882,3519,937,2592,1,0,3,353,-367
113,M114,VALID,MXX,Open,Male,Northern,RENTED,35.0,Three Full Years,6,20,12,0,0,None,1,2011,12,7,2015,3,28,None,3331,193,2598,1,1944,1,0,3,1213,2
114,M115,VALID,PWR,Open,Male,Western,RENTED,52.8905,Three Full Years,6,0,17,0,0,2,0,2011,10,24,2015,4,1, Card II TYPE,1953,882,6848,1,2310,0,0,3,1256,-1
115,M116,VALID,POP,Open,Male,Northern,BOUGHT,42.0,Three Full Years,4,20,22,0,0,None,0,2012,6,16,2015,3,10,None,3331,882,6514,317,5043,1,0,3,1019,20
116,M117,VALID,CNN,Open,Male,Northern,RENTED,76.0,Three Full Years,3,0,12,0,0,None,0,2013,8,21,2015,8,6,None,3331,882,5728,315,415,1,0,3,589,-126
117,M118,VALID,PWR,Open,Female,Eastern,RENTED,23.0,Three Full Years,5,0,12,0,0,None,0,2013,7,20,2015,7,10,None,3331,882,5823,1,2184,1,0,3,620,-100
118,M119,VALID,POP,Open,Male,Northern,RENTED,51.0,Three Full Years,3,0,7,0,0,None,0,2013,12,4,2016,3,9,None,3331,882,1547,1,3951,1,0,3,486,-344
119,M120,VALID,PRM,Open,Male,Northern,RENTED,62.0,Three Full Years,5,0,22,0,2,3,0,2014,1,22,2016,3,6, Card I TYPE,2081,882,6475,1,6678,0,47,3,433,-341
120,M121,VALID,PRM,Open,Male,Eastern,RENTED,46.70875,Three Full Years,3,0,2,0,1,3,0,2013,11,24,2016,3,29,Paper based/Post,3070,882,3946,867,4153,0,36,3,496,-364
121,M122,VALID,MXX,Open,Male,Western,RENTED,44.55166667,Three Full Years,1,0,1,0,0,3,0,2012,6,20,2015,3,10, Card II TYPE,970,882,7509,600,3191,0,0,3,1015,20
122,M123,VALID,PRM,Open,Male,Northern,RENTED,46.31233333,Three Full Years,4,0,7,0,0,None,0,2014,5,14,2016,4,19,None,3331,882,5548,1,3002,1,0,3,321,-384
123,M124,VALID,POP,Open,Male,Northern,RENTED,50.33166667,Three Full Years,4,0,7,0,1,None,0,2013,4,3,2015,3,13,None,3331,882,5551,1,2194,1,8,3,727,17
124,M125,VALID,PWR,Open,Female,Eastern,RENTED,49.0,Three Full Years,6,8,22,0,0,None,1,2013,3,16,2015,4,4,None,3331,331,5782,1,2528,1,0,3,744,-4
125,M126,VALID,KLA,Open,Male,Western,RENTED,53.0,Three Full Years,6,0,17,0,0,None,0,2014,5,1,2016,4,23,None,3331,882,867,1,839,1,0,3,334,-388
126,M127,VALID,PPL,Open,Female,Northern,RENTED,32.0,Three Full Years,4,20,21,0,1,3,0,2013,8,23,2015,9,7, Card II TYPE,1965,882,4560,1016,2012,0,4,3,587,-157
127,M128,VALID,CHC,Open,Female,Northern,RENTED,75.0,Three Full Years,3,6,22,0,2,3,0,2013,1,16,2015,3,23, Card II TYPE,1955,882,1151,1,5216,0,87,3,804,7
128,M129,VALID,KLA,Open,Female,Western,RENTED,59.0,Three Full Years,6,0,17,0,0,None,0,2014,4,17,2016,3,31,None,3331,882,4233,1,2813,1,0,3,348,-366
129,M130,VALID,PPL,Open,Female,Northern,RENTED,53.0,Three Full Years,6,14,22,0,1,None,0,2011,9,22,2015,3,26,None,3331,882,3717,569,3445,1,36,3,1288,4
130,M131,VALID,PWR,Open,Male,Western,BOUGHT,53.015,Three Full Years,6,0,17,0,0,None,0,2011,10,7,2015,4,3,None,3331,882,3530,1,1799,1,0,3,1273,-3
131,M132,VALID,CHC,Closed,Male,Eastern,RENTED,48.45666667,Three Full Years,5,0,12,1,1,None,1,2011,10,20,2015,3,20,None,3331,129,8522,1,1481,1,44,2,1260,10
132,M133,VALID,PWR,Open,Male,Eastern,RENTED,58.0,Three Full Years,7,0,22,0,0,3,0,2011,11,5,2015,3,28, Card II TYPE,1925,882,5978,1,1267,0,0,3,1245,2
133,M134,VALID,PWP,Open,Male,Northern,RENTED,52.0,Three Full Years,3,5,7,0,1,None,0,2011,12,8,2015,3,18,None,3331,882,7698,633,3631,1,87,3,1212,12
134,M135,INVALID,PWR,Open,Male,Northern,RENTED,62.0,Three Full Years,3,13,22,0,0,None,3,2011,12,1,2015,3,17,None,3331,215,2252,1,464,1,0,3,1219,13
135,M136,VALID,KLA,Open,Male,Northern,RENTED,62.0,Three Full Years,1,6,22,0,0,None,0,2012,1,6,2015,3,25,None,3331,882,2346,1,5929,1,0,3,1179,5
136,M137,VALID,PWM,Open,Female,Northern,BOUGHT,58.0,Three Full Years,6,5,22,0,1,None,0,2012,2,8,2015,3,27,None,3331,882,7874,1,4531,1,39,3,1147,3
137,M138,VALID,POP,Open,Female,Eastern,BOUGHT,61.0,Three Full Years,7,14,17,0,1,None,0,2012,2,13,2015,3,26,None,3331,882,8280,1,4292,1,16,1,1142,4
138,M139,VALID,PWM,Open,Female,Eastern,BOUGHT,45.0,Three Full Years,5,0,22,0,0,None,0,2012,2,11,2015,4,3,None,3331,882,7659,1,3369,1,0,3,1144,-3
139,M140,VALID,PWR,Open,Female,Eastern,RENTED,48.75416667,Three Full Years,5,0,12,0,0,None,2,2012,2,24,2015,3,17,None,3331,158,669,1,2070,1,0,3,1131,13
