,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,Closetdefaultdate,defaultsum,Hours,Posthours,daraGB,YYYYMM,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention
10,V11,2013-01-19,VALID,PWR,Open,Female,Northern,BOUGHT,51.0,Three Full Years,11.0,0.0,22.0,2015-07-17,0,3,0,2013.0,1.0,19.0,2015.0,7.0,17.0, Card II TYPE,660.1349999999999,None,None,2193.2599999999998,0.0,106.3,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,V12,,,CHC,Open,,Western,Unknown,,,,,,,0,None,0,,,,,,,None,None,None,None,2185.98,0.0,303.45000000000005,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,V13,,,CHC,Open,Female,Eastern,Unknown,,,3.0,0.0,12.0,,0,None,0,,,,,,,None,None,None,None,None,None,None,None,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,V14,2014-08-26,,CHC,Open,,Western,Second Hand,,,,,,,0,None,0,2014.0,8.0,26.0,,,,None,None,None,None,2010.6500000000001,0.0,188.65000000000001,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,V15,2014-08-28,,CHC,Open,Male,Northern,Second Hand,56.0,,2.0,0.0,12.0,,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,1472.9199999999998,294.0,179.34999999999999,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,V16,2014-08-27,,CHC,Open,Male,Western,Second Hand,54.0,,3.0,0.0,7.0,,0,None,0,2014.0,8.0,27.0,,,,None,None,None,None,2203.46,302.0,971.15000000000009,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,V17,2014-08-28,,CHC,Open,Female,Northern,Second Hand,38.0,,2.0,0.0,21.0,,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,1507.5300000000002,0.0,119.75,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,V18,2014-08-27,,CHC,Open,Male,Northern,Second Hand,45.0,,4.0,10.0,2.0,,0,None,0,2014.0,8.0,27.0,,,,None,None,None,None,2188.3199999999997,185.0,1047.8000000000002,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,V19,2014-08-28,,CHC,Open,,Northern,Second Hand,,,,,,,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,1937.3699999999999,0.0,206.04999999999998,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,V20,2014-09-21,,CHC,Open,Female,Eastern,Second Hand,36.0,,10.0,0.0,17.0,,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,1888.1000000000001,148.0,758.5,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,V21,2014-09-21,,CHC,Open,Female,Eastern,Second Hand,48.0,,6.0,0.0,17.0,,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,2191.0999999999999,0.0,310.30000000000001,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,V22,2012-06-10,VALID,POP,Open,Male,Eastern,RENTED,47.0,Three Full Years,7.0,10.0,21.0,2015-07-22,0,3,0,2012.0,6.0,10.0,2015.0,7.0,22.0, Card II TYPE,960.225,None,None,2188.3299999999999,0.0,180.34999999999999,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,V23,2013-02-24,VALID,PWR,Open,Male,Northern,BOUGHT,48.0,Three Full Years,3.0,0.0,22.0,2015-07-05,0,3,0,2013.0,2.0,24.0,2015.0,7.0,5.0, Card II TYPE,660.2400000000001,None,None,1923.22,91.0,291.64999999999998,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,V24,2014-05-20,VALID,CHC,Open,Female,Eastern,RENTED,67.0,Three Full Years,9.0,5.0,22.0,2016-07-15,0,3,0,2014.0,5.0,20.0,2016.0,7.0,15.0, Card II TYPE,643.23,None,None,2100.1300000000001,657.0,118.30000000000001,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,V25,2011-11-05,VALID,PWR,Open,Male,Western,RENTED,55.0,Three Full Years,3.0,0.0,17.0,2015-07-28,0,3,0,2011.0,11.0,5.0,2015.0,7.0,28.0, Card I TYPE,646.695,None,None,2047.6899999999998,0.0,217.45000000000002,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,V26,2012-02-13,VALID,PWM,Open,Female,Northern,RENTED,47.0,Three Full Years,5.0,0.0,22.0,2015-07-19,1,3,0,2012.0,2.0,13.0,2015.0,7.0,19.0, Card II TYPE,1236.9,None,None,1991.8299999999999,0.0,366.0,604518.0,0,-67,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,V27,2012-01-11,VALID,MXX,Open,Male,Eastern,RENTED,60.0,Three Full Years,7.0,0.0,17.0,2015-07-08,1,3,0,2012.0,1.0,11.0,2015.0,7.0,8.0, Card II TYPE,1483.23,None,None,None,None,None,None,0,-70,none,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,V28,2012-08-28,VALID,PWM,Open,Male,Eastern,BOUGHT,51.0,Three Full Years,6.0,0.0,21.0,2015-07-14,0,2,0,2012.0,8.0,28.0,2015.0,7.0,14.0,Paper based/Post,11.025,None,None,2201.6700000000001,0.0,650.25,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,V29,2012-09-05,VALID,PWM,Open,Male,Western,BOUGHT,54.0,Three Full Years,4.0,13.0,12.0,2015-07-20,0,3,0,2012.0,9.0,5.0,2015.0,7.0,20.0, Card II TYPE,1122.8700000000001,None,None,2196.8800000000001,0.0,685.05000000000007,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,V30,2011-12-30,VALID,KLA,Open,Female,Northern,RENTED,68.0,Three Full Years,6.0,14.0,17.0,2015-08-02,0,2,0,2011.0,12.0,30.0,2015.0,8.0,2.0, Card II TYPE,1056.3,None,None,2199.0999999999999,0.0,549.10000000000002,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,V31,2011-11-21,VALID,POP,Open,Male,Eastern,RENTED,58.0,Three Full Years,8.0,5.0,22.0,2015-07-29,0,3,0,2011.0,11.0,21.0,2015.0,7.0,29.0,Paper based/Post,1071.84,None,None,2198.48,0.0,219.85000000000002,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,V32,2011-10-14,VALID,PWM,Open,Male,Eastern,RENTED,53.0,Three Full Years,7.0,0.0,21.0,2015-07-25,0,3,0,2011.0,10.0,14.0,2015.0,7.0,25.0, Card II TYPE,1168.965,None,None,2041.1799999999998,0.0,432.44999999999993,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,V33,2012-07-01,VALID,PWR,Open,Male,Northern,RENTED,57.0,Three Full Years,3.0,0.0,17.0,2015-07-12,2,3,0,2012.0,7.0,1.0,2015.0,7.0,12.0, Card II TYPE,782.25,None,None,2103.3200000000002,0.0,185.30000000000001,604518.0,0,-82,3,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,V34,2014-04-10,VALID,PMM,Open,Male,Northern,RENTED,47.0,Three Full Years,6.0,0.0,12.0,2016-07-26,1,3,0,2014.0,4.0,10.0,2016.0,7.0,26.0, Card II TYPE,782.25,None,None,1614.1499999999999,0.0,180.0,604518.0,0,-52,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,V35,2012-01-18,VALID,POP,Open,Male,Northern,BOUGHT,43.0,Three Full Years,6.0,0.0,21.0,2015-07-26,0,3,0,2012.0,1.0,18.0,2015.0,7.0,26.0, Card II TYPE,898.695,None,None,2188.9299999999998,0.0,166.19999999999999,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,V36,2011-12-17,VALID,PWR,Open,Female,Eastern,RENTED,47.0,Three Full Years,3.0,0.0,12.0,2015-07-26,0,3,0,2011.0,12.0,17.0,2015.0,7.0,26.0, Card II TYPE,648.585,None,None,1767.02,0.0,200.95000000000002,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,V37,2011-10-07,VALID,KLA,Open,Male,Northern,RENTED,,Three Full Years,3.0,0.0,12.0,2015-08-03,0,None,0,2011.0,10.0,7.0,2015.0,8.0,3.0,None,None,None,None,2186.25,0.0,40.0,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,V38,2012-02-17,VALID,POP,Open,Male,Northern,RENTED,74.0,Three Full Years,5.0,0.0,22.0,2015-08-03,3,None,0,2012.0,2.0,17.0,2015.0,8.0,3.0,None,None,None,None,554.93999999999994,0.0,129.15000000000001,604518.0,1,-62,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,V39,2012-02-24,VALID,PWR,Open,Female,Northern,BOUGHT,70.0,Three Full Years,3.0,14.0,22.0,2015-07-29,0,None,0,2012.0,2.0,24.0,2015.0,7.0,29.0,None,None,None,None,1793.6799999999998,0.0,53.300000000000004,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,V40,2012-07-29,VALID,PWR,Open,Female,Eastern,RENTED,61.0,Full Year,6.0,20.0,22.0,2015-07-13,0,None,0,2012.0,7.0,29.0,2015.0,7.0,13.0,None,None,None,None,2183.9499999999998,0.0,38.050000000000004,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,V41,2012-03-31,VALID,PWR,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-07-29,0,None,0,2012.0,3.0,31.0,2015.0,7.0,29.0,None,None,None,None,2197.6900000000001,0.0,280.75,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,V42,2013-11-10,VALID,POP,Open,Female,Northern,BOUGHT,57.0,Three Full Years,4.0,18.0,17.0,2016-07-19,3,None,0,2013.0,11.0,10.0,2016.0,7.0,19.0,None,None,None,None,1905.25,0.0,328.94999999999999,604518.0,1,-54,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
42,V43,2013-02-05,VALID,PWR,Closed,,Eastern,RENTED,,,,,,,0,None,0,2013.0,2.0,5.0,,,,None,None,None,None,None,None,None,None,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,V44,2011-09-30,VALID,PWM,Open,Male,Northern,RENTED,72.0,Three Full Years,6.0,13.0,21.0,2015-07-22,1,None,0,2011.0,9.0,30.0,2015.0,7.0,22.0,None,None,None,None,2149.6300000000001,0.0,613.15000000000009,604518.0,1,-61,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,V45,2015-03-03,VALID,PPL,Open,,Western,RENTED,,Three Full Years,,,,2017-02-13,0,None,0,2015.0,3.0,3.0,2017.0,2.0,13.0,None,None,None,None,1943.75,0.0,66.199999999999989,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,V46,2011-10-13,VALID,KLA,Open,Female,Western,RENTED,48.0,Three Full Years,8.0,6.0,17.0,2015-07-29,3,None,0,2011.0,10.0,13.0,2015.0,7.0,29.0,None,None,None,None,1941.7700000000002,0.0,590.09999999999991,604518.0,1,-102,3,1,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
46,V47,2014-03-13,VALID,PMM,Open,Female,Eastern,RENTED,67.0,Three Full Years,3.0,0.0,22.0,2016-07-09,0,3,0,2014.0,3.0,13.0,2016.0,7.0,9.0,Paper based/Post,750.5400000000001,None,None,1162.6500000000001,0.0,56.149999999999999,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,V48,2011-12-14,VALID,MXX,Open,Female,Northern,RENTED,46.0,Three Full Years,10.0,12.0,17.0,2015-07-23,1,None,1,2011.0,12.0,14.0,2015.0,7.0,23.0,None,None,2015-07-01 00:00:00,1402.8,2042.6500000000001,4.0,312.95000000000005,604518.0,1,-101,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,V49,2011-10-25,VALID,PRS,Open,Male,Western,RENTED,47.0,Three Full Years,6.0,0.0,22.0,2015-07-31,0,None,0,2011.0,10.0,25.0,2015.0,7.0,31.0,None,None,None,None,2073.73,0.0,225.09999999999999,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,V50,2012-02-15,VALID,POP,Open,Female,Northern,RENTED,61.0,Three Full Years,4.0,0.0,17.0,2015-07-10,1,None,0,2012.0,2.0,15.0,2015.0,7.0,10.0,None,None,None,None,2005.0500000000002,0.0,435.34999999999997,604518.0,1,-34,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,V51,2014-10-25,VALID,PPL,Open,Male,Eastern,BOUGHT,52.0,Three Full Years,5.0,0.0,17.0,2016-10-13,2,None,0,2014.0,10.0,25.0,2016.0,10.0,13.0,None,None,None,None,1860.77,434.0,245.60000000000002,604518.0,1,-55,3,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
51,V52,2014-08-27,VALID,PMM,Open,,Western,RENTED,,Three Full Years,,,,2016-08-04,0,None,0,2014.0,8.0,27.0,2016.0,8.0,4.0,None,None,None,None,1870.3900000000001,61.0,266.69999999999999,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,V53,2014-06-17,VALID,PRP,Open,Male,Northern,RENTED,40.0,Three Full Years,4.0,0.0,12.0,2016-07-08,0,None,0,2014.0,6.0,17.0,2016.0,7.0,8.0,None,None,None,None,2104.3800000000001,0.0,93.049999999999997,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,V54,2013-09-07,VALID,PPL,Open,Male,Eastern,RENTED,63.0,Three Full Years,1.0,6.0,17.0,2015-08-28,2,None,0,2013.0,9.0,7.0,2015.0,8.0,28.0,None,None,None,None,1880.3299999999999,0.0,173.05000000000001,604518.0,1,-116,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,V55,2012-05-12,VALID,PWR,Open,Female,Northern,RENTED,76.0,Three Full Years,3.0,14.0,21.0,2015-07-26,0,None,0,2012.0,5.0,12.0,2015.0,7.0,26.0,None,None,None,None,2009.9300000000001,0.0,169.15000000000001,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,V56,2013-05-06,VALID,KLA,Open,Female,Eastern,RENTED,60.0,Three Full Years,6.0,0.0,21.0,2015-08-02,0,None,0,2013.0,5.0,6.0,2015.0,8.0,2.0,None,None,None,None,2120.5799999999999,265.0,638.75,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,V57,2014-05-16,VALID,PMM,Open,Female,Eastern,BOUGHT,56.0,Three Full Years,8.0,5.0,17.0,2016-07-09,0,None,0,2014.0,5.0,16.0,2016.0,7.0,9.0,None,None,None,None,1939.23,65.0,211.30000000000001,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,V58,2012-03-03,VALID,KLA,Open,Male,Western,RENTED,64.0,Three Full Years,8.0,0.0,22.0,2015-07-08,1,None,0,2012.0,3.0,3.0,2015.0,7.0,8.0,None,None,None,None,2169.2200000000003,102.0,828.84999999999991,604518.0,1,-68,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,V59,2011-11-29,VALID,POP,Open,Female,Western,RENTED,60.0,Three Full Years,7.0,0.0,22.0,2015-07-20,0,3,0,2011.0,11.0,29.0,2015.0,7.0,20.0, Card II TYPE,962.22,None,None,2057.0999999999999,0.0,405.55000000000001,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,V60,2014-12-17,VALID,KLA,Open,,Western,BOUGHT,,Three Full Years,,,,2016-12-01,0,None,0,2014.0,12.0,17.0,2016.0,12.0,1.0,None,None,None,None,2050.8000000000002,44.0,725.64999999999998,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,V61,2011-10-28,VALID,POP,Open,Female,Northern,RENTED,64.0,Three Full Years,4.0,0.0,12.0,2015-07-09,0,None,0,2011.0,10.0,28.0,2015.0,7.0,9.0,None,None,None,None,1488.97,0.0,0.0,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,V62,2014-09-24,VALID,PRR,Open,Male,Eastern,RENTED,51.0,Three Full Years,7.0,6.0,17.0,2016-09-13,0,None,0,2014.0,9.0,24.0,2016.0,9.0,13.0,None,None,None,None,2043.8499999999999,0.0,288.19999999999999,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,V63,2013-08-06,VALID,PWR,Open,Male,Eastern,RENTED,62.0,Three Full Years,3.0,0.0,12.0,2015-07-31,0,None,0,2013.0,8.0,6.0,2015.0,7.0,31.0,None,None,None,None,1026.6300000000001,0.0,224.14999999999998,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,V64,2012-06-27,VALID,PWM,Open,Female,Eastern,RENTED,55.0,Three Full Years,2.0,5.0,22.0,2015-08-03,0,None,0,2012.0,6.0,27.0,2015.0,8.0,3.0,None,None,None,None,2188.3800000000001,0.0,234.89999999999998,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,V65,2012-12-18,VALID,PWR,Open,Male,Western,RENTED,75.0,Three Full Years,8.0,5.0,22.0,2015-07-28,0,None,0,2012.0,12.0,18.0,2015.0,7.0,28.0,None,None,None,None,2079.75,0.0,115.34999999999999,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,V66,2012-06-06,VALID,PRP,Open,Male,Eastern,RENTED,55.0,Three Full Years,4.0,8.0,22.0,2015-07-31,0,None,0,2012.0,6.0,6.0,2015.0,7.0,31.0,None,None,None,None,2103.0599999999999,24.0,315.04999999999995,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,V67,2013-06-13,VALID,PWR,Open,,Eastern,RENTED,,Three Full Years,,,,2015-07-10,1,None,0,2013.0,6.0,13.0,2015.0,7.0,10.0,None,None,None,None,2166.2399999999998,0.0,151.59999999999999,604518.0,1,-88,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,V68,2013-12-04,VALID,POP,Open,Male,Northern,RENTED,52.0,Three Full Years,3.0,0.0,12.0,2016-07-09,0,None,0,2013.0,12.0,4.0,2016.0,7.0,9.0,None,None,None,None,1811.22,0.0,47.750000000000007,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,V69,2013-04-25,VALID,PRR,Open,Male,Western,RENTED,58.0,Three Full Years,7.0,0.0,12.0,2015-07-21,0,None,0,2013.0,4.0,25.0,2015.0,7.0,21.0,None,None,None,None,2201.6400000000003,315.0,660.75,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,V70,2014-07-29,VALID,PPL,Open,Male,Northern,BOUGHT,56.0,Three Full Years,3.0,0.0,22.0,2016-08-04,0,3,0,2014.0,7.0,29.0,2016.0,8.0,4.0, Card II TYPE,524.895,None,None,1984.0,0.0,209.69999999999999,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,V71,2012-10-09,VALID,PPL,Open,Male,Northern,BOUGHT,26.0,Three Full Years,6.0,0.0,7.0,2015-08-04,0,3,0,2012.0,10.0,9.0,2015.0,8.0,4.0, Card II TYPE,629.8950000000001,None,None,1923.4400000000001,0.0,64.700000000000003,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,V72,2012-02-21,VALID,PRP,Open,Male,Eastern,BOUGHT,,Three Full Years,4.0,0.0,1.0,2015-07-14,0,None,0,2012.0,2.0,21.0,2015.0,7.0,14.0,None,None,None,None,2029.1599999999999,417.0,385.65000000000003,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,V73,2011-10-12,INVALID,PWR,Open,Female,Northern,RENTED,62.0,Three Full Years,4.0,0.0,7.0,2015-07-16,0,None,0,2011.0,10.0,12.0,2015.0,7.0,16.0,None,None,None,None,2195.6900000000001,0.0,42.950000000000003,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,V74,2011-12-31,VALID,PWM,Open,Male,Eastern,BOUGHT,53.0,Three Full Years,13.0,6.0,22.0,2015-08-03,2,None,1,2011.0,12.0,31.0,2015.0,8.0,3.0,None,None,2015-07-11 00:00:00,899.9,2199.3200000000002,0.0,239.0,604518.0,1,-104,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,V75,2012-01-23,VALID,PWR,Open,Male,Eastern,RENTED,20.0,Three Full Years,4.0,0.0,17.0,2015-07-26,0,None,0,2012.0,1.0,23.0,2015.0,7.0,26.0,None,None,None,None,2121.7199999999998,617.0,497.64999999999998,604518.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,V76,2012-05-03,VALID,PWR,Open,Male,Northern,RENTED,69.0,Three Full Years,5.0,0.0,17.0,2015-07-17,0,3,0,2012.0,5.0,3.0,2015.0,7.0,17.0, Card I TYPE,891.345,None,None,2196.6999999999998,0.0,172.15000000000001,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
