"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Categ","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB","Default","query_days","usage_number","query_days.1","usage_number.1","LevelPaymentSettlement","LevelTech","Account","PaymentSettlement","Browsing","OperationalCapabilities","GeneralInformation","NoBrowse","Payment","FullPayment","Redirected","Nosupport.ThirdParty","SlowBrowse","Utilities","ExplanationofCharges","Change","MultipleItems.EntireBill","UpdatePaymentInformation","GeneralInquiry","Retention","CommenceDays","Warrentydays"
"9527","VALID","PWR","Open","Female","Northern","RENTED",63,"Three Full Years",5,5,21,0,0,"3",0,2012,11,3,2015,3,12," Card II TYPE",2774,882,1263,1,1784,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,18
"4513","VALID","PRM","Open","Male","Eastern","RENTED",51,"Three Full Years",7,9,22,0,0,"3",0,2014,4,13,2016,4,13," Card II TYPE",2375,882,2368,638,3296,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,-378
"6745","VALID","PRM","Closed","Male","Northern","RENTED",44.56333333,"Three Full Years",3,0,7,1,0,"1",1,2014,12,26,2016,12,26," Card II TYPE",2389,466,892,668,894,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-631
"5700","INVALID","PRM","Open","Male","Northern","RENTED",63,"Three Full Years",6,0,22,0,0,"3",0,2014,8,30,2016,8,30," Card II TYPE",2398,882,2358,1,5756,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,-515
"1025","VALID","PWR","Open","Male","Northern","BOUGHT",47.44333333,"Three Full Years",6,0,21,0,0,"3",0,2012,4,12,2015,3,12," Card II TYPE",1873,882,5139,714,2711,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,18
"8955","VALID","PPL","Open","Male","Northern","RENTED",46,"Three Full Years",5,0,21,0,0,"3",0,2014,8,14,2016,7,21,"Paper based/Post",2614,882,2566,1,1275,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,-476
"2449","VALID","POP","Open","Female","Northern","RENTED",46,"Three Full Years",4,0,22,0,0,"3",0,2013,4,17,2015,4,17," Card II TYPE",462,882,2189,1,4295,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,-17
"419","VALID","PWR","Open","Male","Northern","RENTED",21,"Three Full Years",2,0,7,0,1,"3",0,2013,6,8,2015,5,12," Card II TYPE",1896,882,2872,1,1412,0,48,"3",48,"3",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,662,-42
"3263","VALID","CNN","Open","Female","Northern","RENTED",30,"Three Full Years",3,0,12,0,0,"3",0,2013,9,26,2015,9,26," Card II TYPE",2475,882,3175,859,3379,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,-176
"9495","VALID","MXX","Open","Male","Northern","RENTED",61,"Three Full Years",3,0,7,0,5,"3",0,2013,3,24,2015,3,30,"Paper based/Post",1217,882,4998,1080,5581,0,72,"3",72,"3",3,2,4,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,736,0
"8848","VALID","PWR","Open","Male","Northern","RENTED",51,"Three Full Years",5,5,21,0,0,"3",0,2013,10,3,2015,9,15," Card II TYPE",2539,882,3589,10,1727,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,-165
"6890","VALID","KLA","Open","Female","Northern","RENTED",63,"Three Full Years",3,0,12,0,2,"3",0,2015,1,11,2017,1,11," Card II TYPE",2667,882,3882,1,122,0,45,"3",45,"3",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,79,-651
"6370","INVALID","PPL","Open","Male","Eastern","RENTED",59,"Three Full Years",3,0,17,0,1,"3",0,2014,11,13,2016,11,13," Card II TYPE",1674,882,1226,30,1418,0,12,"3",12,"3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,142,-588
"9887","VALID","PWR","Open","Female","Eastern","RENTED",47.285,"Three Full Years",3,0,7,0,0,"3",0,2013,5,22,2015,5,20," Card I TYPE",2356,882,3406,1,371,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,-50
"6520","VALID","PRM","Open","Female","Eastern","RENTED",54,"Three Full Years",6,13,17,0,1,"2",0,2014,12,3,2016,12,3,"Paper based/Post",2789,882,3917,337,2290,0,84,"3",84,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122,-608
"7044","INVALID","PPL","Closed","Female","Eastern","RENTED",41.965,"Three Full Years",3,0,4,1,0,"1",1,2015,1,27,2017,1,27," Card II TYPE",1648,289,8655,1,4334,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-667
"5409","VALID","PRR","Open","Male","Northern","RENTED",40.02333333,"Three Full Years",4,0,1,0,1,"3",1,2014,8,2,2016,8,2," Card II TYPE",2860,653,4026,666,4925,0,7,"3",7,"3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,-487
"5906","VALID","CHC","Open","Male","Western","BOUGHT",49,"Three Full Years",6,10,21,0,0,"3",0,2014,9,24,2016,9,24," Card II TYPE",1649,882,8202,1,4286,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,-539
"2874","VALID","PWR","Open","Male","Eastern","RENTED",32,"Three Full Years",4,19,4,0,2,"3",1,2013,7,25,2015,7,25," Card II TYPE",2948,683,5169,335,4524,0,19,"3",19,"3",0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,615,-115
"1462","VALID","PWR","Open","Male","Eastern","RENTED",49,"Three Full Years",10,5,21,0,0,"3",0,2012,9,11,2015,3,11," Card I TYPE",2593,882,2687,1,881,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,19
"9569","VALID","CHC","Open","Male","Eastern","RENTED",67,"Three Full Years",7,14,22,0,0,"3",0,2014,5,7,2016,4,11," Card II TYPE",1672,882,4034,1097,182,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,-376
"8965","VALID","PWP","Open","Male","Northern","RENTED",57,"Three Full Years",4,0,12,0,0,"3",0,2012,3,10,2015,3,28," Card II TYPE",2385,882,5535,1,1988,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,2
"6862","VALID","PPL","Open","Female","Northern","RENTED",46.0075,"Three Full Years",3,0,2,0,2,"3",0,2015,1,17,2017,1,17," Card II TYPE",1115,882,1629,1,1648,0,49,"3",49,"3",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,-657
"7902","VALID","PWR","Open","Male","Eastern","RENTED",39,"Three Full Years",6,0,17,1,1,"3",0,2011,11,20,2015,3,28," Card II TYPE",2082,882,2359,1042,4965,0,29,"3",29,"3",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,2
"245","VALID","MXX","Open","Male","Eastern","BOUGHT",46.63166667,"Three Full Years",4,0,7,0,0,"3",1,2012,1,26,2015,4,3," Card II TYPE",175,815,5331,1,2940,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,-3
"4745","VALID","PPL","Open","Female","Eastern","RENTED",46,"Three Full Years",5,0,22,0,3,"3",0,2014,5,15,2016,5,15," Card II TYPE",1629,882,4546,736,3517,0,59,"3",59,"3",3,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,320,-410
"7532","VALID","PPL","Open","Male","Southern","RENTED",43.347,"Three Full Years",4,0,1,0,0,"1",0,2015,3,31,2017,3,31," Card II TYPE",1648,882,8439,1,4864,0,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-731
"2149","VALID","CHC","Open","Male","Eastern","RENTED",43.97666667,"Three Full Years",1,0,7,0,2,"2",3,2013,2,21,2015,3,21," Card II TYPE",2319,429,6974,1104,2126,0,32,"3",32,"3",2,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,769,9
"3159","VALID","PPL","Open","Male","Northern","RENTED",56,"Three Full Years",3,20,7,0,2,"1",2,2013,9,11,2015,9,11,"Paper based/Post",2165,427,3936,1,2286,0,18,"3",18,"3",2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,569,-161
"2300","VALID","PRR","Open","Male","Northern","RENTED",34,"Three Full Years",8,0,4,0,1,"3",0,2013,3,17,2015,3,17," Card II TYPE",42,882,3498,690,3792,0,15,"3",15,"3",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,743,13
"1418","VALID","PWR","Open","Female","Eastern","RENTED",56.43666667,"Three Full Years",6,0,22,0,0,"3",0,2012,8,24,2015,3,24," Card II TYPE",2628,882,789,1,5164,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,6
"4115","INVALID","CNN","Open","Female","Northern","RENTED",44.24154545,"Three Full Years",1,0,7,0,0,"3",0,2014,2,9,2016,2,9," Card II TYPE",1940,882,4317,830,3047,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,-314
"4106","VALID","KLA","Open","Female","Eastern","RENTED",20,"Three Full Years",4,0,7,1,0,"3",0,2014,2,7,2016,2,7," Card II TYPE",931,882,6963,878,442,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,-312
"3661","VALID","PWR","Open","Male","Eastern","RENTED",38,"Three Full Years",4,0,21,0,0,"3",0,2013,12,8,2015,12,8," Card II TYPE",465,882,4396,1,1589,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,-248
"1513","VALID","CNN","Open","Male","Eastern","RENTED",51,"Three Full Years",3,6,22,0,0,"3",0,2012,9,13,2015,3,13," Card II TYPE",2159,882,7691,705,1827,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,17
"1378","VALID","POP","Open","Male","Northern","RENTED",40.85333333,"Three Full Years",4,0,7,1,0,"None",1,2012,8,12,2015,3,18,"None",3331,154,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,12
"2312","VALID","PPL","Open","Male","Northern","RENTED",31,"Three Full Years",5,0,17,0,4,"2",0,2013,3,31,2015,3,31," Card II TYPE",151,882,1097,1,3848,0,36,"3",36,"3",2,2,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,729,-1
"4622","VALID","PRM","Open","Female","Eastern","RENTED",23,"Three Full Years",2,0,12,0,0,"2",0,2014,5,2,2016,5,2," Card II TYPE",2956,882,3504,910,4332,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,-397
"2638","VALID","PPL","Closed","Male","Eastern","RENTED",46.15,"Three Full Years",6,0,4,0,0,"None",0,2013,6,11,2015,6,26,"None",3331,882,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,-86
"8508","VALID","PWR","Open","Male","Western","RENTED",48.43535714,"Three Full Years",3,0,7,0,0,"3",0,2012,1,16,2015,3,29," Card II TYPE",1955,882,1318,1,1471,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,1
"455","VALID","CHC","Open","Male","Northern","RENTED",26,"Three Full Years",6,0,12,0,0,"3",0,2014,8,17,2015,3,6," Card II TYPE",1547,882,2570,967,1096,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,24
"4385","VALID","KLA","Open","Male","Western","RENTED",48,"Three Full Years",5,0,7,0,0,"2",1,2014,4,2,2016,4,2," Card II TYPE",3236,756,5786,375,6348,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,-367
"7921","VALID","PPL","Open","Female","Northern","RENTED",61,"Three Full Years",3,0,12,0,0,"3",0,2013,12,18,2016,3,8," Card I TYPE",2331,882,1278,1,4033,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,-343
"1209","VALID","PPL","Open","Male","Eastern","RENTED",32,"Three Full Years",4,20,4,1,2,"3",0,2012,6,29,2015,3,29," Card II TYPE",3228,882,7583,702,4649,0,34,"3",34,"3",1,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1006,1
"5561","VALID","PPL","Closed","Male","Western","RENTED",41.955,"Three Full Years",3,0,1,0,0,"1",1,2014,8,16,2016,8,16," Card II TYPE",1991,373,145,560,2049,0,0,"2",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,-501
"2047","VALID","CNN","Open","Male","Northern","BOUGHT",61,"Three Full Years",4,7,7,0,0,"3",0,2013,1,15,2015,3,15," Card II TYPE",2095,882,5620,1,6418,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,15
"1264","VALID","PRP","Open","Male","Northern","RENTED",34,"Three Full Years",3,0,7,0,0,"3",0,2012,7,18,2015,3,18," Card II TYPE",320,882,6525,340,2547,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,12
"7465","VALID","PPL","Open","Female","Eastern","RENTED",67,"Three Full Years",4,0,21,0,0,"None",0,2015,3,12,2017,3,12,"None",3331,882,8416,1,5715,1,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-712
"8869","VALID","KLA","Open","Male","Western","BOUGHT",47,"Three Full Years",4,0,21,0,0,"3",0,2012,9,1,2015,3,6," Card II TYPE",90,882,4467,1097,6664,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,24
"3710","VALID","PRM","Closed","Male","Eastern","RENTED",44,"Three Full Years",5,0,17,0,0,"None",0,2013,12,14,2016,3,14,"None",3331,882,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,-349
"6589","VALID","PPL","Open","Male","Northern","RENTED",65,"Three Full Years",3,6,22,0,0,"3",0,2014,12,12,2016,12,12," Card II TYPE",2576,882,2756,1,1154,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,-617
"940","VALID","PWR","Open","Male","Eastern","RENTED",66,"Three Full Years",3,14,7,0,0,"3",0,2012,3,10,2015,3,10," Card II TYPE",2472,882,7388,1,57,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,20
"3803","VALID","MXX","Closed","Female","Northern","RENTED",44.73916667,"Three Full Years",3,0,1,0,1,"2",1,2013,12,31,2015,12,31," Card II TYPE",1148,132,384,283,2665,0,44,"2",44,"2",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,459,-271
"2718","VALID","PWR","Open","Male","Eastern","RENTED",47.05785714,"Three Full Years",3,0,7,0,3,"3",0,2013,6,15,2015,12,15," Card II TYPE",473,882,8906,1115,6722,0,29,"none",29,"none",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,655,-255
"8067","VALID","PWR","Open","Male","Eastern","BOUGHT",52,"Three Full Years",8,5,22,0,0,"3",0,2012,2,27,2015,3,13," Card I TYPE",1649,882,5376,1,622,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,17
"4441","VALID","PRR","Open","Female","Eastern","RENTED",47,"Three Full Years",5,0,7,0,0,"3",0,2014,4,6,2016,4,6," Card II TYPE",403,882,3985,2,3772,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,-371
"8020","VALID","PWR","Open","Male","Eastern","RENTED",61,"Three Full Years",8,0,22,0,2,"3",0,2012,3,27,2015,3,12," Card II TYPE",1934,882,857,1,282,0,77,"3",77,"3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1098,18
"8042","VALID","PWR","Open","Female","Western","BOUGHT",51,"Three Full Years",4,0,17,0,0,"3",0,2012,9,21,2015,3,28," Card II TYPE",1873,882,1349,1,1731,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,2
"7863","VALID","PWR","Open","Female","Northern","RENTED",56,"Three Full Years",3,0,17,0,0,"3",0,2012,1,17,2015,3,28," Card II TYPE",1959,882,6659,1,1396,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,2
"4354","VALID","PRP","Open","Female","Northern","RENTED",43,"Three Full Years",4,0,7,0,0,"3",0,2014,3,21,2016,3,21," Card II TYPE",1952,882,4124,1,2652,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,-356
"7467","VALID","PPL","Open","Male","Southern","RENTED",49.86,"Three Full Years",6,0,21,0,0,"1",0,2015,3,11,2017,3,11," Card II TYPE",1648,882,8402,1,271,0,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-711
"6227","VALID","MXX","Open","Female","Northern","RENTED",87,"Three Full Years",5,0,12,0,0,"3",0,2014,10,29,2016,10,29," Card II TYPE",1126,882,8083,1,4478,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,-574
"7027","VALID","KLA","Open","Male","Eastern","RENTED",48.80083333,"Three Full Years",6,0,21,0,2,"3",0,2015,1,24,2017,1,24," Card II TYPE",3270,882,573,595,2164,0,63,"3",63,"3",0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,66,-664
"7","VALID","KLA","Open","Male","Eastern","BOUGHT",46.79,"Three Full Years",1,0,7,0,0,"3",0,2012,7,5,2015,4,3," Card I TYPE",2807,882,32,1,2645,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-3
"4702","VALID","KLA","Open","Male","Northern","RENTED",53,"Three Full Years",4,0,17,0,0,"3",0,2014,5,9,2016,5,9," Card II TYPE",3231,882,4975,1,3896,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,-404
"2178","VALID","PPL","Open","Male","Eastern","RENTED",52,"Three Full Years",2,0,12,0,1,"3",0,2013,2,17,2015,3,19," Card II TYPE",1812,882,5089,554,2787,0,59,"3",59,"3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,773,11
"3757","VALID","PWR","Open","Male","Eastern","RENTED",42.28607143,"Three Full Years",9,0,2,0,0,"3",0,2013,12,19,2015,12,19," Card II TYPE",2519,882,4020,1,1915,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,-259
"6060","VALID","PRM","Open","Male","Northern","RENTED",54,"Three Full Years",3,0,7,0,0,"3",0,2014,10,9,2016,10,9," Card II TYPE",2388,882,6099,924,4362,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,-554
"3479","VALID","PWR","Open","Male","Eastern","RENTED",46.121,"Three Full Years",5,0,12,0,2,"3",0,2013,11,5,2015,11,5," Card II TYPE",1941,882,6310,815,6638,0,75,"3",75,"3",2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,515,-215
"1099","VALID","PWR","Open","Male","Northern","RENTED",77,"Three Full Years",4,0,22,0,0,"3",0,2012,5,22,2015,3,22," Card II TYPE",2649,882,2548,1,5922,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,8
"2409","VALID","MXX","Open","Male","Northern","RENTED",37,"Three Full Years",6,0,17,0,1,"3",0,2013,4,7,2015,4,7," Card II TYPE",2287,882,2575,704,5336,0,62,"3",62,"3",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,723,-7
"6604","VALID","KLA","Open","Male","Western","RENTED",42,"Three Full Years",9,0,12,0,5,"3",0,2014,12,10,2016,12,10," Card II TYPE",199,882,6118,714,95,0,14,"3",14,"3",0,5,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115,-615
"4129","VALID","CHC","Open","Male","Northern","RENTED",32,"Three Full Years",6,18,17,0,0,"2",0,2014,2,11,2016,2,11,"Paper based/Post",487,882,6090,1089,5835,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,-316
"7790","VALID","PWR","Open","Female","Western","BOUGHT",64,"Three Full Years",1,0,17,0,0,"3",0,2013,10,11,2015,10,8," Card II TYPE",1873,882,8878,1,833,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,-188
"1017","VALID","PRR","Open","Female","Eastern","RENTED",50,"Three Full Years",3,8,22,0,0,"3",0,2012,4,7,2015,3,7," Card II TYPE",3237,882,7216,288,3805,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,23
"4298","INVALID","CHC","Open","Male","Northern","RENTED",47,"Three Full Years",4,0,7,1,0,"None",0,2014,3,9,2016,8,9,"None",3331,882,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,-494
"9732","VALID","PWP","Open","Female","Northern","RENTED",53,"Three Full Years",3,0,22,0,0,"2",0,2012,6,2,2015,3,31," Card II TYPE",2753,882,6312,1,2123,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,-1
"8823","VALID","PWR","Open","Female","Eastern","RENTED",59,"Three Full Years",4,14,12,1,0,"3",0,2013,8,30,2015,8,29," Card II TYPE",2769,882,7339,1,6299,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,-149
"8757","VALID","POP","Open","Female","Eastern","BOUGHT",57,"Three Full Years",5,0,17,0,0,"3",0,2013,10,18,2016,4,5," Card II TYPE",2807,882,4818,1,6245,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,-370
"1729","VALID","PRM","Open","Male","Eastern","RENTED",48,"Three Full Years",4,0,22,0,0,"3",0,2012,11,16,2015,3,16," Card II TYPE",1781,882,6290,303,2644,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,14
"1291","VALID","PWM","Open","Male","Eastern","BOUGHT",28,"Three Full Years",4,0,4,0,0,"3",0,2012,7,25,2015,3,25," Card II TYPE",410,882,7037,1,5413,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,5
