,Unnamed: 0,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport.ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems.EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention,CommenceDays,Warrentydays
52,53,VALID,PRP,Open,Male,Northern,RENTED,40.0,Three Full Years,4,0,12,0,None,0,2014,6,17,2016,7,8,None,2035,457,2750,1,4228,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,-463
53,54,VALID,PPL,Open,Male,Eastern,RENTED,63.0,Three Full Years,1,6,17,2,None,0,2013,9,7,2015,8,28,None,2035,457,1396,1,916,1,-116,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,-148
54,55,VALID,PWR,Open,Female,Northern,RENTED,76.0,Three Full Years,3,14,21,0,None,0,2012,5,12,2015,7,26,None,2035,457,2178,1,871,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,-116
55,56,VALID,KLA,Open,Female,Eastern,RENTED,60.0,Three Full Years,6,0,21,0,None,0,2013,5,6,2015,8,2,None,2035,457,2847,338,3635,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,-122
56,57,VALID,PMM,Open,Female,Eastern,BOUGHT,56.0,Three Full Years,8,5,17,0,None,0,2014,5,16,2016,7,9,None,2035,457,1772,691,1326,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,-464
57,58,VALID,KLA,Open,Male,Western,RENTED,64.0,Three Full Years,8,0,22,1,None,0,2012,3,3,2015,7,8,None,2035,457,3227,17,4044,1,-68,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,-98
58,59,VALID,POP,Open,Female,Western,RENTED,60.0,Three Full Years,7,0,22,0,3,0,2011,11,29,2015,7,20, Card II TYPE,1972,457,2453,1,2782,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,-110
59,60,VALID,KLA,Open,Male,Western,BOUGHT,47.4618333333,Three Full Years,5,0,17,0,None,0,2014,12,17,2016,12,1,None,2035,457,2418,507,3824,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,-606
60,61,VALID,POP,Open,Female,Northern,RENTED,64.0,Three Full Years,4,0,12,0,None,0,2011,10,28,2015,7,9,None,2035,457,318,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,-99
61,62,VALID,PRR,Open,Male,Eastern,RENTED,51.0,Three Full Years,7,6,17,0,None,0,2014,9,24,2016,9,13,None,2035,457,2377,1,2020,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,-528
62,63,VALID,PWR,Open,Male,Eastern,RENTED,62.0,Three Full Years,3,0,12,0,None,0,2013,8,6,2015,7,31,None,2035,457,21,1,1455,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,-121
63,64,VALID,PWM,Open,Female,Eastern,RENTED,55.0,Three Full Years,2,5,22,0,None,0,2012,6,27,2015,8,3,None,2035,457,3569,1,1571,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,-123
64,65,VALID,PWR,Open,Male,Western,RENTED,75.0,Three Full Years,8,5,22,0,None,0,2012,12,18,2015,7,28,None,2035,457,2584,1,236,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,-118
65,66,VALID,PRP,Open,Male,Eastern,RENTED,55.0,Three Full Years,4,8,22,0,None,0,2012,6,6,2015,7,31,None,2035,457,2738,312,2219,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,-121
66,67,VALID,PWR,Open,Male,Eastern,RENTED,54.4863333333,Three Full Years,5,0,22,1,None,0,2013,6,13,2015,7,10,None,2035,457,3196,1,689,1,-88,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,657,-100
67,68,VALID,POP,Open,Male,Northern,RENTED,52.0,Three Full Years,3,0,12,0,None,0,2013,12,4,2016,7,9,None,2035,457,1030,1,3093,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,-464
68,69,VALID,PRR,Open,Male,Western,RENTED,58.0,Three Full Years,7,0,12,0,None,0,2013,4,25,2015,7,21,None,2035,457,4180,391,3693,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,-111
69,70,VALID,PPL,Open,Male,Northern,BOUGHT,56.0,Three Full Years,3,0,22,0,3,0,2014,7,29,2016,8,4, Card II TYPE,913,457,2033,1,1302,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,-489
70,71,VALID,PPL,Open,Male,Northern,BOUGHT,26.0,Three Full Years,6,0,7,0,3,0,2012,10,9,2015,8,4, Card II TYPE,1085,457,1668,1,3647,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,-124
71,72,VALID,PRP,Open,Male,Eastern,BOUGHT,46.3609848485,Three Full Years,4,0,1,0,None,0,2012,2,21,2015,7,14,None,2035,457,2296,485,2677,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,-104
72,73,INVALID,PWR,Open,Female,Northern,RENTED,62.0,Three Full Years,4,0,7,0,None,0,2011,10,12,2015,7,16,None,2035,457,3899,1,2872,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,-106
73,74,VALID,PWM,Open,Male,Eastern,BOUGHT,53.0,Three Full Years,13,6,22,2,None,1,2011,12,31,2015,8,3,None,2035,415,4083,1,1609,1,-104,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1189,-123
74,75,VALID,PWR,Open,Male,Eastern,RENTED,20.0,Three Full Years,4,0,17,0,None,0,2012,1,23,2015,7,26,None,2035,457,2857,666,3188,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,-116
75,76,VALID,PWR,Open,Male,Northern,RENTED,69.0,Three Full Years,5,0,17,0,3,0,2012,5,3,2015,7,17, Card I TYPE,1832,457,3953,1,905,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,-107
76,77,VALID,PMM,Open,Female,Eastern,RENTED,43.0,Full Year,4,0,17,0,None,0,2014,4,21,2015,7,18,None,2035,457,3361,1,678,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,-108
77,78,INVALID,CNN,Open,Female,Eastern,RENTED,35.0,Three Full Years,3,0,7,0,None,0,2012,10,11,2015,7,23,None,2035,457,2257,616,1449,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,-113
78,79,VALID,PRP,Open,Male,Western,RENTED,58.0,Three Full Years,4,14,21,4,None,1,2012,11,20,2015,7,17,None,2035,57,3714,1,2165,1,-67,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,865,-107
79,80,VALID,POP,Open,Female,Northern,RENTED,59.0,Three Full Years,1,0,21,1,None,0,2013,1,23,2015,7,16,None,2035,457,2059,1,3003,1,-34,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,-106
80,81,VALID,PWR,Open,Female,Eastern,RENTED,62.0,Three Full Years,4,9,7,0,None,0,2013,1,25,2015,8,4,None,2035,457,2591,622,2431,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,-124
81,82,VALID,PWR,Open,Male,Western,BOUGHT,49.1890866193,Three Full Years,3,0,7,0,3,0,2013,2,27,2015,7,8, Card II TYPE,1178,457,4280,1,1801,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,-98
82,83,VALID,CNN,Open,Male,Eastern,RENTED,65.0,Three Full Years,7,0,22,1,None,0,2013,4,24,2015,7,22,None,2035,457,903,229,1125,1,-93,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,-112
83,84,VALID,PWM,Open,Female,Eastern,RENTED,41.0,Three Full Years,5,0,22,0,None,0,2013,4,24,2015,7,28,None,2035,457,2671,1,2933,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,-118
84,85,VALID,POP,Open,Female,Eastern,RENTED,44.0,Three Full Years,3,0,7,0,None,0,2013,8,6,2015,8,26,None,2035,457,1371,1,1035,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,-146
85,86,VALID,PWM,Open,Male,Western,RENTED,37.0,Three Full Years,4,0,17,0,None,0,2013,9,4,2015,9,14,None,2035,457,1286,1,3319,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,-164
86,87,VALID,POP,Open,Male,Northern,RENTED,36.0,Three Full Years,4,20,17,0,None,0,2013,9,16,2015,9,19,None,2035,457,3552,1,1119,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,-169
87,88,VALID,CNN,Open,Male,Eastern,RENTED,55.2103333333,Three Full Years,3,0,21,0,None,0,2013,10,3,2015,10,12,None,2035,457,525,1,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,-192
88,89,VALID,PWR,Open,Male,Northern,RENTED,50.0,Three Full Years,6,9,21,0,None,0,2013,11,26,2016,5,20,None,2035,457,396,1,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,-415
89,90,VALID,CHC,Open,Male,Northern,RENTED,78.0,Three Full Years,3,14,21,0,None,0,2014,1,23,2016,1,30,None,2035,457,682,261,127,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,-305
90,91,VALID,PPL,Open,Male,Eastern,RENTED,16.0,Three Full Years,5,0,2,1,None,0,2014,1,31,2016,2,17,None,2035,457,2233,746,2674,1,-116,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,424,-322
91,92,VALID,PRR,Open,Female,Northern,RENTED,59.0,Three Full Years,8,5,17,0,3,0,2014,2,9,2016,2,20,Paper based/Post,729,457,3202,242,2665,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,-325
92,93,VALID,ESS,Open,Male,Eastern,RENTED,61.0,Three Full Years,7,14,22,2,2,0,2014,2,5,2016,3,2, Card II TYPE,819,457,1893,1,3618,0,-47,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,420,-337
93,94,VALID,PPL,Open,Male,Northern,RENTED,49.4035,Three Full Years,3,0,12,2,None,0,2014,2,19,2016,3,20,None,2035,457,979,1,224,1,-87,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,406,-355
94,95,INVALID,PPL,Closed,Female,Eastern,RENTED,68.0,Three Full Years,6,0,22,1,None,2,2014,3,21,2016,7,21,None,2035,136,109,1,1,1,-69,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,374,-476
95,96,VALID,CHC,Open,Male,Eastern,RENTED,56.0,Three Full Years,1,5,22,0,None,0,2014,3,20,2016,4,2,None,2035,457,953,1,3956,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,-367
96,97,VALID,PMM,Open,Male,Northern,RENTED,52.4654166667,Three Full Years,4,0,22,2,None,0,2014,4,16,2016,4,19,None,2035,457,2987,67,3573,1,-83,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,349,-384
97,98,INVALID,KLA,Open,Male,Eastern,RENTED,48.6665151515,Three Full Years,3,0,12,1,None,0,2014,4,30,2016,5,23,None,2035,457,2794,922,950,1,-66,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,335,-418
98,99,VALID,PMM,Open,Male,Western,RENTED,52.8458974359,Three Full Years,5,0,22,0,None,0,2014,5,10,2016,5,27,None,2035,457,1976,1,3697,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,-422
