,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,Closetdefaultdate,defaultsum,Hours,Posthours,daraGB,YYYYMM
10,M11,2011-11-01 0:00:00,VALID,KLA,Open,Male,Northern,RENTED,44,Three Full Years,4,0,21,2015-03-23 0:00:00,0,0,0,3,0,2011,11,1,2011,11,1, Card II TYPE,1489.425,None,None,1937.32,911,1318.25,604506
11,M12,2012-08-01 0:00:00,VALID,POP,Open,Female,Northern,RENTED,63,Three Full Years,7,5,22,2015-04-03 0:00:00,0,0,0,3,0,2012,8,1,2012,8,1, Card II TYPE,963.06,None,None,2030.42,0,296.9,604506
12,M13,2013-12-17 0:00:00,VALID,PRP,Open,Male,Eastern,RENTED,60,Three Full Years,7,6,22,2016-04-03 0:00:00,0,0,4,3,0,2013,12,17,2013,12,17, Card II TYPE,953.19,None,None,2182.65,198,412.85,604506
13,M14,2011-10-05 0:00:00,VALID,POP,Open,Male,Northern,RENTED,46,Three Full Years,9,0,22,2015-04-03 0:00:00,0,0,0,3,0,2011,10,5,2011,10,5, Card II TYPE,963.585,None,None,2173.06,0,223.7,604506
14,M15,2012-06-08 0:00:00,VALID,PWR,Open,Female,Eastern,BOUGHT,60,Three Full Years,7,10,22,2015-03-16 0:00:00,0,0,3,3,0,2012,6,8,2012,6,8,Paper based/Post,682.395,None,None,1787.14,0,45.2,604506
15,M16,2011-11-22 0:00:00,VALID,POP,Open,Male,Northern,RENTED,64,Three Full Years,7,18,17,2015-03-06 0:00:00,0,0,0,3,0,2011,11,22,2011,11,22, Card I TYPE,951.3,None,None,1934.03,0,418.4,604506
16,M17,2011-12-12 0:00:00,VALID,KLA,Open,Male,Eastern,RENTED,38,Three Full Years,6,5,17,2015-03-12 0:00:00,0,0,4,3,0,2011,12,12,2011,12,12, Card II TYPE,1022.175,None,None,1998.32,212,1008.45,604506
17,M18,2012-04-19 0:00:00,VALID,PWR,Open,Male,Eastern,RENTED,72,Three Full Years,4,0,22,2015-03-12 0:00:00,0,0,2,3,0,2012,4,19,2012,4,19, Card II TYPE,645.225,None,None,2148.21,6,222.5,604506
18,M19,2011-10-20 0:00:00,VALID,PWR,Open,Male,Northern,RENTED,59,Three Full Years,3,8,22,2015-03-13 0:00:00,0,0,0,3,0,2011,10,20,2011,10,20, Card II TYPE,668.64,None,None,1785.93,0,109.2,604506
19,M20,2013-01-17 0:00:00,VALID,PWR,Open,Male,Western,RENTED,45,,3,0,4,,0,0,0,3,0,2013,1,17,,,, Card II TYPE,751.695,None,None,2059.84,0,91.35,604506
20,M21,2012-12-01 0:00:00,VALID,PWR,Open,Male,Southern,BOUGHT,52,,7,0,21,,0,0,0,3,0,2012,12,1,,,, Card II TYPE,629.895,None,None,2084.48,0,26.4,604506
21,M22,2012-07-03 0:00:00,VALID,PRR,Open,Male,Western,BOUGHT,61,Three Full Years,6,0,22,2015-03-24 0:00:00,0,0,1,2,0,2012,7,3,2012,7,3, Card II TYPE,346.92,None,None,2179.39,423,633.55,604506
22,M23,2011-10-26 0:00:00,VALID,PWR,Open,Female,Eastern,RENTED,68,Three Full Years,4,14,21,2015-03-25 0:00:00,0,0,0,3,0,2011,10,26,2011,10,26, Card I TYPE,682.29,None,None,1874.68,0,166.6,604506
23,M24,2012-06-09 0:00:00,VALID,PWM,Open,Male,Eastern,BOUGHT,48,Three Full Years,9,6,21,2015-03-17 0:00:00,0,0,0,3,0,2012,6,9,2012,6,9, Card II TYPE,1049.895,None,None,2062.87,0,671.65,604506
24,M25,2011-10-11 0:00:00,VALID,MXX,Open,Male,Western,RENTED,60,Three Full Years,7,5,22,2015-03-19 0:00:00,0,0,1,3,0,2011,10,11,2011,10,11, Card I TYPE,2347.695,None,None,2158.45,0,962.5,604506
25,M26,2013-08-02 0:00:00,VALID,CNN,Open,,Northern,BOUGHT,,Full Year Plus 3 Months,,,,2015-03-08 0:00:00,0,0,0,3,0,2013,8,2,2013,8,2, Card II TYPE,546.525,None,None,1586.39,0,7.45,604506
26,M27,2012-02-11 0:00:00,VALID,PWP,Open,Female,Western,RENTED,41,Three Full Years,8,0,21,2015-03-07 0:00:00,0,0,1,3,0,2012,2,11,2012,2,11, Card II TYPE,742.665,None,None,2044.32,0,90.8,604506
27,M28,,,CHC,Open,Female,Northern,Unknown,54,,7,8,17,,0,0,0,None,0,,,,,,,None,None,None,None,None,None,None,None
28,M29,,,CHC,Open,Male,Northern,Unknown,46,,5,0,22,,0,0,0,None,0,,,,,,,None,None,None,None,None,None,None,None
29,M30,2014-08-26 0:00:00,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,None,0,2014,8,26,,,,None,None,None,None,1817.7,0,248.15,604506
30,M31,2014-08-28 0:00:00,,CHC,Open,,Eastern,Second Hand,,,,,,,0,0,0,None,0,2014,8,28,,,,None,None,None,None,1602.2,0,223.65,604506
31,M32,2014-08-26 0:00:00,,CHC,Open,Female,Northern,Second Hand,45,,4,0,17,,0,0,0,None,0,2014,8,26,,,,None,None,None,None,1822.21,0,491.3,604506
32,M33,2014-08-26 0:00:00,,CHC,Open,Male,Northern,Second Hand,57,,5,0,12,,0,0,0,None,0,2014,8,26,,,,None,None,None,None,2088.49,587,278.8,604506
33,M34,2014-08-25 0:00:00,,CHC,Open,Female,Northern,Second Hand,53,,3,0,17,,0,0,0,None,0,2014,8,25,,,,None,None,None,None,1722.7,604,247.1,604506
34,M35,2014-08-28 0:00:00,,CHC,Open,Female,Eastern,Second Hand,49,,1,0,21,,0,0,0,None,0,2014,8,28,,,,None,None,None,None,1874.23,0,177.95,604506
35,M36,2014-08-27 0:00:00,,CHC,Open,Female,Western,Second Hand,69,,6,0,7,,0,0,0,None,0,2014,8,27,,,,None,None,None,None,2075.65,341,806.45,604506
36,M37,2014-08-28 0:00:00,,CHC,Open,,Western,Second Hand,,,,,,,0,0,0,None,0,2014,8,28,,,,None,None,None,None,2012.52,0,259.6,604506
37,M38,2014-08-28 0:00:00,,CHC,Open,Male,Western,Second Hand,44,,6,0,7,,0,0,0,None,0,2014,8,28,,,,None,None,None,None,2016.17,320,811.9,604506
38,M39,2014-09-21 0:00:00,,CHC,Open,Male,Eastern,Second Hand,25,,4,0,1,,0,0,0,None,0,2014,9,21,,,,None,None,None,None,1762.67,0,58.65,604506
39,M40,2014-09-21 0:00:00,,CHC,Open,Female,Northern,Second Hand,60,,2,0,17,,0,0,0,None,0,2014,9,21,,,,None,None,None,None,1836.57,0,24.2,604506
40,M41,2014-09-21 0:00:00,,CHC,Open,Male,Northern,Second Hand,56,,5,10,17,,0,0,0,None,0,2014,9,21,,,,None,None,None,None,1880.77,528,401.8,604506
41,M42,2014-09-21 0:00:00,,CHC,Open,Female,Eastern,Second Hand,78,,2,0,12,,0,0,0,None,0,2014,9,21,,,,None,None,None,None,989.38,0,96.4,604506
42,M43,2014-09-21 0:00:00,,CHC,Open,Female,Eastern,Second Hand,51,,4,0,22,,0,0,0,None,0,2014,9,21,,,,None,None,None,None,805.35,0,0,403003
43,M44,2015-01-12 0:00:00,,CHC,Open,,Eastern,Second Hand,,,,,,,0,0,0,None,0,2015,1,12,,,,None,None,None,None,1719.2,0,17.95,604506
44,M45,2015-01-12 0:00:00,,CHC,Open,Male,Western,Second Hand,42,,7,0,17,,0,0,0,None,0,2015,1,12,,,,None,None,None,None,1776.98,0,247.8,604506
45,M46,2015-01-12 0:00:00,,CHC,Open,Female,Eastern,Second Hand,61,,3,5,1,,0,0,0,None,0,2015,1,12,,,,None,None,None,None,1803.23,0,253.55,604506
46,M47,2015-03-13 0:00:00,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,None,0,2015,3,13,,,,None,None,None,None,403.63,0,47.55,201503
47,M48,2015-03-13 0:00:00,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,None,0,2015,3,13,,,,None,None,None,None,429.98,0,81.25,201503
48,M49,2015-03-13 0:00:00,,CHC,Open,Female,Eastern,Second Hand,59,,4,0,12,,0,0,0,None,0,2015,3,13,,,,None,None,None,None,489.28,0,286.65,201503
49,M50,2012-06-06 0:00:00,VALID,PWR,Open,Female,Western,BOUGHT,74,Three Full Years,7,13,21,2015-03-21 0:00:00,0,0,0,3,0,2012,6,6,2012,6,6, Card II TYPE,524.895,None,None,2018.67,525,390.7,604506
50,M51,2012-10-11 0:00:00,VALID,PRM,Open,Male,Eastern,RENTED,53,Three Full Years,7,0,22,2015-03-27 0:00:00,0,0,0,3,0,2012,10,11,2012,10,11, Card I TYPE,748.23,None,None,2121.68,105,238.65,604506
51,M52,2012-04-04 0:00:00,VALID,PWR,Open,Female,Eastern,RENTED,71,Three Full Years,5,0,17,2015-03-29 0:00:00,2015-05-30 0:00:00,1,0,3,0,2012,4,4,2012,4,4, Card II TYPE,720.09,None,None,2147.19,0,38.15,604506
52,M53,2013-08-31 0:00:00,VALID,PWR,Open,Male,Eastern,BOUGHT,59,Three Full Years,8,5,17,2015-08-17 0:00:00,0,0,0,3,0,2013,8,31,2013,8,31, Card II TYPE,629.895,None,None,2093.69,0,202.4,604506
53,M54,2011-12-07 0:00:00,VALID,PRP,Open,Male,Northern,RENTED,64,Three Full Years,4,0,22,2015-03-21 0:00:00,0,0,2,3,0,2011,12,7,2011,12,7,Paper based/Post,1062.075,None,None,700.61,160,507.55,604506
54,M55,2012-10-02 0:00:00,VALID,KLA,Open,Male,Northern,RENTED,65,Three Full Years,5,0,12,2015-03-26 0:00:00,0,0,1,3,0,2012,10,2,2012,10,2, Card II TYPE,1068.375,None,None,2045.94,0,92.6,604506
55,M56,2012-01-13 0:00:00,VALID,POP,Open,Female,Eastern,RENTED,55,Three Full Years,6,6,17,2016-03-11 0:00:00,0,0,0,3,0,2012,1,13,2012,1,13, Card II TYPE,958.965,None,None,1960.32,288,493.2,604506
56,M57,2012-12-14 0:00:00,VALID,PRP,Open,Male,Western,BOUGHT,77,Three Full Years,7,0,17,2015-03-25 0:00:00,0,0,0,3,0,2012,12,14,2012,12,14, Card II TYPE,629.895,None,None,1944.92,308,517.95,604506
57,M58,2012-08-31 0:00:00,VALID,PWR,Open,Male,Eastern,BOUGHT,41,Three Full Years,6,0,17,2015-03-15 0:00:00,0,0,0,3,0,2012,8,31,2012,8,31, Card II TYPE,629.895,None,None,1614.13,0,234.3,604506
58,M59,2011-11-30 0:00:00,VALID,POP,Open,Male,Eastern,RENTED,64,Three Full Years,5,0,22,2015-04-04 0:00:00,0,0,0,3,0,2011,11,30,2011,11,30, Card II TYPE,960.54,None,None,1989.21,0,311.05,604506
59,M60,2014-04-02 0:00:00,VALID,PRM,Open,Male,Eastern,BOUGHT,49,Full Year Plus 3 Months,8,6,22,2015-06-27 0:00:00,0,0,0,3,0,2014,4,2,2014,4,2, Card II TYPE,524.895,None,None,2089.82,0,152.85,604506
60,M61,2013-05-30 0:00:00,VALID,CNN,Open,Male,Eastern,RENTED,63,Three Full Years,4,0,12,2015-05-03 0:00:00,0,0,0,3,0,2013,5,30,2013,5,30,Paper based/Post,643.23,None,None,1693.42,0,0.15,604506
61,M62,2011-10-31 0:00:00,VALID,PWM,Open,Male,Eastern,RENTED,54,Three Full Years,6,0,17,2015-03-17 0:00:00,0,0,0,3,0,2011,10,31,2011,10,31, Card II TYPE,1169.385,None,None,2182.43,0,124.95,604506
62,M63,2012-06-01 0:00:00,VALID,PPL,Open,Female,Eastern,RENTED,50,Three Full Years,7,5,17,2015-03-18 0:00:00,0,0,0,3,0,2012,6,1,2012,6,1, Card I TYPE,749.175,None,None,1968.34,196,246.5,604506
63,M64,2012-01-24 0:00:00,VALID,PRP,Open,Female,Western,RENTED,70,Three Full Years,4,0,12,2015-03-18 0:00:00,0,0,1,3,0,2012,1,24,2012,1,24, Card II TYPE,961.695,None,None,2075.52,0,14,604506
64,M65,2012-09-26 0:00:00,VALID,KLA,Open,Male,Eastern,BOUGHT,56,Three Full Years,7,0,21,2015-03-31 0:00:00,0,0,0,2,0,2012,9,26,2012,9,26, Card II TYPE,944.895,None,None,2090.95,0,523.8,604506
65,M66,2013-10-01 0:00:00,VALID,POP,Open,Female,Eastern,BOUGHT,54,Three Full Years,6,5,22,2015-09-17 0:00:00,0,0,0,3,0,2013,10,1,2013,10,1, Card II TYPE,839.895,None,None,2143.2,0,152.85,604506
66,M67,2012-02-06 0:00:00,VALID,KLA,Open,Female,Western,BOUGHT,80,Three Full Years,6,0,21,2015-03-18 0:00:00,0,0,0,3,0,2012,2,6,2012,2,6, Card II TYPE,944.895,None,None,1990.93,0,345.9,604506
67,M68,2015-02-07 0:00:00,VALID,PRP,Open,Male,Eastern,RENTED,34,Full Year Plus 3 Months,2,14,17,2016-05-06 0:00:00,0,0,3,3,0,2015,2,7,2015,2,7,Paper based/Post,787.395,None,None,377.42,0,208.25,403005
68,M69,2014-06-20 0:00:00,VALID,PPL,Closed,Female,Western,RENTED,55,,6,5,17,,0,0,14,1,0,2014,6,20,,,, Card II TYPE,87.99,None,None,1429.28,0,156.45,604506
69,M70,2013-10-15 0:00:00,VALID,PWM,Open,Male,Northern,RENTED,55,Three Full Years,5,0,17,2016-03-18 0:00:00,0,0,0,3,0,2013,10,15,2013,10,15, Card II TYPE,1577.94,None,None,2050.91,0,228.55,604506
70,M71,2011-11-02 0:00:00,VALID,PWR,Open,Male,Northern,RENTED,56,Three Full Years,6,0,22,2015-03-25 0:00:00,0,0,0,3,0,2011,11,2,2011,11,2,Paper based/Post,636.09,None,None,1544.59,0,0.9,604506
71,M72,2012-01-07 0:00:00,VALID,MXX,Open,Female,Eastern,BOUGHT,49,Three Full Years,6,0,21,2015-04-01 0:00:00,0,0,0,2,0,2012,1,7,2012,1,7, Card II TYPE,1364.895,None,None,2138.38,892,642.55,604506
72,M73,2012-01-19 0:00:00,VALID,PWM,Open,Male,Eastern,Second Hand,50,Three Full Years,4,0,17,2015-04-04 0:00:00,0,0,0,3,0,2012,1,19,2012,1,19, Card II TYPE,1217.895,None,None,2184.94,19,1010.65,604506
73,M74,2012-02-08 0:00:00,VALID,PWP,Open,Male,Eastern,BOUGHT,59,Three Full Years,5,0,12,2015-03-25 0:00:00,2015-05-23 0:00:00,1,0,None,0,2012,2,8,2012,2,8,None,None,None,None,1755.76,35,560.3,604506
74,M75,2011-11-03 0:00:00,VALID,MXX,Open,Male,Eastern,RENTED,61,Three Full Years,8,8,17,2015-03-23 0:00:00,0,0,1,None,0,2011,11,3,2011,11,3,None,None,None,None,2181.09,0,328.45,604506
75,M76,2011-11-08 0:00:00,VALID,PWM,Open,Male,Northern,RENTED,41,Three Full Years,4,0,21,2015-04-03 0:00:00,0,0,0,None,0,2011,11,8,2011,11,8,None,None,None,None,1893.32,0,195.45,604506
76,M77,2013-03-02 0:00:00,INVALID,PWR,Open,Female,Western,Second Hand,59,Three Full Years,6,0,22,2015-04-03 0:00:00,2015-05-01 0:00:00,1,0,None,0,2013,3,2,2013,3,2,None,None,None,None,1650.08,0,100.1,604506
77,M78,2013-07-04 0:00:00,VALID,PWM,Open,Female,Eastern,RENTED,47,Three Full Years,9,20,22,2015-07-04 0:00:00,0,0,1,None,0,2013,7,4,2013,7,4,None,None,None,None,1992.01,0,446.15,604506
78,M79,2011-11-18 0:00:00,VALID,POP,Open,Male,Southern,RENTED,47,Three Full Years,9,0,7,2015-03-15 0:00:00,0,0,0,None,0,2011,11,18,2011,11,18,None,None,None,None,None,None,None,None
79,M80,2012-01-19 0:00:00,VALID,PWM,Open,Female,Eastern,BOUGHT,51,Three Full Years,4,10,12,2015-03-29 0:00:00,2015-05-27 0:00:00,1,0,None,0,2012,1,19,2012,1,19,None,None,None,None,None,None,None,None
80,M81,2012-11-05 0:00:00,VALID,PWR,Open,Female,Eastern,BOUGHT,45,Three Full Years,3,0,21,2015-03-18 0:00:00,0,0,1,3,0,2012,11,5,2012,11,5, Card II TYPE,710.745,None,None,1999.93,249,386,604506
81,M82,2014-02-20 0:00:00,VALID,CHC,Open,Male,Northern,RENTED,58,Three Full Years,5,0,22,2016-03-11 0:00:00,0,0,0,None,0,2014,2,20,2014,2,20,None,None,None,None,1793.45,0,109.5,604506
82,M83,2013-12-18 0:00:00,VALID,PRM,Open,Female,Eastern,BOUGHT,63,Three Full Years,8,6,22,2016-03-18 0:00:00,0,0,0,None,0,2013,12,18,2013,12,18,None,None,None,None,2159.63,0,179.7,604506
83,M84,2013-12-24 0:00:00,VALID,PRR,Open,Female,Northern,RENTED,24,Three Full Years,3,0,12,2016-03-11 0:00:00,0,0,0,None,0,2013,12,24,2013,12,24,None,None,None,None,2121.53,0,160.4,604506
84,M85,2012-02-04 0:00:00,VALID,POP,Open,Male,Eastern,RENTED,62,Three Full Years,6,18,22,2015-03-17 0:00:00,0,0,9,None,0,2012,2,4,2012,2,4,None,None,None,None,2134.62,0,357.5,604506
85,M86,2013-06-11 0:00:00,VALID,MXX,Open,Male,Eastern,Second Hand,56,Three Full Years,8,0,22,2015-05-12 0:00:00,0,0,0,None,0,2013,6,11,2013,6,11,None,None,None,None,2115.04,0,174.65,604506
86,M87,2012-03-29 0:00:00,VALID,MXX,Open,Female,Northern,RENTED,,Three Full Years,6,0,12,2015-03-29 0:00:00,0,0,0,3,0,2012,3,29,2012,3,29, Card II TYPE,1631.175,None,None,2182.44,0,104.85,604506
87,M88,2011-12-02 0:00:00,VALID,PWM,Open,Male,Eastern,RENTED,62,Three Full Years,3,9,12,2015-03-06 0:00:00,0,0,4,None,0,2011,12,2,2011,12,2,None,None,None,None,2178.52,0,259.55,604506
88,M89,2013-04-19 0:00:00,VALID,PWR,Open,Male,Northern,RENTED,77,Three Full Years,6,0,17,2015-03-26 0:00:00,0,0,0,None,0,2013,4,19,2013,4,19,None,None,None,None,1669.52,0,48.45,604506
89,M90,2012-05-11 0:00:00,INVALID,PWP,Open,,Northern,BOUGHT,,Three Full Years,3,0,7,2015-03-14 0:00:00,0,0,1,3,0,2012,5,11,2012,5,11,Paper based/Post,682.395,None,None,1651.4,0,82,604506
90,M91,2014-04-08 0:00:00,VALID,KLA,Open,,Northern,RENTED,,Three Full Years,,,,2016-03-17 0:00:00,0,0,0,None,0,2014,4,8,2014,4,8,None,None,None,None,1826.01,0,26.55,604506
91,M92,2014-10-25 0:00:00,VALID,PRM,Open,Male,Eastern,BOUGHT,52,Three Full Years,5,0,12,2016-10-13 0:00:00,0,0,0,None,0,2014,10,25,2014,10,25,None,None,None,None,1995.03,1294,497.5,604506
92,M93,2012-02-22 0:00:00,VALID,PWM,Open,Female,Eastern,BOUGHT,55,Three Full Years,4,0,17,2015-03-07 0:00:00,2015-04-05 0:00:00,1,1,None,0,2012,2,22,2012,2,22,None,None,None,None,None,None,None,None
93,M94,2014-01-24 0:00:00,VALID,PRM,Open,Male,Northern,RENTED,62,Three Full Years,5,0,22,2016-03-24 0:00:00,0,0,0,None,0,2014,1,24,2014,1,24,None,None,None,None,1848.55,0,131.95,604506
94,M95,2012-09-23 0:00:00,VALID,POP,Open,Female,Western,BOUGHT,43,Three Full Years,9,0,17,2015-03-19 0:00:00,0,0,0,None,0,2012,9,23,2012,9,23,None,None,None,None,1402.74,0,207.95,604506
95,M96,2011-12-30 0:00:00,VALID,PWM,Open,Female,Eastern,RENTED,40,Three Full Years,4,6,22,2015-03-29 0:00:00,0,0,0,None,0,2011,12,30,2011,12,30,None,None,None,None,2077.53,0,316.35,604506
96,M97,2014-01-07 0:00:00,VALID,PRP,Open,Male,Eastern,BOUGHT,48,Three Full Years,5,5,22,2016-03-15 0:00:00,0,0,0,None,0,2014,1,7,2014,1,7,None,None,None,None,2165.12,1,311,604506
97,M98,2012-08-19 0:00:00,VALID,PWR,Open,Male,Western,RENTED,52,Three Full Years,5,0,22,2015-03-11 0:00:00,0,0,0,None,0,2012,8,19,2012,8,19,None,None,None,None,2165.43,70,324.9,604506
98,M99,2012-01-11 0:00:00,VALID,PWM,Open,Male,Eastern,BOUGHT,64,Three Full Years,1,14,22,2015-03-10 0:00:00,0,0,0,None,0,2012,1,11,2012,1,11,None,None,None,None,1859.43,0,584.45,604506
99,M100,2013-06-18 0:00:00,VALID,PWR,Open,Male,Northern,RENTED,,Three Full Years,6,0,1,2015-06-17 0:00:00,0,0,1,None,1,2013,6,18,2013,6,18,None,None,2015-02-25 0:00:00,1037.2,2082.43,0,523.75,604506
100,M101,2013-11-09 0:00:00,VALID,PWR,Open,Male,Eastern,RENTED,63,Three Full Years,7,0,22,2016-03-19 0:00:00,0,0,5,None,0,2013,11,9,2013,11,9,None,None,None,None,1133.4,0,38.95,604506
101,M102,2011-10-10 0:00:00,VALID,PWR,Open,Male,Western,RENTED,55,Three Full Years,2,18,17,2015-03-27 0:00:00,0,0,0,None,0,2011,10,10,2011,10,10,None,None,None,None,2179.03,0,181.2,604506
102,M103,2012-03-17 0:00:00,VALID,PRP,Open,Male,Western,RENTED,52,Three Full Years,7,6,12,2015-03-24 0:00:00,0,0,2,None,0,2012,3,17,2012,3,17,None,None,None,None,1909.58,0,211.75,604506
103,M104,2012-02-13 0:00:00,VALID,KLA,Open,Female,Northern,RENTED,66,Three Full Years,6,20,22,2015-03-15 0:00:00,0,0,1,None,1,2012,2,13,2012,2,13,None,None,2015-03-13 0:00:00,611.8,2015.67,0,264.05,604506
104,M105,2012-01-30 0:00:00,INVALID,POP,Open,Male,Northern,BOUGHT,55,Three Full Years,3,0,12,2015-03-24 0:00:00,0,0,0,None,0,2012,1,30,2012,1,30,None,None,None,None,2139.09,0,48.1,604506
105,M106,2012-07-11 0:00:00,VALID,PWR,Open,Female,Northern,RENTED,68,Three Full Years,6,0,22,2015-03-25 0:00:00,0,0,0,None,0,2012,7,11,2012,7,11,None,None,None,None,2085.71,91,342.4,604506
106,M107,2012-05-09 0:00:00,VALID,PWR,Closed,Male,Northern,RENTED,31,,3,0,12,,0,0,0,None,0,2012,5,9,,,,None,None,None,None,None,None,None,None
107,M108,2014-05-06 0:00:00,VALID,PRM,Open,Male,Eastern,RENTED,60,Three Full Years,6,5,22,2016-05-05 0:00:00,0,0,0,None,0,2014,5,6,2014,5,6,None,None,None,None,2175.82,169,500.35,604506
108,M109,2013-06-15 0:00:00,VALID,PWR,Open,Female,Eastern,BOUGHT,63,Full Year,2,0,12,2015-03-13 0:00:00,0,0,0,None,0,2013,6,15,2013,6,15,None,None,None,None,2005.73,0,179.2,604506
109,M110,2012-06-26 0:00:00,VALID,PWR,Open,Male,Eastern,Second Hand,77,Three Full Years,4,0,22,2015-03-24 0:00:00,0,0,0,None,0,2012,6,26,2012,6,26,None,None,None,None,2029.27,0,291.75,604506
110,M111,2012-01-31 0:00:00,VALID,POP,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-03-19 0:00:00,0,0,0,3,0,2012,1,31,2012,1,31, Card II TYPE,839.895,None,None,2180.1,0,242.05,604506
111,M112,2012-05-04 0:00:00,VALID,PWM,Open,,Northern,RENTED,,Three Full Years,,,,2015-04-01 0:00:00,0,0,0,None,0,2012,5,4,2012,5,4,None,None,None,None,1530.67,0,6.35,604506
112,M113,2014-04-12 0:00:00,VALID,PRM,Open,Male,Eastern,RENTED,48,Three Full Years,5,6,2,2016-04-02 0:00:00,0,0,0,None,0,2014,4,12,2014,4,12,None,None,None,None,1900.8,80,258.45,604506
113,M114,2011-12-07 0:00:00,VALID,MXX,Open,Male,Northern,RENTED,35,Three Full Years,6,20,12,2015-03-28 0:00:00,0,0,0,None,1,2011,12,7,2011,12,7,None,None,2015-03-07 0:00:00,2193.5,1826.96,0,21.3,604506
114,M115,2011-10-24 0:00:00,VALID,PWR,Open,,Western,RENTED,,Three Full Years,,,,2015-04-01 0:00:00,0,0,0,2,0,2011,10,24,2011,10,24, Card II TYPE,647.01,None,None,2110.9,0,236.45,604506
115,M116,2012-06-16 0:00:00,VALID,POP,Open,Male,Northern,BOUGHT,42,Three Full Years,4,20,22,2015-03-10 0:00:00,0,0,0,None,0,2012,6,16,2012,6,16,None,None,None,None,2088.3,200,528.6,604506
116,M117,2013-08-21 0:00:00,VALID,CNN,Open,Male,Northern,RENTED,76,Three Full Years,3,0,12,2015-08-06 0:00:00,0,0,0,None,0,2013,8,21,2013,8,21,None,None,None,None,2053.4,2,117.9,604506
117,M118,2013-07-20 0:00:00,VALID,PWR,Open,Female,Eastern,RENTED,23,Three Full Years,5,0,12,2015-07-10 0:00:00,0,0,0,None,0,2013,7,20,2013,7,20,None,None,None,None,2059.82,0,228.8,604506
118,M119,2013-12-04 0:00:00,VALID,POP,Open,Male,Northern,RENTED,51,Three Full Years,3,0,7,2016-03-09 0:00:00,0,0,0,None,0,2013,12,4,2013,12,4,None,None,None,None,1721.31,0,38.2,604506
