,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,Closetdefaultdate,defaultsum,Hours,Posthours,daraGB,YYYYMM,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention
10,M11,2011-11-01,VALID,KLA,Open,Male,Northern,RENTED,44.0,Three Full Years,4.0,0.0,21.0,2015-03-23,0,0,0,3,0,2011.0,11.0,1.0,2015.0,3.0,23.0, Card II TYPE,1489.425,None,None,1937.3199999999999,911.0,1318.25,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,M12,2012-08-01,VALID,POP,Open,Female,Northern,RENTED,63.0,Three Full Years,7.0,5.0,22.0,2015-04-03,0,0,0,3,0,2012.0,8.0,1.0,2015.0,4.0,3.0, Card II TYPE,963.0600000000001,None,None,2030.4200000000001,0.0,296.90000000000003,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,M13,2013-12-17,VALID,PRP,Open,Male,Eastern,RENTED,60.0,Three Full Years,7.0,6.0,22.0,2016-04-03,0,0,4,3,0,2013.0,12.0,17.0,2016.0,4.0,3.0, Card II TYPE,953.1899999999999,None,None,2182.6499999999996,198.0,412.84999999999997,604506.0,0,69,3,1,3,1,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
13,M14,2011-10-05,VALID,POP,Open,Male,Northern,RENTED,46.0,Three Full Years,9.0,0.0,22.0,2015-04-03,0,0,0,3,0,2011.0,10.0,5.0,2015.0,4.0,3.0, Card II TYPE,963.5849999999999,None,None,2173.0599999999999,0.0,223.69999999999999,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,M15,2012-06-08,VALID,PWR,Open,Female,Eastern,BOUGHT,60.0,Three Full Years,7.0,10.0,22.0,2015-03-16,0,0,3,3,0,2012.0,6.0,8.0,2015.0,3.0,16.0,Paper based/Post,682.395,None,None,1787.1399999999999,0.0,45.199999999999996,604506.0,0,55,3,2,1,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
15,M16,2011-11-22,VALID,POP,Open,Male,Northern,RENTED,64.0,Three Full Years,7.0,18.0,17.0,2015-03-06,0,0,0,3,0,2011.0,11.0,22.0,2015.0,3.0,6.0, Card I TYPE,951.3,None,None,1934.03,0.0,418.39999999999998,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,M17,2011-12-12,VALID,KLA,Open,Male,Eastern,RENTED,38.0,Three Full Years,6.0,5.0,17.0,2015-03-12,0,0,4,3,0,2011.0,12.0,12.0,2015.0,3.0,12.0, Card II TYPE,1022.175,None,None,1998.3200000000002,212.0,1008.45,604506.0,0,79,3,2,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
17,M18,2012-04-19,VALID,PWR,Open,Male,Eastern,RENTED,72.0,Three Full Years,4.0,0.0,22.0,2015-03-12,0,0,2,3,0,2012.0,4.0,19.0,2015.0,3.0,12.0, Card II TYPE,645.225,None,None,2148.21,6.0,222.5,604506.0,0,50,3,1,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
18,M19,2011-10-20,VALID,PWR,Open,Male,Northern,RENTED,59.0,Three Full Years,3.0,8.0,22.0,2015-03-13,0,0,0,3,0,2011.0,10.0,20.0,2015.0,3.0,13.0, Card II TYPE,668.64,None,None,1785.9300000000001,0.0,109.19999999999999,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,M20,2013-01-17,VALID,PWR,Open,Male,Western,RENTED,45.0,,3.0,0.0,4.0,,0,0,0,3,0,2013.0,1.0,17.0,,,, Card II TYPE,751.695,None,None,2059.8400000000001,0.0,91.349999999999994,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,M21,2012-12-01,VALID,PWR,Open,Male,Southern,BOUGHT,52.0,,7.0,0.0,21.0,,0,0,0,3,0,2012.0,12.0,1.0,,,, Card II TYPE,629.8950000000001,None,None,2084.48,0.0,26.399999999999995,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,M22,2012-07-03,VALID,PRR,Open,Male,Western,BOUGHT,61.0,Three Full Years,6.0,0.0,22.0,2015-03-24,0,0,1,2,0,2012.0,7.0,3.0,2015.0,3.0,24.0, Card II TYPE,346.91999999999996,None,None,2179.3899999999999,423.0,633.54999999999995,604506.0,0,83,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,M23,2011-10-26,VALID,PWR,Open,Female,Eastern,RENTED,68.0,Three Full Years,4.0,14.0,21.0,2015-03-25,0,0,0,3,0,2011.0,10.0,26.0,2015.0,3.0,25.0, Card I TYPE,682.2900000000001,None,None,1874.6800000000003,0.0,166.60000000000002,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,M24,2012-06-09,VALID,PWM,Open,Male,Eastern,BOUGHT,48.0,Three Full Years,9.0,6.0,21.0,2015-03-17,0,0,0,3,0,2012.0,6.0,9.0,2015.0,3.0,17.0, Card II TYPE,1049.895,None,None,2062.8699999999999,0.0,671.65000000000009,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,M25,2011-10-11,VALID,MXX,Open,Male,Western,RENTED,60.0,Three Full Years,7.0,5.0,22.0,2015-03-19,0,0,1,3,0,2011.0,10.0,11.0,2015.0,3.0,19.0, Card I TYPE,2347.695,None,None,2158.4499999999998,0.0,962.5,604506.0,0,5,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,M26,2013-08-02,VALID,CNN,Open,,Northern,BOUGHT,,Full Year Plus 3 Months,,,,2015-03-08,0,0,0,3,0,2013.0,8.0,2.0,2015.0,3.0,8.0, Card II TYPE,546.525,None,None,1586.3899999999999,0.0,7.4499999999999993,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,M27,2012-02-11,VALID,PWP,Open,Female,Western,RENTED,41.0,Three Full Years,8.0,0.0,21.0,2015-03-07,0,0,1,3,0,2012.0,2.0,11.0,2015.0,3.0,7.0, Card II TYPE,742.6650000000001,None,None,2044.3200000000002,0.0,90.800000000000011,604506.0,0,19,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,M28,,,CHC,Open,Female,Northern,Unknown,54.0,,7.0,8.0,17.0,,0,0,0,None,0,,,,,,,None,None,None,None,None,None,None,None,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,M29,,,CHC,Open,Male,Northern,Unknown,46.0,,5.0,0.0,22.0,,0,0,0,None,0,,,,,,,None,None,None,None,None,None,None,None,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,M30,2014-08-26,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,None,0,2014.0,8.0,26.0,,,,None,None,None,None,1817.6999999999998,0.0,248.15000000000001,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,M31,2014-08-28,,CHC,Open,,Eastern,Second Hand,,,,,,,0,0,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,1602.1999999999998,0.0,223.64999999999998,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,M32,2014-08-26,,CHC,Open,Female,Northern,Second Hand,45.0,,4.0,0.0,17.0,,0,0,0,None,0,2014.0,8.0,26.0,,,,None,None,None,None,1822.21,0.0,491.30000000000001,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,M33,2014-08-26,,CHC,Open,Male,Northern,Second Hand,57.0,,5.0,0.0,12.0,,0,0,0,None,0,2014.0,8.0,26.0,,,,None,None,None,None,2088.4899999999998,587.0,278.80000000000001,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,M34,2014-08-25,,CHC,Open,Female,Northern,Second Hand,53.0,,3.0,0.0,17.0,,0,0,0,None,0,2014.0,8.0,25.0,,,,None,None,None,None,1722.6999999999998,604.0,247.10000000000002,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,M35,2014-08-28,,CHC,Open,Female,Eastern,Second Hand,49.0,,1.0,0.0,21.0,,0,0,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,1874.23,0.0,177.94999999999999,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,M36,2014-08-27,,CHC,Open,Female,Western,Second Hand,69.0,,6.0,0.0,7.0,,0,0,0,None,0,2014.0,8.0,27.0,,,,None,None,None,None,2075.6500000000001,341.0,806.45000000000005,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,M37,2014-08-28,,CHC,Open,,Western,Second Hand,,,,,,,0,0,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,2012.52,0.0,259.60000000000002,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,M38,2014-08-28,,CHC,Open,Male,Western,Second Hand,44.0,,6.0,0.0,7.0,,0,0,0,None,0,2014.0,8.0,28.0,,,,None,None,None,None,2016.1700000000001,320.0,811.89999999999998,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,M39,2014-09-21,,CHC,Open,Male,Eastern,Second Hand,25.0,,4.0,0.0,1.0,,0,0,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,1762.6700000000001,0.0,58.649999999999999,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,M40,2014-09-21,,CHC,Open,Female,Northern,Second Hand,60.0,,2.0,0.0,17.0,,0,0,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,1836.5699999999999,0.0,24.200000000000003,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,M41,2014-09-21,,CHC,Open,Male,Northern,Second Hand,56.0,,5.0,10.0,17.0,,0,0,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,1880.77,528.0,401.80000000000001,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,M42,2014-09-21,,CHC,Open,Female,Eastern,Second Hand,78.0,,2.0,0.0,12.0,,0,0,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,989.38,0.0,96.400000000000006,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,M43,2014-09-21,,CHC,Open,Female,Eastern,Second Hand,51.0,,4.0,0.0,22.0,,0,0,0,None,0,2014.0,9.0,21.0,,,,None,None,None,None,805.35000000000002,0.0,0.0,403003.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,M44,2015-01-12,,CHC,Open,,Eastern,Second Hand,,,,,,,0,0,0,None,0,2015.0,1.0,12.0,,,,None,None,None,None,1719.1999999999998,0.0,17.950000000000003,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,M45,2015-01-12,,CHC,Open,Male,Western,Second Hand,42.0,,7.0,0.0,17.0,,0,0,0,None,0,2015.0,1.0,12.0,,,,None,None,None,None,1776.9799999999998,0.0,247.80000000000001,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,M46,2015-01-12,,CHC,Open,Female,Eastern,Second Hand,61.0,,3.0,5.0,1.0,,0,0,0,None,0,2015.0,1.0,12.0,,,,None,None,None,None,1803.23,0.0,253.55000000000004,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,M47,2015-03-13,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,None,0,2015.0,3.0,13.0,,,,None,None,None,None,403.63,0.0,47.549999999999997,201503.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,M48,2015-03-13,,CHC,Open,,Northern,Second Hand,,,,,,,0,0,0,None,0,2015.0,3.0,13.0,,,,None,None,None,None,429.98000000000002,0.0,81.25,201503.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,M49,2015-03-13,,CHC,Open,Female,Eastern,Second Hand,59.0,,4.0,0.0,12.0,,0,0,0,None,0,2015.0,3.0,13.0,,,,None,None,None,None,489.27999999999997,0.0,286.64999999999998,201503.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,M50,2012-06-06,VALID,PWR,Open,Female,Western,BOUGHT,74.0,Three Full Years,7.0,13.0,21.0,2015-03-21,0,0,0,3,0,2012.0,6.0,6.0,2015.0,3.0,21.0, Card II TYPE,524.895,None,None,2018.6700000000001,525.0,390.69999999999999,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,M51,2012-10-11,VALID,PRM,Open,Male,Eastern,RENTED,53.0,Three Full Years,7.0,0.0,22.0,2015-03-27,0,0,0,3,0,2012.0,10.0,11.0,2015.0,3.0,27.0, Card I TYPE,748.23,None,None,2121.6799999999998,105.0,238.65000000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,M52,2012-04-04,VALID,PWR,Open,Female,Eastern,RENTED,71.0,Three Full Years,5.0,0.0,17.0,2015-03-29,2015-05-30 00:00:00,1,0,3,0,2012.0,4.0,4.0,2015.0,3.0,29.0, Card II TYPE,720.0899999999999,None,None,2147.1900000000001,0.0,38.150000000000006,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,M53,2013-08-31,VALID,PWR,Open,Male,Eastern,BOUGHT,59.0,Three Full Years,8.0,5.0,17.0,2015-08-17,0,0,0,3,0,2013.0,8.0,31.0,2015.0,8.0,17.0, Card II TYPE,629.8950000000001,None,None,2093.6900000000001,0.0,202.40000000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,M54,2011-12-07,VALID,PRP,Open,Male,Northern,RENTED,64.0,Three Full Years,4.0,0.0,22.0,2015-03-21,0,0,2,3,0,2011.0,12.0,7.0,2015.0,3.0,21.0,Paper based/Post,1062.075,None,None,700.61000000000001,160.0,507.54999999999995,604506.0,0,46,3,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54,M55,2012-10-02,VALID,KLA,Open,Male,Northern,RENTED,65.0,Three Full Years,5.0,0.0,12.0,2015-03-26,0,0,1,3,0,2012.0,10.0,2.0,2015.0,3.0,26.0, Card II TYPE,1068.375,None,None,2045.9400000000001,0.0,92.599999999999994,604506.0,0,67,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,M56,2012-01-13,VALID,POP,Open,Female,Eastern,RENTED,55.0,Three Full Years,6.0,6.0,17.0,2016-03-11,0,0,0,3,0,2012.0,1.0,13.0,2016.0,3.0,11.0, Card II TYPE,958.9649999999999,None,None,1960.3200000000002,288.0,493.20000000000005,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,M57,2012-12-14,VALID,PRP,Open,Male,Western,BOUGHT,77.0,Three Full Years,7.0,0.0,17.0,2015-03-25,0,0,0,3,0,2012.0,12.0,14.0,2015.0,3.0,25.0, Card II TYPE,629.8950000000001,None,None,1944.9200000000001,308.0,517.95000000000005,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,M58,2012-08-31,VALID,PWR,Open,Male,Eastern,BOUGHT,41.0,Three Full Years,6.0,0.0,17.0,2015-03-15,0,0,0,3,0,2012.0,8.0,31.0,2015.0,3.0,15.0, Card II TYPE,629.8950000000001,None,None,1614.1300000000001,0.0,234.29999999999998,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,M59,2011-11-30,VALID,POP,Open,Male,Eastern,RENTED,64.0,Three Full Years,5.0,0.0,22.0,2015-04-04,0,0,0,3,0,2011.0,11.0,30.0,2015.0,4.0,4.0, Card II TYPE,960.5400000000001,None,None,1989.21,0.0,311.04999999999995,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,M60,2014-04-02,VALID,PRM,Open,Male,Eastern,BOUGHT,49.0,Full Year Plus 3 Months,8.0,6.0,22.0,2015-06-27,0,0,0,3,0,2014.0,4.0,2.0,2015.0,6.0,27.0, Card II TYPE,524.895,None,None,2089.8199999999997,0.0,152.85000000000002,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,M61,2013-05-30,VALID,CNN,Open,Male,Eastern,RENTED,63.0,Three Full Years,4.0,0.0,12.0,2015-05-03,0,0,0,3,0,2013.0,5.0,30.0,2015.0,5.0,3.0,Paper based/Post,643.23,None,None,1693.4200000000001,0.0,0.14999999999999999,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,M62,2011-10-31,VALID,PWM,Open,Male,Eastern,RENTED,54.0,Three Full Years,6.0,0.0,17.0,2015-03-17,0,0,0,3,0,2011.0,10.0,31.0,2015.0,3.0,17.0, Card II TYPE,1169.385,None,None,2182.4300000000003,0.0,124.95,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,M63,2012-06-01,VALID,PPL,Open,Female,Eastern,RENTED,50.0,Three Full Years,7.0,5.0,17.0,2015-03-18,0,0,0,3,0,2012.0,6.0,1.0,2015.0,3.0,18.0, Card I TYPE,749.175,None,None,1968.3399999999999,196.0,246.5,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,M64,2012-01-24,VALID,PRP,Open,Female,Western,RENTED,70.0,Three Full Years,4.0,0.0,12.0,2015-03-18,0,0,1,3,0,2012.0,1.0,24.0,2015.0,3.0,18.0, Card II TYPE,961.695,None,None,2075.52,0.0,14.0,604506.0,0,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,M65,2012-09-26,VALID,KLA,Open,Male,Eastern,BOUGHT,56.0,Three Full Years,7.0,0.0,21.0,2015-03-31,0,0,0,2,0,2012.0,9.0,26.0,2015.0,3.0,31.0, Card II TYPE,944.895,None,None,2090.9499999999998,0.0,523.79999999999995,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,M66,2013-10-01,VALID,POP,Open,Female,Eastern,BOUGHT,54.0,Three Full Years,6.0,5.0,22.0,2015-09-17,0,0,0,3,0,2013.0,10.0,1.0,2015.0,9.0,17.0, Card II TYPE,839.895,None,None,2143.1999999999998,0.0,152.84999999999999,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,M67,2012-02-06,VALID,KLA,Open,Female,Western,BOUGHT,80.0,Three Full Years,6.0,0.0,21.0,2015-03-18,0,0,0,3,0,2012.0,2.0,6.0,2015.0,3.0,18.0, Card II TYPE,944.895,None,None,1990.9300000000001,0.0,345.89999999999998,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,M68,2015-02-07,VALID,PRP,Open,Male,Eastern,RENTED,34.0,Full Year Plus 3 Months,2.0,14.0,17.0,2016-05-06,0,0,3,3,0,2015.0,2.0,7.0,2016.0,5.0,6.0,Paper based/Post,787.395,None,None,377.41999999999996,0.0,208.25,403005.0,0,55,2,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
68,M69,2014-06-20,VALID,PPL,Closed,Female,Western,RENTED,55.0,,6.0,5.0,17.0,,0,0,14,1,0,2014.0,6.0,20.0,,,, Card II TYPE,87.99000000000001,None,None,1429.2800000000002,0.0,156.44999999999999,604506.0,0,60,3,9,5,7,1,4,4,2,4,0,0,0,0,0,2,0,3,0,0,2,0
69,M70,2013-10-15,VALID,PWM,Open,Male,Northern,RENTED,55.0,Three Full Years,5.0,0.0,17.0,2016-03-18,0,0,0,3,0,2013.0,10.0,15.0,2016.0,3.0,18.0, Card II TYPE,1577.94,None,None,2050.9099999999999,0.0,228.55000000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,M71,2011-11-02,VALID,PWR,Open,Male,Northern,RENTED,56.0,Three Full Years,6.0,0.0,22.0,2015-03-25,0,0,0,3,0,2011.0,11.0,2.0,2015.0,3.0,25.0,Paper based/Post,636.0899999999999,None,None,1544.5900000000001,0.0,0.89999999999999991,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,M72,2012-01-07,VALID,MXX,Open,Female,Eastern,BOUGHT,49.0,Three Full Years,6.0,0.0,21.0,2015-04-01,0,0,0,2,0,2012.0,1.0,7.0,2015.0,4.0,1.0, Card II TYPE,1364.895,None,None,2138.3800000000001,892.0,642.54999999999995,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,M73,2012-01-19,VALID,PWM,Open,Male,Eastern,Second Hand,50.0,Three Full Years,4.0,0.0,17.0,2015-04-04,0,0,0,3,0,2012.0,1.0,19.0,2015.0,4.0,4.0, Card II TYPE,1217.8949999999998,None,None,2184.9400000000001,19.0,1010.6500000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,M74,2012-02-08,VALID,PWP,Open,Male,Eastern,BOUGHT,59.0,Three Full Years,5.0,0.0,12.0,2015-03-25,2015-05-23 00:00:00,1,0,None,0,2012.0,2.0,8.0,2015.0,3.0,25.0,None,None,None,None,1755.7599999999998,35.0,560.30000000000007,604506.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,M75,2011-11-03,VALID,MXX,Open,Male,Eastern,RENTED,61.0,Three Full Years,8.0,8.0,17.0,2015-03-23,0,0,1,None,0,2011.0,11.0,3.0,2015.0,3.0,23.0,None,None,None,None,2181.0900000000001,0.0,328.45000000000005,604506.0,1,58,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
